-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2012 through 12/31/2012 in LST
Location: Regional 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
T2MDEW     MERRA-2 Dew/Frost Point at 2 Meters (C) 
-END HEADER-
LAT,LON,YEAR,MO,DY,T2MDEW
29.5,34.375,2012,1,1,-0.63
29.5,35.0,2012,1,1,0.08
29.5,35.625,2012,1,1,-2.4
30.0,34.375,2012,1,1,0.32
30.0,35.0,2012,1,1,0.32
30.0,35.625,2012,1,1,-1.71
30.5,34.375,2012,1,1,1.37
30.5,35.0,2012,1,1,1.2
30.5,35.625,2012,1,1,-0.87
31.0,34.375,2012,1,1,2.95
31.0,35.0,2012,1,1,2.46
31.0,35.625,2012,1,1,0.93
31.5,34.375,2012,1,1,8.74
31.5,35.0,2012,1,1,3.77
31.5,35.625,2012,1,1,4.08
32.0,34.375,2012,1,1,11.25
32.0,35.0,2012,1,1,6.4
32.0,35.625,2012,1,1,5.37
32.5,34.375,2012,1,1,11.69
32.5,35.0,2012,1,1,8.71
32.5,35.625,2012,1,1,6.5
33.0,34.375,2012,1,1,11.83
33.0,35.0,2012,1,1,10.16
33.0,35.625,2012,1,1,6.81
29.5,34.375,2012,1,2,3.19
29.5,35.0,2012,1,2,4.05
29.5,35.625,2012,1,2,1.93
30.0,34.375,2012,1,2,4.1
30.0,35.0,2012,1,2,4.19
30.0,35.625,2012,1,2,2.35
30.5,34.375,2012,1,2,5.14
30.5,35.0,2012,1,2,4.96
30.5,35.625,2012,1,2,3.06
31.0,34.375,2012,1,2,7.27
31.0,35.0,2012,1,2,6.55
31.0,35.625,2012,1,2,4.99
31.5,34.375,2012,1,2,10.87
31.5,35.0,2012,1,2,8.33
31.5,35.625,2012,1,2,7.61
32.0,34.375,2012,1,2,11.98
32.0,35.0,2012,1,2,9.43
32.0,35.625,2012,1,2,8.74
32.5,34.375,2012,1,2,11.95
32.5,35.0,2012,1,2,10.4
32.5,35.625,2012,1,2,9.37
33.0,34.375,2012,1,2,11.96
33.0,35.0,2012,1,2,10.75
33.0,35.625,2012,1,2,8.6
29.5,34.375,2012,1,3,3.08
29.5,35.0,2012,1,3,3.45
29.5,35.625,2012,1,3,1.53
30.0,34.375,2012,1,3,4.13
30.0,35.0,2012,1,3,3.58
30.0,35.625,2012,1,3,1.12
30.5,34.375,2012,1,3,5.32
30.5,35.0,2012,1,3,4.86
30.5,35.625,2012,1,3,1.56
31.0,34.375,2012,1,3,7.22
31.0,35.0,2012,1,3,6.18
31.0,35.625,2012,1,3,4.07
31.5,34.375,2012,1,3,9.32
31.5,35.0,2012,1,3,6.86
31.5,35.625,2012,1,3,6.86
32.0,34.375,2012,1,3,10.47
32.0,35.0,2012,1,3,7.88
32.0,35.625,2012,1,3,7.39
32.5,34.375,2012,1,3,10.78
32.5,35.0,2012,1,3,9.33
32.5,35.625,2012,1,3,8.14
33.0,34.375,2012,1,3,10.85
33.0,35.0,2012,1,3,9.75
33.0,35.625,2012,1,3,7.47
29.5,34.375,2012,1,4,0.65
29.5,35.0,2012,1,4,0.8
29.5,35.625,2012,1,4,-0.75
30.0,34.375,2012,1,4,1.49
30.0,35.0,2012,1,4,0.75
30.0,35.625,2012,1,4,-0.76
30.5,34.375,2012,1,4,3.2
30.5,35.0,2012,1,4,1.74
30.5,35.625,2012,1,4,-0.36
31.0,34.375,2012,1,4,5.1
31.0,35.0,2012,1,4,2.62
31.0,35.625,2012,1,4,1.05
31.5,34.375,2012,1,4,8.7
31.5,35.0,2012,1,4,3.2
31.5,35.625,2012,1,4,3.11
32.0,34.375,2012,1,4,10.98
32.0,35.0,2012,1,4,4.97
32.0,35.625,2012,1,4,3.09
32.5,34.375,2012,1,4,11.45
32.5,35.0,2012,1,4,7.36
32.5,35.625,2012,1,4,3.29
33.0,34.375,2012,1,4,11.01
33.0,35.0,2012,1,4,8.54
33.0,35.625,2012,1,4,3.63
29.5,34.375,2012,1,5,-1.38
29.5,35.0,2012,1,5,-1.03
29.5,35.625,2012,1,5,-3.68
30.0,34.375,2012,1,5,2.22
30.0,35.0,2012,1,5,-0.46
30.0,35.625,2012,1,5,-2.12
30.5,34.375,2012,1,5,3.4
30.5,35.0,2012,1,5,1.22
30.5,35.625,2012,1,5,-0.65
31.0,34.375,2012,1,5,5.05
31.0,35.0,2012,1,5,2.83
31.0,35.625,2012,1,5,1.64
31.5,34.375,2012,1,5,8.89
31.5,35.0,2012,1,5,3.8
31.5,35.625,2012,1,5,4.37
32.0,34.375,2012,1,5,10.06
32.0,35.0,2012,1,5,5.29
32.0,35.625,2012,1,5,4.34
32.5,34.375,2012,1,5,10.12
32.5,35.0,2012,1,5,6.47
32.5,35.625,2012,1,5,4.25
33.0,34.375,2012,1,5,10.05
33.0,35.0,2012,1,5,7.49
