-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2012 through 12/31/2012 in LST
Location: Regional 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
ALLSKY_SFC_LW_DWN     CERES SYN1deg All Sky Surface Longwave Downward Irradiance (kW-hr/m^2/day) 
-END HEADER-
LAT,LON,YEAR,MO,DY,ALLSKY_SFC_LW_DWN
29.5,34.5,2012,1,1,6.33
29.5,35.5,2012,1,1,5.92
30.5,34.5,2012,1,1,6.86
30.5,35.5,2012,1,1,6.35
31.5,34.5,2012,1,1,8.17
31.5,35.5,2012,1,1,7.07
32.5,34.5,2012,1,1,8.63
32.5,35.5,2012,1,1,7.68
29.5,34.5,2012,1,2,6.74
29.5,35.5,2012,1,2,6.63
30.5,34.5,2012,1,2,7.0
30.5,35.5,2012,1,2,7.24
31.5,34.5,2012,1,2,8.56
31.5,35.5,2012,1,2,8.03
32.5,34.5,2012,1,2,8.41
32.5,35.5,2012,1,2,8.11
29.5,34.5,2012,1,3,6.47
29.5,35.5,2012,1,3,6.33
30.5,34.5,2012,1,3,6.69
30.5,35.5,2012,1,3,6.59
31.5,34.5,2012,1,3,7.95
31.5,35.5,2012,1,3,6.85
32.5,34.5,2012,1,3,7.78
32.5,35.5,2012,1,3,7.25
29.5,34.5,2012,1,4,6.23
29.5,35.5,2012,1,4,5.97
30.5,34.5,2012,1,4,6.72
30.5,35.5,2012,1,4,6.4
31.5,34.5,2012,1,4,7.65
31.5,35.5,2012,1,4,6.98
32.5,34.5,2012,1,4,7.46
32.5,35.5,2012,1,4,7.02
29.5,34.5,2012,1,5,6.19
29.5,35.5,2012,1,5,6.03
30.5,34.5,2012,1,5,6.7
30.5,35.5,2012,1,5,6.31
31.5,34.5,2012,1,5,7.81
31.5,35.5,2012,1,5,6.83
32.5,34.5,2012,1,5,7.78
32.5,35.5,2012,1,5,7.24
29.5,34.5,2012,1,6,6.14
29.5,35.5,2012,1,6,5.84
30.5,34.5,2012,1,6,6.5
30.5,35.5,2012,1,6,6.26
31.5,34.5,2012,1,6,7.73
31.5,35.5,2012,1,6,7.0
32.5,34.5,2012,1,6,7.94
32.5,35.5,2012,1,6,7.66
29.5,34.5,2012,1,7,6.21
29.5,35.5,2012,1,7,5.89
30.5,34.5,2012,1,7,6.5
30.5,35.5,2012,1,7,6.2
31.5,34.5,2012,1,7,7.41
31.5,35.5,2012,1,7,6.67
32.5,34.5,2012,1,7,7.38
32.5,35.5,2012,1,7,6.58
29.5,34.5,2012,1,8,6.35
29.5,35.5,2012,1,8,5.97
30.5,34.5,2012,1,8,6.82
30.5,35.5,2012,1,8,6.4
