-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2012 through 12/31/2012 in LST
Location: Regional 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
WS50M_RANGE     MERRA-2 Wind Speed at 50 Meters Range (m/s) 
-END HEADER-
LAT,LON,YEAR,MO,DY,WS50M_RANGE
32.0,34.375,2012,1,6,4.78
32.0,35.0,2012,1,6,5.02
32.0,35.625,2012,1,6,6.1
32.5,34.375,2012,1,6,3.18
32.5,35.0,2012,1,6,2.52
32.5,35.625,2012,1,6,4.75
33.0,34.375,2012,1,6,1.9
33.0,35.0,2012,1,6,1.33
33.0,35.625,2012,1,6,5.11
29.5,34.375,2012,1,7,8.11
29.5,35.0,2012,1,7,5.38
29.5,35.625,2012,1,7,7.02
30.0,34.375,2012,1,7,5.15
30.0,35.0,2012,1,7,5.98
30.0,35.625,2012,1,7,7.48
30.5,34.375,2012,1,7,3.76
30.5,35.0,2012,1,7,4.13
30.5,35.625,2012,1,7,8.27
31.0,34.375,2012,1,7,4.24
31.0,35.0,2012,1,7,3.87
31.0,35.625,2012,1,7,7.24
31.5,34.375,2012,1,7,4.14
31.5,35.0,2012,1,7,2.74
31.5,35.625,2012,1,7,5.6
32.0,34.375,2012,1,7,5.13
32.0,35.0,2012,1,7,3.97
32.0,35.625,2012,1,7,5.61
32.5,34.375,2012,1,7,4.39
32.5,35.0,2012,1,7,4.86
32.5,35.625,2012,1,7,4.06
33.0,34.375,2012,1,7,4.05
33.0,35.0,2012,1,7,5.35
33.0,35.625,2012,1,7,3.06
29.5,34.375,2012,1,8,2.45
29.5,35.0,2012,1,8,2.54
29.5,35.625,2012,1,8,4.33
30.0,34.375,2012,1,8,2.43
30.0,35.0,2012,1,8,3.08
30.0,35.625,2012,1,8,4.97
30.5,34.375,2012,1,8,2.92
30.5,35.0,2012,1,8,2.89
30.5,35.625,2012,1,8,5.3
31.0,34.375,2012,1,8,3.19
31.0,35.0,2012,1,8,3.36
31.0,35.625,2012,1,8,4.75
31.5,34.375,2012,1,8,1.59
31.5,35.0,2012,1,8,4.87
31.5,35.625,2012,1,8,5.02
32.0,34.375,2012,1,8,3.74
32.0,35.0,2012,1,8,4.47
