-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2016 through 12/31/2016 in LST
Location: Regional 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
WS50M_MIN     MERRA-2 Wind Speed at 50 Meters Minimum (m/s) 
-END HEADER-
LAT,LON,YEAR,MO,DY,WS50M_MIN
29.5,34.375,2016,1,1,8.03
29.5,35.0,2016,1,1,4.51
29.5,35.625,2016,1,1,7.04
30.0,34.375,2016,1,1,6.96
30.0,35.0,2016,1,1,5.9
30.0,35.625,2016,1,1,8.06
30.5,34.375,2016,1,1,5.78
30.5,35.0,2016,1,1,6.15
30.5,35.625,2016,1,1,7.07
31.0,34.375,2016,1,1,7.2
31.0,35.0,2016,1,1,6.26
31.0,35.625,2016,1,1,6.15
31.5,34.375,2016,1,1,8.92
31.5,35.0,2016,1,1,6.33
31.5,35.625,2016,1,1,5.36
32.0,34.375,2016,1,1,11.01
32.0,35.0,2016,1,1,7.55
32.0,35.625,2016,1,1,5.18
32.5,34.375,2016,1,1,12.1
32.5,35.0,2016,1,1,8.46
32.5,35.625,2016,1,1,4.73
33.0,34.375,2016,1,1,11.23
33.0,35.0,2016,1,1,9.43
33.0,35.625,2016,1,1,5.63
29.5,34.375,2016,1,2,1.79
29.5,35.0,2016,1,2,2.15
29.5,35.625,2016,1,2,2.12
30.0,34.375,2016,1,2,0.57
30.0,35.0,2016,1,2,0.97
30.0,35.625,2016,1,2,3.84
30.5,34.375,2016,1,2,2.27
30.5,35.0,2016,1,2,3.41
30.5,35.625,2016,1,2,4.32
31.0,34.375,2016,1,2,4.4
31.0,35.0,2016,1,2,4.2
31.0,35.625,2016,1,2,2.87
31.5,34.375,2016,1,2,5.48
31.5,35.0,2016,1,2,4.55
31.5,35.625,2016,1,2,2.12
32.0,34.375,2016,1,2,6.02
32.0,35.0,2016,1,2,4.33
32.0,35.625,2016,1,2,1.94
32.5,34.375,2016,1,2,5.76
32.5,35.0,2016,1,2,3.47
32.5,35.625,2016,1,2,1.42
33.0,34.375,2016,1,2,4.45
33.0,35.0,2016,1,2,3.32
33.0,35.625,2016,1,2,1.13
29.5,34.375,2016,1,3,1.16
29.5,35.0,2016,1,3,1.3
29.5,35.625,2016,1,3,0.71
30.0,34.375,2016,1,3,2.45
30.0,35.0,2016,1,3,1.96
30.0,35.625,2016,1,3,2.1
30.5,34.375,2016,1,3,2.44
30.5,35.0,2016,1,3,2.79
30.5,35.625,2016,1,3,3.34
31.0,34.375,2016,1,3,3.38
31.0,35.0,2016,1,3,3.18
31.0,35.625,2016,1,3,3.52
31.5,34.375,2016,1,3,3.61
31.5,35.0,2016,1,3,3.68
31.5,35.625,2016,1,3,3.06
32.0,34.375,2016,1,3,3.69
32.0,35.0,2016,1,3,3.09
32.0,35.625,2016,1,3,1.31
32.5,34.375,2016,1,3,2.83
32.5,35.0,2016,1,3,0.86
32.5,35.625,2016,1,3,0.95
33.0,34.375,2016,1,3,1.37
33.0,35.0,2016,1,3,0.42
33.0,35.625,2016,1,3,0.72
29.5,34.375,2016,1,4,1.93
29.5,35.0,2016,1,4,0.76
29.5,35.625,2016,1,4,0.04
30.0,34.375,2016,1,4,1.76
30.0,35.0,2016,1,4,1.11
30.0,35.625,2016,1,4,0.94
30.5,34.375,2016,1,4,2.83
30.5,35.0,2016,1,4,2.76
30.5,35.625,2016,1,4,2.97
31.0,34.375,2016,1,4,4.09
31.0,35.0,2016,1,4,2.57
31.0,35.625,2016,1,4,3.7
31.5,34.375,2016,1,4,3.9
31.5,35.0,2016,1,4,2.72
31.5,35.625,2016,1,4,2.93
32.0,34.375,2016,1,4,3.89
32.0,35.0,2016,1,4,3.49
32.0,35.625,2016,1,4,1.19
32.5,34.375,2016,1,4,2.95
32.5,35.0,2016,1,4,1.62
32.5,35.625,2016,1,4,1.32
33.0,34.375,2016,1,4,2.11
33.0,35.0,2016,1,4,1.71
33.0,35.625,2016,1,4,0.85
29.5,34.375,2016,1,5,1.86
29.5,35.0,2016,1,5,0.82
29.5,35.625,2016,1,5,1.51
30.0,34.375,2016,1,5,3.61
30.0,35.0,2016,1,5,2.2
30.0,35.625,2016,1,5,3.48
30.5,34.375,2016,1,5,4.24
30.5,35.0,2016,1,5,3.37
30.5,35.625,2016,1,5,3.55
31.0,34.375,2016,1,5,5.32
31.0,35.0,2016,1,5,3.76
31.0,35.625,2016,1,5,3.24
31.5,34.375,2016,1,5,5.52
31.5,35.0,2016,1,5,3.93
31.5,35.625,2016,1,5,3.11
32.0,34.375,2016,1,5,7.14
32.0,35.0,2016,1,5,4.95
32.0,35.625,2016,1,5,2.92
32.5,34.375,2016,1,5,8.2
32.5,35.0,2016,1,5,5.84
32.5,35.625,2016,1,5,3.07
33.0,34.375,2016,1,5,8.55
33.0,35.0,2016,1,5,6.15
33.0,35.625,2016,1,5,0.5
29.5,34.375,2016,1,6,0.77
29.5,35.0,2016,1,6,1.32
29.5,35.625,2016,1,6,0.37
30.0,34.375,2016,1,6,1.4
30.0,35.0,2016,1,6,1.22
30.0,35.625,2016,1,6,1.33
30.5,34.375,2016,1,6,0.32
30.5,35.0,2016,1,6,0.43
30.5,35.625,2016,1,6,0.81
31.0,34.375,2016,1,6,0.66
31.0,35.0,2016,1,6,0.35
31.0,35.625,2016,1,6,0.49
31.5,34.375,2016,1,6,1.75
31.5,35.0,2016,1,6,0.96
31.5,35.625,2016,1,6,2.13
32.0,34.375,2016,1,6,3.07
32.0,35.0,2016,1,6,2.23
32.0,35.625,2016,1,6,1.72
32.5,34.375,2016,1,6,3.91
32.5,35.0,2016,1,6,2.95
32.5,35.625,2016,1,6,1.3
33.0,34.375,2016,1,6,4.4
33.0,35.0,2016,1,6,3.49
33.0,35.625,2016,1,6,0.17
29.5,34.375,2016,1,7,1.47
29.5,35.0,2016,1,7,2.17
29.5,35.625,2016,1,7,3.6
30.0,34.375,2016,1,7,2.46
30.0,35.0,2016,1,7,3.21
30.0,35.625,2016,1,7,4.35
30.5,34.375,2016,1,7,4.1
30.5,35.0,2016,1,7,2.88
30.5,35.625,2016,1,7,5.6
31.0,34.375,2016,1,7,6.06
31.0,35.0,2016,1,7,2.57
31.0,35.625,2016,1,7,2.77
31.5,34.375,2016,1,7,4.18
