-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2017 through 12/31/2017 in LST
Location: Regional 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
ALLSKY_SFC_LW_DWN     CERES SYN1deg All Sky Surface Longwave Downward Irradiance (kW-hr/m^2/day) 
-END HEADER-
LAT,LON,YEAR,MO,DY,ALLSKY_SFC_LW_DWN
29.5,34.5,2017,1,1,7.05
29.5,35.5,2017,1,1,7.14
30.5,34.5,2017,1,1,6.76
30.5,35.5,2017,1,1,6.77
31.5,34.5,2017,1,1,7.87
31.5,35.5,2017,1,1,6.73
32.5,34.5,2017,1,1,8.18
32.5,35.5,2017,1,1,7.09
29.5,34.5,2017,1,2,5.95
29.5,35.5,2017,1,2,5.59
30.5,34.5,2017,1,2,6.26
30.5,35.5,2017,1,2,5.93
31.5,34.5,2017,1,2,7.97
31.5,35.5,2017,1,2,6.84
32.5,34.5,2017,1,2,8.13
32.5,35.5,2017,1,2,7.63
29.5,34.5,2017,1,3,6.14
29.5,35.5,2017,1,3,5.79
30.5,34.5,2017,1,3,6.45
30.5,35.5,2017,1,3,6.08
31.5,34.5,2017,1,3,8.15
31.5,35.5,2017,1,3,6.8
32.5,34.5,2017,1,3,7.96
32.5,35.5,2017,1,3,7.57
29.5,34.5,2017,1,4,6.22
29.5,35.5,2017,1,4,5.78
30.5,34.5,2017,1,4,6.79
30.5,35.5,2017,1,4,6.23
31.5,34.5,2017,1,4,8.15
31.5,35.5,2017,1,4,7.09
32.5,34.5,2017,1,4,8.17
32.5,35.5,2017,1,4,7.65
29.5,34.5,2017,1,5,6.7
29.5,35.5,2017,1,5,6.37
30.5,34.5,2017,1,5,6.81
30.5,35.5,2017,1,5,6.59
31.5,34.5,2017,1,5,7.76
31.5,35.5,2017,1,5,6.91
32.5,34.5,2017,1,5,7.98
32.5,35.5,2017,1,5,7.14
29.5,34.5,2017,1,6,6.41
29.5,35.5,2017,1,6,6.18
30.5,34.5,2017,1,6,6.56
30.5,35.5,2017,1,6,6.29
31.5,34.5,2017,1,6,7.5
31.5,35.5,2017,1,6,6.48
32.5,34.5,2017,1,6,7.05
32.5,35.5,2017,1,6,6.5
29.5,34.5,2017,1,7,6.37
29.5,35.5,2017,1,7,6.15
30.5,34.5,2017,1,7,6.51
30.5,35.5,2017,1,7,6.27
31.5,34.5,2017,1,7,7.59
31.5,35.5,2017,1,7,6.41
32.5,34.5,2017,1,7,7.64
32.5,35.5,2017,1,7,6.88
29.5,34.5,2017,1,8,6.32
29.5,35.5,2017,1,8,5.75
30.5,34.5,2017,1,8,6.67
30.5,35.5,2017,1,8,6.23
31.5,34.5,2017,1,8,8.16
31.5,35.5,2017,1,8,6.72
32.5,34.5,2017,1,8,8.52
32.5,35.5,2017,1,8,8.07
29.5,34.5,2017,1,9,6.32
29.5,35.5,2017,1,9,6.05
30.5,34.5,2017,1,9,6.6
30.5,35.5,2017,1,9,6.44
31.5,34.5,2017,1,9,7.79
31.5,35.5,2017,1,9,6.82
32.5,34.5,2017,1,9,8.64
32.5,35.5,2017,1,9,7.95
