-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2010 through 12/31/2010 in LST
Location: Regional 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
WS10M_MIN     MERRA-2 Wind Speed at 10 Meters Minimum (m/s) 
-END HEADER-
LAT,LON,YEAR,MO,DY,WS10M_MIN
29.5,34.375,2010,1,1,0.73
29.5,35.0,2010,1,1,1.45
29.5,35.625,2010,1,1,0.18
30.0,34.375,2010,1,1,0.26
30.0,35.0,2010,1,1,0.12
30.0,35.625,2010,1,1,0.4
30.5,34.375,2010,1,1,0.96
30.5,35.0,2010,1,1,0.17
30.5,35.625,2010,1,1,0.44
31.0,34.375,2010,1,1,1.35
31.0,35.0,2010,1,1,0.83
31.0,35.625,2010,1,1,0.5
31.5,34.375,2010,1,1,1.16
31.5,35.0,2010,1,1,0.99
31.5,35.625,2010,1,1,1.23
32.0,34.375,2010,1,1,2.31
32.0,35.0,2010,1,1,1.25
32.0,35.625,2010,1,1,1.06
32.5,34.375,2010,1,1,4.34
32.5,35.0,2010,1,1,2.02
32.5,35.625,2010,1,1,1.02
33.0,34.375,2010,1,1,4.5
33.0,35.0,2010,1,1,2.65
33.0,35.625,2010,1,1,0.57
29.5,34.375,2010,1,2,1.96
29.5,35.0,2010,1,2,2.79
29.5,35.625,2010,1,2,2.9
30.0,34.375,2010,1,2,2.3
30.0,35.0,2010,1,2,3.15
30.0,35.625,2010,1,2,2.99
30.5,34.375,2010,1,2,2.09
30.5,35.0,2010,1,2,2.62
30.5,35.625,2010,1,2,2.92
31.0,34.375,2010,1,2,1.44
31.0,35.0,2010,1,2,1.59
31.0,35.625,2010,1,2,1.26
31.5,34.375,2010,1,2,0.3
31.5,35.0,2010,1,2,0.89
31.5,35.625,2010,1,2,0.92
32.0,34.375,2010,1,2,2.51
32.0,35.0,2010,1,2,1.58
32.0,35.625,2010,1,2,1.26
32.5,34.375,2010,1,2,5.5
32.5,35.0,2010,1,2,2.43
32.5,35.625,2010,1,2,1.54
33.0,34.375,2010,1,2,5.68
33.0,35.0,2010,1,2,4.58
33.0,35.625,2010,1,2,1.22
29.5,34.375,2010,1,3,1.87
29.5,35.0,2010,1,3,1.65
29.5,35.625,2010,1,3,1.59
30.0,34.375,2010,1,3,0.79
30.0,35.0,2010,1,3,0.72
30.0,35.625,2010,1,3,2.29
30.5,34.375,2010,1,3,1.19
30.5,35.0,2010,1,3,0.21
30.5,35.625,2010,1,3,1.19
31.0,34.375,2010,1,3,0.92
31.0,35.0,2010,1,3,0.93
31.0,35.625,2010,1,3,0.6
31.5,34.375,2010,1,3,3.52
31.5,35.0,2010,1,3,2.28
31.5,35.625,2010,1,3,1.57
32.0,34.375,2010,1,3,5.82
32.0,35.0,2010,1,3,3.21
32.0,35.625,2010,1,3,2.26
32.5,34.375,2010,1,3,5.41
32.5,35.0,2010,1,3,3.27
32.5,35.625,2010,1,3,1.64
