-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2020 through 12/31/2020 in LST
Location: Regional 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
T2M_MIN     MERRA-2 Temperature at 2 Meters Minimum (C) 
-END HEADER-
LAT,LON,YEAR,MO,DY,T2M_MIN
29.5,34.375,2020,1,1,2.57
29.5,35.0,2020,1,1,3.49
29.5,35.625,2020,1,1,-0.3
30.0,34.375,2020,1,1,4.28
30.0,35.0,2020,1,1,2.97
30.0,35.625,2020,1,1,-1.33
30.5,34.375,2020,1,1,6.54
30.5,35.0,2020,1,1,6.79
30.5,35.625,2020,1,1,-1.18
31.0,34.375,2020,1,1,9.0
31.0,35.0,2020,1,1,7.94
31.0,35.625,2020,1,1,5.67
31.5,34.375,2020,1,1,14.2
31.5,35.0,2020,1,1,8.13
31.5,35.625,2020,1,1,9.09
32.0,34.375,2020,1,1,16.31
32.0,35.0,2020,1,1,11.23
32.0,35.625,2020,1,1,6.68
32.5,34.375,2020,1,1,16.56
32.5,35.0,2020,1,1,11.29
32.5,35.625,2020,1,1,5.89
33.0,34.375,2020,1,1,16.58
33.0,35.0,2020,1,1,12.96
33.0,35.625,2020,1,1,6.04
29.5,34.375,2020,1,2,3.78
29.5,35.0,2020,1,2,7.24
29.5,35.625,2020,1,2,3.25
30.0,34.375,2020,1,2,5.0
30.0,35.0,2020,1,2,6.29
30.0,35.625,2020,1,2,2.84
30.5,34.375,2020,1,2,5.96
30.5,35.0,2020,1,2,7.47
30.5,35.625,2020,1,2,3.35
31.0,34.375,2020,1,2,6.9
31.0,35.0,2020,1,2,7.84
31.0,35.625,2020,1,2,6.12
31.5,34.375,2020,1,2,13.07
31.5,35.0,2020,1,2,7.15
31.5,35.625,2020,1,2,8.86
32.0,34.375,2020,1,2,16.14
32.0,35.0,2020,1,2,8.85
32.0,35.625,2020,1,2,6.83
32.5,34.375,2020,1,2,15.97
32.5,35.0,2020,1,2,9.97
32.5,35.625,2020,1,2,5.61
33.0,34.375,2020,1,2,15.76
33.0,35.0,2020,1,2,11.67
33.0,35.625,2020,1,2,5.06
29.5,34.375,2020,1,3,1.5
29.5,35.0,2020,1,3,4.57
29.5,35.625,2020,1,3,-0.1
30.0,34.375,2020,1,3,2.48
30.0,35.0,2020,1,3,3.13
30.0,35.625,2020,1,3,-0.59
30.5,34.375,2020,1,3,3.51
30.5,35.0,2020,1,3,4.25
30.5,35.625,2020,1,3,-0.48
31.0,34.375,2020,1,3,5.35
31.0,35.0,2020,1,3,4.15
31.0,35.625,2020,1,3,3.34
31.5,34.375,2020,1,3,11.8
31.5,35.0,2020,1,3,4.1
31.5,35.625,2020,1,3,6.66
32.0,34.375,2020,1,3,15.72
32.0,35.0,2020,1,3,7.5
32.0,35.625,2020,1,3,5.8
32.5,34.375,2020,1,3,15.95
32.5,35.0,2020,1,3,10.62
32.5,35.625,2020,1,3,5.04
33.0,34.375,2020,1,3,16.09
