-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2020 through 12/31/2020 in LST
Location: Regional 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
T2M_RANGE     MERRA-2 Temperature at 2 Meters Range (C) 
-END HEADER-
LAT,LON,YEAR,MO,DY,T2M_RANGE
29.5,34.375,2020,1,1,9.31
29.5,35.0,2020,1,1,11.84
29.5,35.625,2020,1,1,13.57
30.0,34.375,2020,1,1,9.07
30.0,35.0,2020,1,1,11.45
30.0,35.625,2020,1,1,12.56
30.5,34.375,2020,1,1,7.57
30.5,35.0,2020,1,1,7.85
30.5,35.625,2020,1,1,11.53
31.0,34.375,2020,1,1,7.01
31.0,35.0,2020,1,1,7.71
31.0,35.625,2020,1,1,8.43
31.5,34.375,2020,1,1,3.47
31.5,35.0,2020,1,1,7.55
31.5,35.625,2020,1,1,7.0
32.0,34.375,2020,1,1,0.65
32.0,35.0,2020,1,1,4.41
32.0,35.625,2020,1,1,9.68
32.5,34.375,2020,1,1,0.93
32.5,35.0,2020,1,1,5.54
32.5,35.625,2020,1,1,11.12
33.0,34.375,2020,1,1,0.93
33.0,35.0,2020,1,1,3.65
33.0,35.625,2020,1,1,9.44
29.5,34.375,2020,1,2,12.55
29.5,35.0,2020,1,2,9.66
29.5,35.625,2020,1,2,12.21
30.0,34.375,2020,1,2,11.34
30.0,35.0,2020,1,2,10.38
30.0,35.625,2020,1,2,9.95
30.5,34.375,2020,1,2,10.29
30.5,35.0,2020,1,2,9.89
30.5,35.625,2020,1,2,8.44
31.0,34.375,2020,1,2,8.95
31.0,35.0,2020,1,2,9.06
31.0,35.625,2020,1,2,8.45
31.5,34.375,2020,1,2,3.72
31.5,35.0,2020,1,2,8.07
31.5,35.625,2020,1,2,7.93
32.0,34.375,2020,1,2,1.95
32.0,35.0,2020,1,2,6.23
32.0,35.625,2020,1,2,10.46
32.5,34.375,2020,1,2,2.58
32.5,35.0,2020,1,2,6.04
32.5,35.625,2020,1,2,11.14
33.0,34.375,2020,1,2,2.71
33.0,35.0,2020,1,2,4.34
33.0,35.625,2020,1,2,9.09
29.5,34.375,2020,1,3,12.42
29.5,35.0,2020,1,3,10.4
29.5,35.625,2020,1,3,13.39
30.0,34.375,2020,1,3,11.33
30.0,35.0,2020,1,3,11.36
30.0,35.625,2020,1,3,11.64
30.5,34.375,2020,1,3,10.36
30.5,35.0,2020,1,3,10.59
30.5,35.625,2020,1,3,10.34
31.0,34.375,2020,1,3,9.67
31.0,35.0,2020,1,3,10.82
31.0,35.625,2020,1,3,9.74
31.5,34.375,2020,1,3,4.34
31.5,35.0,2020,1,3,9.99
31.5,35.625,2020,1,3,8.75
32.0,34.375,2020,1,3,1.59
32.0,35.0,2020,1,3,6.63
32.0,35.625,2020,1,3,10.05
32.5,34.375,2020,1,3,2.07
32.5,35.0,2020,1,3,4.55
32.5,35.625,2020,1,3,10.8
33.0,34.375,2020,1,3,2.3
33.0,35.0,2020,1,3,2.55
33.0,35.625,2020,1,3,9.51
29.5,34.375,2020,1,4,9.97
29.5,35.0,2020,1,4,9.99
29.5,35.625,2020,1,4,11.0
30.0,34.375,2020,1,4,9.5
30.0,35.0,2020,1,4,9.37
30.0,35.625,2020,1,4,8.73
30.5,34.375,2020,1,4,8.88
30.5,35.0,2020,1,4,9.07
30.5,35.625,2020,1,4,7.68
31.0,34.375,2020,1,4,7.43
31.0,35.0,2020,1,4,8.98
31.0,35.625,2020,1,4,7.09
31.5,34.375,2020,1,4,3.84
31.5,35.0,2020,1,4,6.27
31.5,35.625,2020,1,4,6.72
32.0,34.375,2020,1,4,2.67
32.0,35.0,2020,1,4,5.22
32.0,35.625,2020,1,4,7.34
32.5,34.375,2020,1,4,2.22
32.5,35.0,2020,1,4,3.66
32.5,35.625,2020,1,4,6.9
33.0,34.375,2020,1,4,1.19
33.0,35.0,2020,1,4,2.82
33.0,35.625,2020,1,4,6.71
29.5,34.375,2020,1,5,13.66
29.5,35.0,2020,1,5,10.8
29.5,35.625,2020,1,5,9.83
30.0,34.375,2020,1,5,12.08
30.0,35.0,2020,1,5,10.62
30.0,35.625,2020,1,5,8.56
30.5,34.375,2020,1,5,11.27
30.5,35.0,2020,1,5,11.16
30.5,35.625,2020,1,5,8.57
31.0,34.375,2020,1,5,10.14
31.0,35.0,2020,1,5,10.48
31.0,35.625,2020,1,5,8.94
31.5,34.375,2020,1,5,4.35
31.5,35.0,2020,1,5,9.44
31.5,35.625,2020,1,5,8.31
32.0,34.375,2020,1,5,0.7
32.0,35.0,2020,1,5,5.68
32.0,35.625,2020,1,5,9.31
32.5,34.375,2020,1,5,0.78
32.5,35.0,2020,1,5,2.82
32.5,35.625,2020,1,5,7.67
33.0,34.375,2020,1,5,1.03
33.0,35.0,2020,1,5,1.63
33.0,35.625,2020,1,5,5.13
29.5,34.375,2020,1,6,16.53
29.5,35.0,2020,1,6,12.39
29.5,35.625,2020,1,6,16.18
30.0,34.375,2020,1,6,16.2
30.0,35.0,2020,1,6,14.28
30.0,35.625,2020,1,6,15.27
30.5,34.375,2020,1,6,13.85
30.5,35.0,2020,1,6,14.36
30.5,35.625,2020,1,6,14.27
31.0,34.375,2020,1,6,12.04
31.0,35.0,2020,1,6,13.43
31.0,35.625,2020,1,6,13.2
31.5,34.375,2020,1,6,7.92
31.5,35.0,2020,1,6,12.92
31.5,35.625,2020,1,6,10.37
32.0,34.375,2020,1,6,2.43
32.0,35.0,2020,1,6,10.68
32.0,35.625,2020,1,6,12.1
32.5,34.375,2020,1,6,1.59
32.5,35.0,2020,1,6,7.69
32.5,35.625,2020,1,6,12.52
33.0,34.375,2020,1,6,1.4
33.0,35.0,2020,1,6,5.12
33.0,35.625,2020,1,6,11.13
29.5,34.375,2020,1,7,13.8
29.5,35.0,2020,1,7,12.73
29.5,35.625,2020,1,7,15.16
30.0,34.375,2020,1,7,12.15
30.0,35.0,2020,1,7,12.94
30.0,35.625,2020,1,7,13.55
30.5,34.375,2020,1,7,10.87
30.5,35.0,2020,1,7,12.19
30.5,35.625,2020,1,7,12.25
31.0,34.375,2020,1,7,9.51
31.0,35.0,2020,1,7,12.77
31.0,35.625,2020,1,7,11.76
31.5,34.375,2020,1,7,5.7
31.5,35.0,2020,1,7,11.15
31.5,35.625,2020,1,7,10.38
32.0,34.375,2020,1,7,1.45
32.0,35.0,2020,1,7,8.35
32.0,35.625,2020,1,7,12.09
32.5,34.375,2020,1,7,2.25
32.5,35.0,2020,1,7,6.59
32.5,35.625,2020,1,7,12.54
33.0,34.375,2020,1,7,2.41
33.0,35.0,2020,1,7,4.34
33.0,35.625,2020,1,7,12.5
