-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2009 through 12/31/2009 in LST
Location: Regional 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
-END HEADER-
LAT,LON,YEAR,MO,DY,PRECTOTCORR
29.5,34.375,2009,1,1,0.35
29.5,35.0,2009,1,1,0.06
29.5,35.625,2009,1,1,0.02
30.0,34.375,2009,1,1,0.79
30.0,35.0,2009,1,1,0.3
30.0,35.625,2009,1,1,0.3
30.5,34.375,2009,1,1,1.11
30.5,35.0,2009,1,1,0.61
30.5,35.625,2009,1,1,0.64
31.0,34.375,2009,1,1,0.65
31.0,35.0,2009,1,1,0.3
31.0,35.625,2009,1,1,0.17
31.5,34.375,2009,1,1,0.25
31.5,35.0,2009,1,1,0.1
31.5,35.625,2009,1,1,0.02
32.0,34.375,2009,1,1,0.06
32.0,35.0,2009,1,1,0.02
32.0,35.625,2009,1,1,0.01
32.5,34.375,2009,1,1,0.02
32.5,35.0,2009,1,1,0.02
32.5,35.625,2009,1,1,0.01
33.0,34.375,2009,1,1,0.0
33.0,35.0,2009,1,1,0.01
33.0,35.625,2009,1,1,0.01
29.5,34.375,2009,1,2,0.01
29.5,35.0,2009,1,2,0.0
29.5,35.625,2009,1,2,0.0
30.0,34.375,2009,1,2,0.13
30.0,35.0,2009,1,2,0.01
30.0,35.625,2009,1,2,0.0
30.5,34.375,2009,1,2,0.39
30.5,35.0,2009,1,2,0.08
30.5,35.625,2009,1,2,0.0
31.0,34.375,2009,1,2,0.36
31.0,35.0,2009,1,2,0.19
31.0,35.625,2009,1,2,0.0
31.5,34.375,2009,1,2,0.54
31.5,35.0,2009,1,2,0.17
31.5,35.625,2009,1,2,0.0
32.0,34.375,2009,1,2,0.66
32.0,35.0,2009,1,2,0.11
32.0,35.625,2009,1,2,0.0
32.5,34.375,2009,1,2,0.86
32.5,35.0,2009,1,2,0.09
32.5,35.625,2009,1,2,0.0
33.0,34.375,2009,1,2,1.58
33.0,35.0,2009,1,2,0.53
33.0,35.625,2009,1,2,0.0
29.5,34.375,2009,1,3,0.0
29.5,35.0,2009,1,3,0.0
29.5,35.625,2009,1,3,0.0
30.0,34.375,2009,1,3,0.0
30.0,35.0,2009,1,3,0.0
30.0,35.625,2009,1,3,0.0
30.5,34.375,2009,1,3,0.0
30.5,35.0,2009,1,3,0.0
30.5,35.625,2009,1,3,0.0
31.0,34.375,2009,1,3,0.01
31.0,35.0,2009,1,3,0.0
31.0,35.625,2009,1,3,0.0
31.5,34.375,2009,1,3,0.12
31.5,35.0,2009,1,3,0.01
31.5,35.625,2009,1,3,0.0
32.0,34.375,2009,1,3,0.43
32.0,35.0,2009,1,3,0.04
32.0,35.625,2009,1,3,0.0
32.5,34.375,2009,1,3,0.7
32.5,35.0,2009,1,3,0.1
32.5,35.625,2009,1,3,0.0
33.0,34.375,2009,1,3,1.43
33.0,35.0,2009,1,3,0.98
33.0,35.625,2009,1,3,0.0
29.5,34.375,2009,1,4,0.0
29.5,35.0,2009,1,4,0.0
29.5,35.625,2009,1,4,0.0
30.0,34.375,2009,1,4,0.0
30.0,35.0,2009,1,4,0.0
30.0,35.625,2009,1,4,0.0
30.5,34.375,2009,1,4,0.01
30.5,35.0,2009,1,4,0.0
30.5,35.625,2009,1,4,0.0
31.0,34.375,2009,1,4,0.07
31.0,35.0,2009,1,4,0.01
31.0,35.625,2009,1,4,0.0
31.5,34.375,2009,1,4,0.65
31.5,35.0,2009,1,4,0.03
31.5,35.625,2009,1,4,0.0
32.0,34.375,2009,1,4,1.8
32.0,35.0,2009,1,4,0.05
32.0,35.625,2009,1,4,0.0
32.5,34.375,2009,1,4,3.54
32.5,35.0,2009,1,4,0.31
32.5,35.625,2009,1,4,0.0
33.0,34.375,2009,1,4,7.32
33.0,35.0,2009,1,4,2.01
33.0,35.625,2009,1,4,0.0
29.5,34.375,2009,1,5,0.0
29.5,35.0,2009,1,5,0.0
29.5,35.625,2009,1,5,0.0
30.0,34.375,2009,1,5,0.0
30.0,35.0,2009,1,5,0.0
30.0,35.625,2009,1,5,0.0
30.5,34.375,2009,1,5,0.0
30.5,35.0,2009,1,5,0.0
30.5,35.625,2009,1,5,0.0
31.0,34.375,2009,1,5,0.01
31.0,35.0,2009,1,5,0.0
31.0,35.625,2009,1,5,0.0
31.5,34.375,2009,1,5,0.2
31.5,35.0,2009,1,5,0.16
31.5,35.625,2009,1,5,0.0
32.0,34.375,2009,1,5,0.83
32.0,35.0,2009,1,5,0.78
32.0,35.625,2009,1,5,0.01
32.5,34.375,2009,1,5,1.17
32.5,35.0,2009,1,5,0.75
32.5,35.625,2009,1,5,0.0
