-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2009 through 12/31/2009 in LST
Location: Regional 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
T2M_MAX     MERRA-2 Temperature at 2 Meters Maximum (C) 
-END HEADER-
LAT,LON,YEAR,MO,DY,T2M_MAX
29.5,34.375,2009,1,1,9.7
29.5,35.0,2009,1,1,11.66
29.5,35.625,2009,1,1,9.85
30.0,34.375,2009,1,1,9.72
30.0,35.0,2009,1,1,11.0
30.0,35.625,2009,1,1,6.94
30.5,34.375,2009,1,1,10.4
30.5,35.0,2009,1,1,11.19
30.5,35.625,2009,1,1,5.79
31.0,34.375,2009,1,1,12.76
31.0,35.0,2009,1,1,12.44
31.0,35.625,2009,1,1,9.93
31.5,34.375,2009,1,1,14.05
31.5,35.0,2009,1,1,11.39
31.5,35.625,2009,1,1,12.77
32.0,34.375,2009,1,1,14.19
32.0,35.0,2009,1,1,11.21
32.0,35.625,2009,1,1,12.05
32.5,34.375,2009,1,1,13.8
32.5,35.0,2009,1,1,11.23
32.5,35.625,2009,1,1,11.33
33.0,34.375,2009,1,1,13.08
33.0,35.0,2009,1,1,10.73
33.0,35.625,2009,1,1,8.07
29.5,34.375,2009,1,2,10.94
29.5,35.0,2009,1,2,12.77
29.5,35.625,2009,1,2,9.53
30.0,34.375,2009,1,2,12.06
30.0,35.0,2009,1,2,12.23
30.0,35.625,2009,1,2,8.52
30.5,34.375,2009,1,2,12.43
30.5,35.0,2009,1,2,12.54
30.5,35.625,2009,1,2,7.77
31.0,34.375,2009,1,2,13.68
31.0,35.0,2009,1,2,13.09
31.0,35.625,2009,1,2,10.34
31.5,34.375,2009,1,2,14.45
31.5,35.0,2009,1,2,12.79
31.5,35.625,2009,1,2,13.18
32.0,34.375,2009,1,2,15.89
32.0,35.0,2009,1,2,13.28
32.0,35.625,2009,1,2,13.91
32.5,34.375,2009,1,2,15.81
32.5,35.0,2009,1,2,13.27
32.5,35.625,2009,1,2,14.07
33.0,34.375,2009,1,2,15.71
33.0,35.0,2009,1,2,12.71
33.0,35.625,2009,1,2,11.74
29.5,34.375,2009,1,3,13.57
29.5,35.0,2009,1,3,15.4
29.5,35.625,2009,1,3,9.98
30.0,34.375,2009,1,3,14.53
30.0,35.0,2009,1,3,15.58
30.0,35.625,2009,1,3,9.01
30.5,34.375,2009,1,3,14.63
30.5,35.0,2009,1,3,15.79
30.5,35.625,2009,1,3,9.72
31.0,34.375,2009,1,3,15.93
31.0,35.0,2009,1,3,15.86
31.0,35.625,2009,1,3,14.6
31.5,34.375,2009,1,3,17.41
31.5,35.0,2009,1,3,15.61
31.5,35.625,2009,1,3,16.73
32.0,34.375,2009,1,3,17.01
32.0,35.0,2009,1,3,15.88
32.0,35.625,2009,1,3,16.3
32.5,34.375,2009,1,3,17.27
32.5,35.0,2009,1,3,16.46
32.5,35.625,2009,1,3,16.9
33.0,34.375,2009,1,3,17.47
33.0,35.0,2009,1,3,16.3
33.0,35.625,2009,1,3,14.58
29.5,34.375,2009,1,4,13.27
29.5,35.0,2009,1,4,14.82
29.5,35.625,2009,1,4,13.73
30.0,34.375,2009,1,4,13.83
30.0,35.0,2009,1,4,14.7
30.0,35.625,2009,1,4,11.53
30.5,34.375,2009,1,4,14.47
30.5,35.0,2009,1,4,15.15
30.5,35.625,2009,1,4,10.63
31.0,34.375,2009,1,4,16.15
31.0,35.0,2009,1,4,16.08
31.0,35.625,2009,1,4,13.78
31.5,34.375,2009,1,4,17.82
31.5,35.0,2009,1,4,16.26
31.5,35.625,2009,1,4,16.17
32.0,34.375,2009,1,4,16.9
32.0,35.0,2009,1,4,16.62
32.0,35.625,2009,1,4,16.35
