-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2009 through 12/31/2009 in LST
Location: Regional 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
QV2M     MERRA-2 Specific Humidity at 2 Meters (g/kg) 
-END HEADER-
LAT,LON,YEAR,MO,DY,QV2M
29.5,34.375,2009,1,1,5.08
29.5,35.0,2009,1,1,5.04
29.5,35.625,2009,1,1,4.2
30.0,34.375,2009,1,1,5.1
30.0,35.0,2009,1,1,4.79
30.0,35.625,2009,1,1,4.14
30.5,34.375,2009,1,1,5.02
30.5,35.0,2009,1,1,4.84
30.5,35.625,2009,1,1,4.06
31.0,34.375,2009,1,1,5.1
31.0,35.0,2009,1,1,4.67
31.0,35.625,2009,1,1,4.23
31.5,34.375,2009,1,1,5.96
31.5,35.0,2009,1,1,4.45
31.5,35.625,2009,1,1,4.21
32.0,34.375,2009,1,1,6.67
32.0,35.0,2009,1,1,4.61
32.0,35.625,2009,1,1,4.03
32.5,34.375,2009,1,1,6.53
32.5,35.0,2009,1,1,4.96
32.5,35.625,2009,1,1,3.84
33.0,34.375,2009,1,1,6.24
33.0,35.0,2009,1,1,5.18
33.0,35.625,2009,1,1,3.49
29.5,34.375,2009,1,2,4.0
29.5,35.0,2009,1,2,3.9
29.5,35.625,2009,1,2,3.12
30.0,34.375,2009,1,2,4.23
30.0,35.0,2009,1,2,4.0
30.0,35.625,2009,1,2,3.32
30.5,34.375,2009,1,2,4.57
30.5,35.0,2009,1,2,4.29
30.5,35.625,2009,1,2,3.69
31.0,34.375,2009,1,2,4.95
31.0,35.0,2009,1,2,4.54
31.0,35.625,2009,1,2,4.06
31.5,34.375,2009,1,2,5.87
31.5,35.0,2009,1,2,4.92
31.5,35.625,2009,1,2,4.38
32.0,34.375,2009,1,2,6.42
32.0,35.0,2009,1,2,5.25
32.0,35.625,2009,1,2,4.3
32.5,34.375,2009,1,2,6.28
32.5,35.0,2009,1,2,5.28
32.5,35.625,2009,1,2,4.1
33.0,34.375,2009,1,2,6.3
33.0,35.0,2009,1,2,5.5
33.0,35.625,2009,1,2,4.07
29.5,34.375,2009,1,3,2.62
29.5,35.0,2009,1,3,2.3
29.5,35.625,2009,1,3,1.89
30.0,34.375,2009,1,3,2.95
30.0,35.0,2009,1,3,2.39
30.0,35.625,2009,1,3,2.04
30.5,34.375,2009,1,3,3.56
30.5,35.0,2009,1,3,3.08
30.5,35.625,2009,1,3,2.33
31.0,34.375,2009,1,3,4.19
31.0,35.0,2009,1,3,3.47
31.0,35.625,2009,1,3,2.74
31.5,34.375,2009,1,3,5.62
31.5,35.0,2009,1,3,3.78
31.5,35.625,2009,1,3,3.48
32.0,34.375,2009,1,3,6.4
32.0,35.0,2009,1,3,4.6
32.0,35.625,2009,1,3,3.66
32.5,34.375,2009,1,3,6.57
32.5,35.0,2009,1,3,5.18
32.5,35.625,2009,1,3,3.87
33.0,34.375,2009,1,3,6.96
33.0,35.0,2009,1,3,5.84
33.0,35.625,2009,1,3,3.99
29.5,34.375,2009,1,4,3.36
29.5,35.0,2009,1,4,2.83
29.5,35.625,2009,1,4,2.06
30.0,34.375,2009,1,4,3.82
30.0,35.0,2009,1,4,3.07
30.0,35.625,2009,1,4,2.29
30.5,34.375,2009,1,4,4.68
30.5,35.0,2009,1,4,3.91
30.5,35.625,2009,1,4,2.5
31.0,34.375,2009,1,4,5.79
31.0,35.0,2009,1,4,4.11
31.0,35.625,2009,1,4,2.72
31.5,34.375,2009,1,4,6.5
31.5,35.0,2009,1,4,4.35
31.5,35.625,2009,1,4,3.12
32.0,34.375,2009,1,4,6.87
32.0,35.0,2009,1,4,4.62
32.0,35.625,2009,1,4,2.79
32.5,34.375,2009,1,4,6.7
32.5,35.0,2009,1,4,4.6
32.5,35.625,2009,1,4,2.69
33.0,34.375,2009,1,4,6.7
33.0,35.0,2009,1,4,4.87
33.0,35.625,2009,1,4,2.46
29.5,34.375,2009,1,5,3.03
29.5,35.0,2009,1,5,2.31
29.5,35.625,2009,1,5,1.82
30.0,34.375,2009,1,5,3.72
30.0,35.0,2009,1,5,2.63
30.0,35.625,2009,1,5,1.99
30.5,34.375,2009,1,5,4.9
30.5,35.0,2009,1,5,3.88
