-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2009 through 12/31/2009 in LST
Location: Regional 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
WS10M_MIN     MERRA-2 Wind Speed at 10 Meters Minimum (m/s) 
-END HEADER-
LAT,LON,YEAR,MO,DY,WS10M_MIN
29.5,34.375,2009,1,1,3.74
29.5,35.0,2009,1,1,3.29
29.5,35.625,2009,1,1,2.56
30.0,34.375,2009,1,1,1.39
30.0,35.0,2009,1,1,1.72
30.0,35.625,2009,1,1,2.57
30.5,34.375,2009,1,1,1.28
30.5,35.0,2009,1,1,0.68
30.5,35.625,2009,1,1,1.89
31.0,34.375,2009,1,1,1.51
31.0,35.0,2009,1,1,1.51
31.0,35.625,2009,1,1,0.54
31.5,34.375,2009,1,1,3.15
31.5,35.0,2009,1,1,2.37
31.5,35.625,2009,1,1,1.36
32.0,34.375,2009,1,1,4.6
32.0,35.0,2009,1,1,2.42
32.0,35.625,2009,1,1,1.68
32.5,34.375,2009,1,1,4.55
32.5,35.0,2009,1,1,2.5
32.5,35.625,2009,1,1,1.52
33.0,34.375,2009,1,1,3.63
33.0,35.0,2009,1,1,3.35
33.0,35.625,2009,1,1,1.93
29.5,34.375,2009,1,2,2.01
29.5,35.0,2009,1,2,2.69
29.5,35.625,2009,1,2,1.16
30.0,34.375,2009,1,2,1.54
30.0,35.0,2009,1,2,1.74
30.0,35.625,2009,1,2,1.18
30.5,34.375,2009,1,2,0.6
30.5,35.0,2009,1,2,0.76
30.5,35.625,2009,1,2,0.87
31.0,34.375,2009,1,2,0.47
31.0,35.0,2009,1,2,0.35
31.0,35.625,2009,1,2,0.19
31.5,34.375,2009,1,2,0.46
31.5,35.0,2009,1,2,0.47
31.5,35.625,2009,1,2,0.44
32.0,34.375,2009,1,2,0.71
32.0,35.0,2009,1,2,0.43
32.0,35.625,2009,1,2,0.66
32.5,34.375,2009,1,2,1.22
32.5,35.0,2009,1,2,0.27
32.5,35.625,2009,1,2,0.15
33.0,34.375,2009,1,2,1.19
33.0,35.0,2009,1,2,0.86
33.0,35.625,2009,1,2,0.81
29.5,34.375,2009,1,3,1.75
29.5,35.0,2009,1,3,1.55
29.5,35.625,2009,1,3,2.83
30.0,34.375,2009,1,3,1.28
30.0,35.0,2009,1,3,1.36
30.0,35.625,2009,1,3,3.11
30.5,34.375,2009,1,3,1.45
30.5,35.0,2009,1,3,1.15
30.5,35.625,2009,1,3,3.23
31.0,34.375,2009,1,3,1.36
31.0,35.0,2009,1,3,1.2
31.0,35.625,2009,1,3,2.47
31.5,34.375,2009,1,3,1.08
31.5,35.0,2009,1,3,1.53
31.5,35.625,2009,1,3,2.34
32.0,34.375,2009,1,3,0.18
32.0,35.0,2009,1,3,2.04
32.0,35.625,2009,1,3,2.77
32.5,34.375,2009,1,3,0.23
32.5,35.0,2009,1,3,1.0
32.5,35.625,2009,1,3,1.74
33.0,34.375,2009,1,3,1.81
33.0,35.0,2009,1,3,1.12
33.0,35.625,2009,1,3,1.3
29.5,34.375,2009,1,4,2.03
29.5,35.0,2009,1,4,2.02
29.5,35.625,2009,1,4,0.96
30.0,34.375,2009,1,4,0.28
30.0,35.0,2009,1,4,1.51
30.0,35.625,2009,1,4,0.3
30.5,34.375,2009,1,4,0.5
30.5,35.0,2009,1,4,0.17
30.5,35.625,2009,1,4,0.79
31.0,34.375,2009,1,4,0.33
31.0,35.0,2009,1,4,0.18
31.0,35.625,2009,1,4,0.42
31.5,34.375,2009,1,4,0.8
31.5,35.0,2009,1,4,0.44
31.5,35.625,2009,1,4,0.31
32.0,34.375,2009,1,4,0.41
32.0,35.0,2009,1,4,0.39
32.0,35.625,2009,1,4,0.24
32.5,34.375,2009,1,4,0.75
32.5,35.0,2009,1,4,0.58
32.5,35.625,2009,1,4,0.7
33.0,34.375,2009,1,4,2.56
33.0,35.0,2009,1,4,1.9
33.0,35.625,2009,1,4,0.78
29.5,34.375,2009,1,5,1.1
29.5,35.0,2009,1,5,1.25
29.5,35.625,2009,1,5,2.18
30.0,34.375,2009,1,5,1.38
30.0,35.0,2009,1,5,1.36
30.0,35.625,2009,1,5,2.53
30.5,34.375,2009,1,5,1.53
30.5,35.0,2009,1,5,1.45
30.5,35.625,2009,1,5,2.26
31.0,34.375,2009,1,5,1.1
31.0,35.0,2009,1,5,0.86
31.0,35.625,2009,1,5,1.2
31.5,34.375,2009,1,5,0.33
31.5,35.0,2009,1,5,0.39
31.5,35.625,2009,1,5,1.73
32.0,34.375,2009,1,5,2.5
32.0,35.0,2009,1,5,0.29
32.0,35.625,2009,1,5,1.66
32.5,34.375,2009,1,5,0.89
32.5,35.0,2009,1,5,1.01
32.5,35.625,2009,1,5,1.04
33.0,34.375,2009,1,5,1.11
33.0,35.0,2009,1,5,0.36
33.0,35.625,2009,1,5,1.13
29.5,34.375,2009,1,6,1.12
29.5,35.0,2009,1,6,0.18
29.5,35.625,2009,1,6,0.41
30.0,34.375,2009,1,6,0.76
30.0,35.0,2009,1,6,0.33
30.0,35.625,2009,1,6,0.8
30.5,34.375,2009,1,6,0.19
30.5,35.0,2009,1,6,0.55
30.5,35.625,2009,1,6,0.09
31.0,34.375,2009,1,6,0.81
31.0,35.0,2009,1,6,0.33
31.0,35.625,2009,1,6,0.67
31.5,34.375,2009,1,6,1.08
31.5,35.0,2009,1,6,0.33
31.5,35.625,2009,1,6,0.11
32.0,34.375,2009,1,6,2.16
32.0,35.0,2009,1,6,0.8
32.0,35.625,2009,1,6,1.34
32.5,34.375,2009,1,6,2.43
32.5,35.0,2009,1,6,1.33
32.5,35.625,2009,1,6,1.56
33.0,34.375,2009,1,6,3.96
33.0,35.0,2009,1,6,2.26
33.0,35.625,2009,1,6,1.37
29.5,34.375,2009,1,7,2.72
29.5,35.0,2009,1,7,1.13
29.5,35.625,2009,1,7,2.14
30.0,34.375,2009,1,7,2.33
30.0,35.0,2009,1,7,1.7
30.0,35.625,2009,1,7,1.58
30.5,34.375,2009,1,7,1.91
30.5,35.0,2009,1,7,0.89
30.5,35.625,2009,1,7,0.7
31.0,34.375,2009,1,7,1.84
31.0,35.0,2009,1,7,1.27
31.0,35.625,2009,1,7,0.28
31.5,34.375,2009,1,7,2.91
31.5,35.0,2009,1,7,1.01
31.5,35.625,2009,1,7,0.45
32.0,34.375,2009,1,7,3.9
32.0,35.0,2009,1,7,2.2
32.0,35.625,2009,1,7,1.01
32.5,34.375,2009,1,7,3.47
32.5,35.0,2009,1,7,2.45
32.5,35.625,2009,1,7,1.27
33.0,34.375,2009,1,7,4.12
33.0,35.0,2009,1,7,3.2
33.0,35.625,2009,1,7,1.37
29.5,34.375,2009,1,8,1.94
29.5,35.0,2009,1,8,1.65
29.5,35.625,2009,1,8,1.08
30.0,34.375,2009,1,8,1.7
