-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2013 through 12/31/2013 in LST
Location: Regional 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
WS50M_RANGE     MERRA-2 Wind Speed at 50 Meters Range (m/s) 
-END HEADER-
LAT,LON,YEAR,MO,DY,WS50M_RANGE
29.5,34.375,2013,1,1,6.75
29.5,35.0,2013,1,1,5.58
29.5,35.625,2013,1,1,3.9
30.0,34.375,2013,1,1,6.72
30.0,35.0,2013,1,1,5.99
30.0,35.625,2013,1,1,5.13
30.5,34.375,2013,1,1,5.18
30.5,35.0,2013,1,1,5.53
30.5,35.625,2013,1,1,8.96
31.0,34.375,2013,1,1,3.68
31.0,35.0,2013,1,1,5.77
31.0,35.625,2013,1,1,9.38
31.5,34.375,2013,1,1,3.64
31.5,35.0,2013,1,1,5.58
31.5,35.625,2013,1,1,6.35
32.0,34.375,2013,1,1,5.88
32.0,35.0,2013,1,1,4.8
32.0,35.625,2013,1,1,6.6
32.5,34.375,2013,1,1,5.67
32.5,35.0,2013,1,1,4.95
32.5,35.625,2013,1,1,6.76
33.0,34.375,2013,1,1,4.55
33.0,35.0,2013,1,1,6.87
33.0,35.625,2013,1,1,6.28
29.5,34.375,2013,1,2,3.89
29.5,35.0,2013,1,2,2.76
29.5,35.625,2013,1,2,5.96
30.0,34.375,2013,1,2,5.31
30.0,35.0,2013,1,2,4.02
30.0,35.625,2013,1,2,5.11
30.5,34.375,2013,1,2,4.43
30.5,35.0,2013,1,2,4.09
30.5,35.625,2013,1,2,3.03
31.0,34.375,2013,1,2,3.69
31.0,35.0,2013,1,2,3.67
31.0,35.625,2013,1,2,2.58
31.5,34.375,2013,1,2,3.72
31.5,35.0,2013,1,2,4.05
31.5,35.625,2013,1,2,2.36
32.0,34.375,2013,1,2,3.19
32.0,35.0,2013,1,2,3.24
32.0,35.625,2013,1,2,3.53
32.5,34.375,2013,1,2,4.16
32.5,35.0,2013,1,2,3.26
32.5,35.625,2013,1,2,4.42
33.0,34.375,2013,1,2,3.76
33.0,35.0,2013,1,2,2.12
33.0,35.625,2013,1,2,4.83
29.5,34.375,2013,1,3,2.87
29.5,35.0,2013,1,3,4.42
29.5,35.625,2013,1,3,3.74
30.0,34.375,2013,1,3,3.9
30.0,35.0,2013,1,3,4.03
30.0,35.625,2013,1,3,5.42
30.5,34.375,2013,1,3,4.35
30.5,35.0,2013,1,3,3.27
30.5,35.625,2013,1,3,8.61
31.0,34.375,2013,1,3,4.37
31.0,35.0,2013,1,3,3.82
31.0,35.625,2013,1,3,8.43
31.5,34.375,2013,1,3,5.13
31.5,35.0,2013,1,3,4.36
31.5,35.625,2013,1,3,4.79
32.0,34.375,2013,1,3,4.73
32.0,35.0,2013,1,3,3.82
32.0,35.625,2013,1,3,3.23
32.5,34.375,2013,1,3,4.85
32.5,35.0,2013,1,3,4.77
32.5,35.625,2013,1,3,4.9
33.0,34.375,2013,1,3,4.35
33.0,35.0,2013,1,3,5.26
33.0,35.625,2013,1,3,5.59
29.5,34.375,2013,1,4,8.27
29.5,35.0,2013,1,4,5.89
29.5,35.625,2013,1,4,4.46
30.0,34.375,2013,1,4,6.55
30.0,35.0,2013,1,4,6.27
30.0,35.625,2013,1,4,5.19
30.5,34.375,2013,1,4,4.92
30.5,35.0,2013,1,4,5.47
30.5,35.625,2013,1,4,8.29
31.0,34.375,2013,1,4,5.26
31.0,35.0,2013,1,4,6.22
31.0,35.625,2013,1,4,8.16
31.5,34.375,2013,1,4,4.97
31.5,35.0,2013,1,4,5.48
31.5,35.625,2013,1,4,4.46
32.0,34.375,2013,1,4,4.71
32.0,35.0,2013,1,4,4.37
32.0,35.625,2013,1,4,3.78
32.5,34.375,2013,1,4,5.13
32.5,35.0,2013,1,4,3.75
32.5,35.625,2013,1,4,4.2
33.0,34.375,2013,1,4,4.25
33.0,35.0,2013,1,4,3.6
33.0,35.625,2013,1,4,4.78
29.5,34.375,2013,1,5,3.68
29.5,35.0,2013,1,5,3.92
29.5,35.625,2013,1,5,3.74
30.0,34.375,2013,1,5,3.73
30.0,35.0,2013,1,5,3.88
30.0,35.625,2013,1,5,2.86
30.5,34.375,2013,1,5,3.58
30.5,35.0,2013,1,5,2.83
30.5,35.625,2013,1,5,2.72
31.0,34.375,2013,1,5,2.48
31.0,35.0,2013,1,5,2.34
31.0,35.625,2013,1,5,2.39
31.5,34.375,2013,1,5,3.1
31.5,35.0,2013,1,5,2.72
31.5,35.625,2013,1,5,3.52
32.0,34.375,2013,1,5,5.55
32.0,35.0,2013,1,5,3.1
32.0,35.625,2013,1,5,4.44
32.5,34.375,2013,1,5,4.68
32.5,35.0,2013,1,5,3.57
32.5,35.625,2013,1,5,4.03
33.0,34.375,2013,1,5,4.38
33.0,35.0,2013,1,5,4.04
33.0,35.625,2013,1,5,4.1
29.5,34.375,2013,1,6,2.93
29.5,35.0,2013,1,6,6.17
29.5,35.625,2013,1,6,5.53
30.0,34.375,2013,1,6,4.12
30.0,35.0,2013,1,6,5.59
30.0,35.625,2013,1,6,4.94
30.5,34.375,2013,1,6,4.67
30.5,35.0,2013,1,6,4.53
30.5,35.625,2013,1,6,5.65
31.0,34.375,2013,1,6,6.17
31.0,35.0,2013,1,6,4.66
31.0,35.625,2013,1,6,4.21
31.5,34.375,2013,1,6,5.72
31.5,35.0,2013,1,6,5.71
31.5,35.625,2013,1,6,6.57
32.0,34.375,2013,1,6,8.35
32.0,35.0,2013,1,6,5.14
32.0,35.625,2013,1,6,5.31
32.5,34.375,2013,1,6,12.53
32.5,35.0,2013,1,6,8.76
32.5,35.625,2013,1,6,3.97
33.0,34.375,2013,1,6,14.45
33.0,35.0,2013,1,6,10.36
33.0,35.625,2013,1,6,5.22
29.5,34.375,2013,1,7,7.83
29.5,35.0,2013,1,7,5.68
29.5,35.625,2013,1,7,6.69
30.0,34.375,2013,1,7,8.16
30.0,35.0,2013,1,7,7.17
30.0,35.625,2013,1,7,7.04
30.5,34.375,2013,1,7,8.35
30.5,35.0,2013,1,7,8.83
30.5,35.625,2013,1,7,7.56
