-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2013 through 12/31/2013 in LST
Location: Regional 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
T2MDEW     MERRA-2 Dew/Frost Point at 2 Meters (C) 
-END HEADER-
LAT,LON,YEAR,MO,DY,T2MDEW
29.5,34.375,2013,1,1,5.08
29.5,35.0,2013,1,1,3.82
29.5,35.625,2013,1,1,0.55
30.0,34.375,2013,1,1,7.13
30.0,35.0,2013,1,1,5.3
30.0,35.625,2013,1,1,1.94
30.5,34.375,2013,1,1,8.82
30.5,35.0,2013,1,1,7.0
30.5,35.625,2013,1,1,3.31
31.0,34.375,2013,1,1,10.75
31.0,35.0,2013,1,1,7.72
31.0,35.625,2013,1,1,5.27
31.5,34.375,2013,1,1,11.83
31.5,35.0,2013,1,1,7.36
31.5,35.625,2013,1,1,7.3
32.0,34.375,2013,1,1,12.26
32.0,35.0,2013,1,1,8.17
32.0,35.625,2013,1,1,7.32
32.5,34.375,2013,1,1,12.14
32.5,35.0,2013,1,1,8.85
32.5,35.625,2013,1,1,7.14
33.0,34.375,2013,1,1,11.67
33.0,35.0,2013,1,1,9.26
33.0,35.625,2013,1,1,5.67
29.5,34.375,2013,1,2,4.43
29.5,35.0,2013,1,2,5.62
29.5,35.625,2013,1,2,1.46
30.0,34.375,2013,1,2,5.66
30.0,35.0,2013,1,2,6.62
30.0,35.625,2013,1,2,2.69
30.5,34.375,2013,1,2,6.67
30.5,35.0,2013,1,2,8.06
30.5,35.625,2013,1,2,5.16
31.0,34.375,2013,1,2,7.76
31.0,35.0,2013,1,2,8.95
31.0,35.625,2013,1,2,7.82
31.5,34.375,2013,1,2,9.61
31.5,35.0,2013,1,2,8.82
31.5,35.625,2013,1,2,9.93
32.0,34.375,2013,1,2,10.79
32.0,35.0,2013,1,2,9.31
32.0,35.625,2013,1,2,9.67
32.5,34.375,2013,1,2,10.79
32.5,35.0,2013,1,2,9.97
32.5,35.625,2013,1,2,9.3
33.0,34.375,2013,1,2,11.31
33.0,35.0,2013,1,2,10.38
33.0,35.625,2013,1,2,7.2
29.5,34.375,2013,1,3,2.62
29.5,35.0,2013,1,3,2.75
29.5,35.625,2013,1,3,0.82
30.0,34.375,2013,1,3,4.21
30.0,35.0,2013,1,3,3.08
30.0,35.625,2013,1,3,0.87
30.5,34.375,2013,1,3,6.18
30.5,35.0,2013,1,3,5.15
30.5,35.625,2013,1,3,2.05
31.0,34.375,2013,1,3,8.16
31.0,35.0,2013,1,3,6.39
31.0,35.625,2013,1,3,3.92
31.5,34.375,2013,1,3,10.34
