-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2015 through 12/31/2015 in LST
Location: Regional 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
QV2M     MERRA-2 Specific Humidity at 2 Meters (g/kg) 
-END HEADER-
LAT,LON,YEAR,MO,DY,QV2M
29.5,34.375,2015,1,1,2.72
29.5,35.0,2015,1,1,3.41
29.5,35.625,2015,1,1,3.06
30.0,34.375,2015,1,1,3.03
30.0,35.0,2015,1,1,3.4
30.0,35.625,2015,1,1,3.41
30.5,34.375,2015,1,1,3.77
30.5,35.0,2015,1,1,3.95
30.5,35.625,2015,1,1,4.01
31.0,34.375,2015,1,1,4.89
31.0,35.0,2015,1,1,5.03
31.0,35.625,2015,1,1,4.68
31.5,34.375,2015,1,1,6.89
31.5,35.0,2015,1,1,5.69
31.5,35.625,2015,1,1,5.76
32.0,34.375,2015,1,1,7.64
32.0,35.0,2015,1,1,6.19
32.0,35.625,2015,1,1,5.74
32.5,34.375,2015,1,1,7.72
32.5,35.0,2015,1,1,6.75
32.5,35.625,2015,1,1,5.85
33.0,34.375,2015,1,1,7.8
33.0,35.0,2015,1,1,7.05
33.0,35.625,2015,1,1,5.73
29.5,34.375,2015,1,2,3.12
29.5,35.0,2015,1,2,3.33
29.5,35.625,2015,1,2,3.26
30.0,34.375,2015,1,2,3.64
30.0,35.0,2015,1,2,3.56
30.0,35.625,2015,1,2,3.04
30.5,34.375,2015,1,2,4.44
30.5,35.0,2015,1,2,4.38
30.5,35.625,2015,1,2,3.88
31.0,34.375,2015,1,2,5.49
31.0,35.0,2015,1,2,5.57
31.0,35.625,2015,1,2,4.98
31.5,34.375,2015,1,2,7.42
31.5,35.0,2015,1,2,6.43
31.5,35.625,2015,1,2,6.39
32.0,34.375,2015,1,2,8.32
32.0,35.0,2015,1,2,6.98
32.0,35.625,2015,1,2,6.66
32.5,34.375,2015,1,2,8.48
32.5,35.0,2015,1,2,7.66
32.5,35.625,2015,1,2,7.07
33.0,34.375,2015,1,2,8.51
33.0,35.0,2015,1,2,7.92
33.0,35.625,2015,1,2,7.02
29.5,34.375,2015,1,3,4.64
29.5,35.0,2015,1,3,4.87
29.5,35.625,2015,1,3,4.49
30.0,34.375,2015,1,3,4.95
30.0,35.0,2015,1,3,4.91
30.0,35.625,2015,1,3,4.48
30.5,34.375,2015,1,3,5.59
30.5,35.0,2015,1,3,5.48
30.5,35.625,2015,1,3,4.65
31.0,34.375,2015,1,3,6.34
31.0,35.0,2015,1,3,6.22
31.0,35.625,2015,1,3,5.4
31.5,34.375,2015,1,3,7.41
31.5,35.0,2015,1,3,6.53
31.5,35.625,2015,1,3,6.45
32.0,34.375,2015,1,3,8.24
32.0,35.0,2015,1,3,6.93
32.0,35.625,2015,1,3,6.75
32.5,34.375,2015,1,3,8.36
32.5,35.0,2015,1,3,7.43
32.5,35.625,2015,1,3,7.05
33.0,34.375,2015,1,3,8.35
33.0,35.0,2015,1,3,7.74
33.0,35.625,2015,1,3,6.84
29.5,34.375,2015,1,4,4.19
29.5,35.0,2015,1,4,4.8
29.5,35.625,2015,1,4,4.49
30.0,34.375,2015,1,4,4.29
30.0,35.0,2015,1,4,4.7
30.0,35.625,2015,1,4,4.68
30.5,34.375,2015,1,4,4.81
30.5,35.0,2015,1,4,5.06
30.5,35.625,2015,1,4,4.92
31.0,34.375,2015,1,4,5.96
31.0,35.0,2015,1,4,5.77
31.0,35.625,2015,1,4,5.49
31.5,34.375,2015,1,4,7.93
31.5,35.0,2015,1,4,6.78
31.5,35.625,2015,1,4,6.4
32.0,34.375,2015,1,4,8.46
32.0,35.0,2015,1,4,7.41
32.0,35.625,2015,1,4,6.81
32.5,34.375,2015,1,4,8.41
32.5,35.0,2015,1,4,7.68
32.5,35.625,2015,1,4,7.02
33.0,34.375,2015,1,4,8.35
33.0,35.0,2015,1,4,7.82
33.0,35.625,2015,1,4,6.84
29.5,34.375,2015,1,5,3.71
29.5,35.0,2015,1,5,4.4
29.5,35.625,2015,1,5,3.92
30.0,34.375,2015,1,5,4.08
30.0,35.0,2015,1,5,4.17
30.0,35.625,2015,1,5,3.91
30.5,34.375,2015,1,5,4.52
30.5,35.0,2015,1,5,4.58
30.5,35.625,2015,1,5,4.05
31.0,34.375,2015,1,5,4.93
31.0,35.0,2015,1,5,4.83
31.0,35.625,2015,1,5,4.57
31.5,34.375,2015,1,5,7.02
31.5,35.0,2015,1,5,5.31
31.5,35.625,2015,1,5,5.29
32.0,34.375,2015,1,5,8.28
32.0,35.0,2015,1,5,6.47
32.0,35.625,2015,1,5,5.7
32.5,34.375,2015,1,5,8.61
32.5,35.0,2015,1,5,7.42
32.5,35.625,2015,1,5,6.23
33.0,34.375,2015,1,5,8.9
33.0,35.0,2015,1,5,8.04
33.0,35.625,2015,1,5,6.44
29.5,34.375,2015,1,6,4.1
