-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2015 through 12/31/2015 in LST
Location: Regional 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
WS10M_RANGE     MERRA-2 Wind Speed at 10 Meters Range (m/s) 
-END HEADER-
LAT,LON,YEAR,MO,DY,WS10M_RANGE
29.5,34.375,2015,1,1,3.39
29.5,35.0,2015,1,1,5.14
29.5,35.625,2015,1,1,3.71
30.0,34.375,2015,1,1,4.66
30.0,35.0,2015,1,1,3.74
30.0,35.625,2015,1,1,3.46
30.5,34.375,2015,1,1,4.32
30.5,35.0,2015,1,1,4.39
30.5,35.625,2015,1,1,3.45
31.0,34.375,2015,1,1,4.4
31.0,35.0,2015,1,1,4.73
31.0,35.625,2015,1,1,2.14
31.5,34.375,2015,1,1,5.22
31.5,35.0,2015,1,1,4.85
31.5,35.625,2015,1,1,3.01
32.0,34.375,2015,1,1,7.1
32.0,35.0,2015,1,1,5.34
32.0,35.625,2015,1,1,3.57
32.5,34.375,2015,1,1,8.71
32.5,35.0,2015,1,1,4.75
32.5,35.625,2015,1,1,2.11
33.0,34.375,2015,1,1,8.63
33.0,35.0,2015,1,1,6.09
33.0,35.625,2015,1,1,2.06
29.5,34.375,2015,1,2,2.01
29.5,35.0,2015,1,2,1.02
29.5,35.625,2015,1,2,2.29
30.0,34.375,2015,1,2,2.59
30.0,35.0,2015,1,2,2.26
30.0,35.625,2015,1,2,2.92
30.5,34.375,2015,1,2,2.79
30.5,35.0,2015,1,2,1.83
30.5,35.625,2015,1,2,3.08
31.0,34.375,2015,1,2,3.77
31.0,35.0,2015,1,2,1.33
31.0,35.625,2015,1,2,2.38
31.5,34.375,2015,1,2,2.71
31.5,35.0,2015,1,2,1.71
31.5,35.625,2015,1,2,3.76
32.0,34.375,2015,1,2,3.39
32.0,35.0,2015,1,2,1.84
32.0,35.625,2015,1,2,2.31
32.5,34.375,2015,1,2,3.76
32.5,35.0,2015,1,2,1.88
32.5,35.625,2015,1,2,1.21
33.0,34.375,2015,1,2,3.95
33.0,35.0,2015,1,2,2.71
33.0,35.625,2015,1,2,2.25
29.5,34.375,2015,1,3,5.42
29.5,35.0,2015,1,3,4.6
29.5,35.625,2015,1,3,8.29
30.0,34.375,2015,1,3,5.17
30.0,35.0,2015,1,3,4.29
30.0,35.625,2015,1,3,7.19
30.5,34.375,2015,1,3,6.33
30.5,35.0,2015,1,3,4.84
30.5,35.625,2015,1,3,5.98
31.0,34.375,2015,1,3,6.08
31.0,35.0,2015,1,3,5.74
31.0,35.625,2015,1,3,4.95
31.5,34.375,2015,1,3,3.77
31.5,35.0,2015,1,3,5.25
31.5,35.625,2015,1,3,3.76
32.0,34.375,2015,1,3,3.96
32.0,35.0,2015,1,3,4.39
32.0,35.625,2015,1,3,4.03
32.5,34.375,2015,1,3,3.58
32.5,35.0,2015,1,3,3.4
32.5,35.625,2015,1,3,1.88
33.0,34.375,2015,1,3,3.42
33.0,35.0,2015,1,3,2.41
33.0,35.625,2015,1,3,2.6
29.5,34.375,2015,1,4,4.55
29.5,35.0,2015,1,4,5.0
29.5,35.625,2015,1,4,3.58
30.0,34.375,2015,1,4,4.21
30.0,35.0,2015,1,4,3.67
30.0,35.625,2015,1,4,3.93
30.5,34.375,2015,1,4,3.81
30.5,35.0,2015,1,4,3.28
30.5,35.625,2015,1,4,3.48
31.0,34.375,2015,1,4,3.37
31.0,35.0,2015,1,4,3.07
31.0,35.625,2015,1,4,3.48
31.5,34.375,2015,1,4,1.63
31.5,35.0,2015,1,4,2.49
31.5,35.625,2015,1,4,3.19
32.0,34.375,2015,1,4,1.87
32.0,35.0,2015,1,4,1.93
32.0,35.625,2015,1,4,2.81
32.5,34.375,2015,1,4,2.24
32.5,35.0,2015,1,4,1.78
32.5,35.625,2015,1,4,2.18
33.0,34.375,2015,1,4,2.57
33.0,35.0,2015,1,4,1.61
33.0,35.625,2015,1,4,2.48
29.5,34.375,2015,1,5,2.25
29.5,35.0,2015,1,5,4.62
29.5,35.625,2015,1,5,4.6
30.0,34.375,2015,1,5,2.28
30.0,35.0,2015,1,5,3.02
30.0,35.625,2015,1,5,3.93
30.5,34.375,2015,1,5,3.2
30.5,35.0,2015,1,5,3.1
30.5,35.625,2015,1,5,3.79
31.0,34.375,2015,1,5,4.12
31.0,35.0,2015,1,5,3.25
31.0,35.625,2015,1,5,3.67
31.5,34.375,2015,1,5,2.41
31.5,35.0,2015,1,5,3.29
31.5,35.625,2015,1,5,3.32
32.0,34.375,2015,1,5,3.5
32.0,35.0,2015,1,5,3.59
32.0,35.625,2015,1,5,3.66
32.5,34.375,2015,1,5,5.77
32.5,35.0,2015,1,5,3.41
32.5,35.625,2015,1,5,3.03
33.0,34.375,2015,1,5,6.82
33.0,35.0,2015,1,5,4.4
33.0,35.625,2015,1,5,2.85
29.5,34.375,2015,1,6,6.51
29.5,35.0,2015,1,6,6.37
29.5,35.625,2015,1,6,7.46
30.0,34.375,2015,1,6,6.9
30.0,35.0,2015,1,6,7.65
30.0,35.625,2015,1,6,7.85
30.5,34.375,2015,1,6,6.71
30.5,35.0,2015,1,6,7.21
30.5,35.625,2015,1,6,7.8
31.0,34.375,2015,1,6,5.41
31.0,35.0,2015,1,6,7.75
31.0,35.625,2015,1,6,7.05
31.5,34.375,2015,1,6,4.48
31.5,35.0,2015,1,6,6.91
31.5,35.625,2015,1,6,6.41
32.0,34.375,2015,1,6,4.5
32.0,35.0,2015,1,6,5.89
32.0,35.625,2015,1,6,6.3
32.5,34.375,2015,1,6,3.4
32.5,35.0,2015,1,6,5.17
32.5,35.625,2015,1,6,4.25
33.0,34.375,2015,1,6,3.16
33.0,35.0,2015,1,6,3.78
33.0,35.625,2015,1,6,3.26
29.5,34.375,2015,1,7,10.64
