-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2015 through 12/31/2015 in LST
Location: Regional 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
T2M_RANGE     MERRA-2 Temperature at 2 Meters Range (C) 
-END HEADER-
LAT,LON,YEAR,MO,DY,T2M_RANGE
29.5,34.375,2015,1,1,13.03
29.5,35.0,2015,1,1,13.27
29.5,35.625,2015,1,1,15.58
30.0,34.375,2015,1,1,13.0
30.0,35.0,2015,1,1,13.48
30.0,35.625,2015,1,1,13.49
30.5,34.375,2015,1,1,12.4
30.5,35.0,2015,1,1,12.95
30.5,35.625,2015,1,1,12.27
31.0,34.375,2015,1,1,12.08
31.0,35.0,2015,1,1,12.89
31.0,35.625,2015,1,1,11.57
31.5,34.375,2015,1,1,7.02
31.5,35.0,2015,1,1,12.99
31.5,35.625,2015,1,1,11.48
32.0,34.375,2015,1,1,3.46
32.0,35.0,2015,1,1,10.85
32.0,35.625,2015,1,1,12.37
32.5,34.375,2015,1,1,3.09
32.5,35.0,2015,1,1,7.64
32.5,35.625,2015,1,1,14.32
33.0,34.375,2015,1,1,2.91
33.0,35.0,2015,1,1,6.52
33.0,35.625,2015,1,1,13.66
29.5,34.375,2015,1,2,11.4
29.5,35.0,2015,1,2,12.41
29.5,35.625,2015,1,2,10.37
30.0,34.375,2015,1,2,11.2
30.0,35.0,2015,1,2,11.37
30.0,35.625,2015,1,2,11.96
30.5,34.375,2015,1,2,11.5
30.5,35.0,2015,1,2,10.86
30.5,35.625,2015,1,2,10.82
31.0,34.375,2015,1,2,10.28
31.0,35.0,2015,1,2,10.27
31.0,35.625,2015,1,2,11.01
31.5,34.375,2015,1,2,3.58
31.5,35.0,2015,1,2,8.2
31.5,35.625,2015,1,2,8.67
32.0,34.375,2015,1,2,0.25
32.0,35.0,2015,1,2,6.71
32.0,35.625,2015,1,2,9.44
32.5,34.375,2015,1,2,0.5
32.5,35.0,2015,1,2,3.93
32.5,35.625,2015,1,2,8.38
