-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2011 through 12/31/2011 in LST
Location: Regional 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
T2MWET     MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
-END HEADER-
LAT,LON,YEAR,MO,DY,T2MWET
29.5,34.375,2011,1,1,6.85
29.5,35.0,2011,1,1,8.11
29.5,35.625,2011,1,1,4.92
30.0,34.375,2011,1,1,7.83
30.0,35.0,2011,1,1,8.37
30.0,35.625,2011,1,1,4.87
30.5,34.375,2011,1,1,8.53
30.5,35.0,2011,1,1,9.32
30.5,35.625,2011,1,1,6.01
31.0,34.375,2011,1,1,10.53
31.0,35.0,2011,1,1,10.4
31.0,35.625,2011,1,1,9.17
31.5,34.375,2011,1,1,13.83
31.5,35.0,2011,1,1,10.89
31.5,35.625,2011,1,1,11.7
32.0,34.375,2011,1,1,15.06
32.0,35.0,2011,1,1,11.76
32.0,35.625,2011,1,1,11.57
32.5,34.375,2011,1,1,14.94
32.5,35.0,2011,1,1,12.79
32.5,35.625,2011,1,1,11.18
33.0,34.375,2011,1,1,14.78
33.0,35.0,2011,1,1,13.12
33.0,35.625,2011,1,1,9.8
29.5,34.375,2011,1,2,6.92
29.5,35.0,2011,1,2,8.13
29.5,35.625,2011,1,2,5.33
30.0,34.375,2011,1,2,8.18
30.0,35.0,2011,1,2,8.21
30.0,35.625,2011,1,2,5.15
30.5,34.375,2011,1,2,9.34
30.5,35.0,2011,1,2,9.37
30.5,35.625,2011,1,2,5.78
31.0,34.375,2011,1,2,10.86
31.0,35.0,2011,1,2,10.26
31.0,35.625,2011,1,2,8.58
31.5,34.375,2011,1,2,13.76
31.5,35.0,2011,1,2,10.17
31.5,35.625,2011,1,2,11.19
32.0,34.375,2011,1,2,14.8
32.0,35.0,2011,1,2,11.23
32.0,35.625,2011,1,2,11.18
32.5,34.375,2011,1,2,14.56
32.5,35.0,2011,1,2,12.18
32.5,35.625,2011,1,2,10.61
33.0,34.375,2011,1,2,14.22
33.0,35.0,2011,1,2,12.76
33.0,35.625,2011,1,2,9.18
29.5,34.375,2011,1,3,7.36
29.5,35.0,2011,1,3,9.28
29.5,35.625,2011,1,3,5.8
30.0,34.375,2011,1,3,8.69
30.0,35.0,2011,1,3,8.65
30.0,35.625,2011,1,3,5.2
30.5,34.375,2011,1,3,9.95
30.5,35.0,2011,1,3,9.28
30.5,35.625,2011,1,3,5.84
31.0,34.375,2011,1,3,11.49
31.0,35.0,2011,1,3,9.94
31.0,35.625,2011,1,3,8.49
31.5,34.375,2011,1,3,13.97
31.5,35.0,2011,1,3,10.01
31.5,35.625,2011,1,3,10.67
32.0,34.375,2011,1,3,15.43
32.0,35.0,2011,1,3,11.11
32.0,35.625,2011,1,3,10.67
32.5,34.375,2011,1,3,15.63
32.5,35.0,2011,1,3,12.3
32.5,35.625,2011,1,3,10.81
33.0,34.375,2011,1,3,15.47
33.0,35.0,2011,1,3,13.25
33.0,35.625,2011,1,3,9.73
29.5,34.375,2011,1,4,5.29
29.5,35.0,2011,1,4,8.0
29.5,35.625,2011,1,4,5.54
30.0,34.375,2011,1,4,6.78
30.0,35.0,2011,1,4,7.69
30.0,35.625,2011,1,4,4.69
30.5,34.375,2011,1,4,7.84
30.5,35.0,2011,1,4,8.75
30.5,35.625,2011,1,4,5.55
31.0,34.375,2011,1,4,9.03
31.0,35.0,2011,1,4,9.68
31.0,35.625,2011,1,4,8.92
31.5,34.375,2011,1,4,12.87
31.5,35.0,2011,1,4,10.05
31.5,35.625,2011,1,4,11.78
32.0,34.375,2011,1,4,15.2
32.0,35.0,2011,1,4,11.31
32.0,35.625,2011,1,4,11.5
32.5,34.375,2011,1,4,15.46
32.5,35.0,2011,1,4,12.99
32.5,35.625,2011,1,4,11.12
33.0,34.375,2011,1,4,15.38
33.0,35.0,2011,1,4,13.64
33.0,35.625,2011,1,4,9.47
29.5,34.375,2011,1,5,3.79
29.5,35.0,2011,1,5,5.44
29.5,35.625,2011,1,5,2.37
30.0,34.375,2011,1,5,5.38
30.0,35.0,2011,1,5,5.69
30.0,35.625,2011,1,5,2.35
30.5,34.375,2011,1,5,6.77
30.5,35.0,2011,1,5,6.83
30.5,35.625,2011,1,5,3.46
31.0,34.375,2011,1,5,8.69
31.0,35.0,2011,1,5,8.14
31.0,35.625,2011,1,5,6.88
31.5,34.375,2011,1,5,13.14
31.5,35.0,2011,1,5,8.84
31.5,35.625,2011,1,5,10.19
32.0,34.375,2011,1,5,15.19
32.0,35.0,2011,1,5,10.68
32.0,35.625,2011,1,5,10.35
32.5,34.375,2011,1,5,15.46
32.5,35.0,2011,1,5,12.82
32.5,35.625,2011,1,5,10.61
33.0,34.375,2011,1,5,15.48
33.0,35.0,2011,1,5,13.55
33.0,35.625,2011,1,5,9.35
29.5,34.375,2011,1,6,6.89
29.5,35.0,2011,1,6,7.51
29.5,35.625,2011,1,6,3.44
30.0,34.375,2011,1,6,8.16
30.0,35.0,2011,1,6,8.21
30.0,35.625,2011,1,6,4.43
30.5,34.375,2011,1,6,9.25
30.5,35.0,2011,1,6,9.5
30.5,35.625,2011,1,6,5.85
31.0,34.375,2011,1,6,10.51
31.0,35.0,2011,1,6,10.24
31.0,35.625,2011,1,6,8.87
31.5,34.375,2011,1,6,12.93
31.5,35.0,2011,1,6,9.94
31.5,35.625,2011,1,6,11.32
32.0,34.375,2011,1,6,14.37
32.0,35.0,2011,1,6,10.6
32.0,35.625,2011,1,6,11.04
32.5,34.375,2011,1,6,14.5
32.5,35.0,2011,1,6,11.99
32.5,35.625,2011,1,6,10.51
33.0,34.375,2011,1,6,14.35
33.0,35.0,2011,1,6,12.52
33.0,35.625,2011,1,6,9.27
29.5,34.375,2011,1,7,6.24
29.5,35.0,2011,1,7,5.77
29.5,35.625,2011,1,7,1.86
30.0,34.375,2011,1,7,7.47
30.0,35.0,2011,1,7,6.32
30.0,35.625,2011,1,7,2.03
30.5,34.375,2011,1,7,8.26
30.5,35.0,2011,1,7,8.12
30.5,35.625,2011,1,7,3.42
31.0,34.375,2011,1,7,9.89
31.0,35.0,2011,1,7,9.25
31.0,35.625,2011,1,7,6.77
31.5,34.375,2011,1,7,12.9
31.5,35.0,2011,1,7,9.14
31.5,35.625,2011,1,7,10.43
32.0,34.375,2011,1,7,14.23
32.0,35.0,2011,1,7,10.15
32.0,35.625,2011,1,7,10.24
32.5,34.375,2011,1,7,14.31
32.5,35.0,2011,1,7,11.16
32.5,35.625,2011,1,7,9.54
33.0,34.375,2011,1,7,14.38
33.0,35.0,2011,1,7,12.02
33.0,35.625,2011,1,7,8.1
29.5,34.375,2011,1,8,4.93
29.5,35.0,2011,1,8,6.29
29.5,35.625,2011,1,8,3.39
30.0,34.375,2011,1,8,6.4
30.0,35.0,2011,1,8,6.55
30.0,35.625,2011,1,8,3.5
30.5,34.375,2011,1,8,7.31
30.5,35.0,2011,1,8,7.82
30.5,35.625,2011,1,8,4.32
31.0,34.375,2011,1,8,8.77
31.0,35.0,2011,1,8,8.51
31.0,35.625,2011,1,8,7.17
31.5,34.375,2011,1,8,12.17
31.5,35.0,2011,1,8,8.31
31.5,35.625,2011,1,8,9.25
32.0,34.375,2011,1,8,13.67
32.0,35.0,2011,1,8,9.1
32.0,35.625,2011,1,8,8.76
32.5,34.375,2011,1,8,13.64
32.5,35.0,2011,1,8,10.58
32.5,35.625,2011,1,8,8.68
33.0,34.375,2011,1,8,13.49
33.0,35.0,2011,1,8,11.33
33.0,35.625,2011,1,8,6.84
29.5,34.375,2011,1,9,4.97
29.5,35.0,2011,1,9,6.8
29.5,35.625,2011,1,9,3.85
30.0,34.375,2011,1,9,6.58
30.0,35.0,2011,1,9,7.41
30.0,35.625,2011,1,9,4.11
30.5,34.375,2011,1,9,8.05
30.5,35.0,2011,1,9,8.53
30.5,35.625,2011,1,9,4.8
31.0,34.375,2011,1,9,9.84
31.0,35.0,2011,1,9,9.28
31.0,35.625,2011,1,9,7.71
31.5,34.375,2011,1,9,12.16
31.5,35.0,2011,1,9,9.01
31.5,35.625,2011,1,9,9.74
32.0,34.375,2011,1,9,13.6
32.0,35.0,2011,1,9,9.45
32.0,35.625,2011,1,9,9.26
32.5,34.375,2011,1,9,13.73
32.5,35.0,2011,1,9,10.87
32.5,35.625,2011,1,9,9.31
33.0,34.375,2011,1,9,13.67
33.0,35.0,2011,1,9,11.61
33.0,35.625,2011,1,9,7.46
29.5,34.375,2011,1,10,3.95
29.5,35.0,2011,1,10,5.63
29.5,35.625,2011,1,10,3.31
30.0,34.375,2011,1,10,5.77
30.0,35.0,2011,1,10,6.28
30.0,35.625,2011,1,10,3.06
30.5,34.375,2011,1,10,6.89
30.5,35.0,2011,1,10,7.36
30.5,35.625,2011,1,10,3.98
31.0,34.375,2011,1,10,8.81
31.0,35.0,2011,1,10,8.7
31.0,35.625,2011,1,10,7.06
31.5,34.375,2011,1,10,12.56
31.5,35.0,2011,1,10,9.21
31.5,35.625,2011,1,10,10.21
32.0,34.375,2011,1,10,14.25
32.0,35.0,2011,1,10,10.04
32.0,35.625,2011,1,10,9.7
32.5,34.375,2011,1,10,14.33
32.5,35.0,2011,1,10,11.47
32.5,35.625,2011,1,10,9.56
33.0,34.375,2011,1,10,13.9
33.0,35.0,2011,1,10,11.98
33.0,35.625,2011,1,10,8.19
29.5,34.375,2011,1,11,5.11
29.5,35.0,2011,1,11,5.95
29.5,35.625,2011,1,11,3.14
30.0,34.375,2011,1,11,6.72
30.0,35.0,2011,1,11,6.25
30.0,35.625,2011,1,11,2.98
30.5,34.375,2011,1,11,7.93
30.5,35.0,2011,1,11,7.64
30.5,35.625,2011,1,11,3.84
31.0,34.375,2011,1,11,10.05
31.0,35.0,2011,1,11,9.07
31.0,35.625,2011,1,11,6.94
31.5,34.375,2011,1,11,12.86
31.5,35.0,2011,1,11,9.35
31.5,35.625,2011,1,11,9.92
32.0,34.375,2011,1,11,13.71
32.0,35.0,2011,1,11,10.18
32.0,35.625,2011,1,11,9.69
32.5,34.375,2011,1,11,13.52
32.5,35.0,2011,1,11,11.4
32.5,35.625,2011,1,11,10.08
33.0,34.375,2011,1,11,13.03
33.0,35.0,2011,1,11,12.01
33.0,35.625,2011,1,11,8.44
29.5,34.375,2011,1,12,4.6
29.5,35.0,2011,1,12,4.93
29.5,35.625,2011,1,12,1.4
30.0,34.375,2011,1,12,4.77
30.0,35.0,2011,1,12,4.61
