-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2011 through 12/31/2011 in LST
Location: Regional 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
WS10M_MAX     MERRA-2 Wind Speed at 10 Meters Maximum (m/s) 
-END HEADER-
LAT,LON,YEAR,MO,DY,WS10M_MAX
29.5,34.375,2011,1,1,3.72
29.5,35.0,2011,1,1,3.44
29.5,35.625,2011,1,1,2.78
30.0,34.375,2011,1,1,3.37
30.0,35.0,2011,1,1,2.71
30.0,35.625,2011,1,1,3.52
30.5,34.375,2011,1,1,3.42
30.5,35.0,2011,1,1,3.56
30.5,35.625,2011,1,1,3.99
31.0,34.375,2011,1,1,4.64
31.0,35.0,2011,1,1,4.19
31.0,35.625,2011,1,1,3.83
31.5,34.375,2011,1,1,5.09
31.5,35.0,2011,1,1,4.54
31.5,35.625,2011,1,1,4.12
32.0,34.375,2011,1,1,7.69
32.0,35.0,2011,1,1,4.73
32.0,35.625,2011,1,1,4.35
32.5,34.375,2011,1,1,8.19
32.5,35.0,2011,1,1,4.17
32.5,35.625,2011,1,1,3.27
33.0,34.375,2011,1,1,7.85
33.0,35.0,2011,1,1,4.81
33.0,35.625,2011,1,1,3.21
29.5,34.375,2011,1,2,3.48
29.5,35.0,2011,1,2,3.58
29.5,35.625,2011,1,2,3.56
30.0,34.375,2011,1,2,3.92
30.0,35.0,2011,1,2,3.11
30.0,35.625,2011,1,2,4.9
30.5,34.375,2011,1,2,3.75
30.5,35.0,2011,1,2,2.88
30.5,35.625,2011,1,2,6.56
31.0,34.375,2011,1,2,3.18
31.0,35.0,2011,1,2,3.04
31.0,35.625,2011,1,2,5.46
31.5,34.375,2011,1,2,4.2
31.5,35.0,2011,1,2,2.64
31.5,35.625,2011,1,2,4.28
32.0,34.375,2011,1,2,5.27
32.0,35.0,2011,1,2,2.78
32.0,35.625,2011,1,2,3.53
32.5,34.375,2011,1,2,5.24
32.5,35.0,2011,1,2,3.39
32.5,35.625,2011,1,2,2.53
33.0,34.375,2011,1,2,4.63
33.0,35.0,2011,1,2,4.44
33.0,35.625,2011,1,2,3.84
29.5,34.375,2011,1,3,3.64
29.5,35.0,2011,1,3,3.22
29.5,35.625,2011,1,3,3.74
30.0,34.375,2011,1,3,3.37
30.0,35.0,2011,1,3,3.14
30.0,35.625,2011,1,3,4.27
30.5,34.375,2011,1,3,3.63
30.5,35.0,2011,1,3,3.26
30.5,35.625,2011,1,3,6.84
31.0,34.375,2011,1,3,4.54
31.0,35.0,2011,1,3,3.6
31.0,35.625,2011,1,3,6.35
31.5,34.375,2011,1,3,3.87
31.5,35.0,2011,1,3,3.52
31.5,35.625,2011,1,3,5.95
32.0,34.375,2011,1,3,4.72
32.0,35.0,2011,1,3,4.55
32.0,35.625,2011,1,3,6.39
32.5,34.375,2011,1,3,5.3
32.5,35.0,2011,1,3,4.92
32.5,35.625,2011,1,3,4.14
33.0,34.375,2011,1,3,6.98
33.0,35.0,2011,1,3,6.75
33.0,35.625,2011,1,3,4.88
29.5,34.375,2011,1,4,5.36
29.5,35.0,2011,1,4,4.13
29.5,35.625,2011,1,4,5.89
30.0,34.375,2011,1,4,4.72
30.0,35.0,2011,1,4,3.8
30.0,35.625,2011,1,4,5.78
30.5,34.375,2011,1,4,4.14
30.5,35.0,2011,1,4,3.7
30.5,35.625,2011,1,4,4.83
31.0,34.375,2011,1,4,4.34
31.0,35.0,2011,1,4,4.16
31.0,35.625,2011,1,4,3.51
31.5,34.375,2011,1,4,5.16
31.5,35.0,2011,1,4,4.63
31.5,35.625,2011,1,4,3.26
32.0,34.375,2011,1,4,7.36
32.0,35.0,2011,1,4,4.99
32.0,35.625,2011,1,4,3.95
32.5,34.375,2011,1,4,7.73
32.5,35.0,2011,1,4,4.41
32.5,35.625,2011,1,4,3.26
33.0,34.375,2011,1,4,7.05
33.0,35.0,2011,1,4,4.64
33.0,35.625,2011,1,4,3.24
29.5,34.375,2011,1,5,4.53
29.5,35.0,2011,1,5,4.02
29.5,35.625,2011,1,5,3.12
30.0,34.375,2011,1,5,3.99
30.0,35.0,2011,1,5,3.02
30.0,35.625,2011,1,5,3.56
30.5,34.375,2011,1,5,4.1
30.5,35.0,2011,1,5,3.19
30.5,35.625,2011,1,5,3.62
31.0,34.375,2011,1,5,4.57
31.0,35.0,2011,1,5,3.71
31.0,35.625,2011,1,5,3.09
31.5,34.375,2011,1,5,5.12
31.5,35.0,2011,1,5,4.13
31.5,35.625,2011,1,5,3.39
32.0,34.375,2011,1,5,6.31
32.0,35.0,2011,1,5,4.6
32.0,35.625,2011,1,5,3.58
32.5,34.375,2011,1,5,6.81
32.5,35.0,2011,1,5,3.66
32.5,35.625,2011,1,5,2.63
33.0,34.375,2011,1,5,6.62
33.0,35.0,2011,1,5,4.55
33.0,35.625,2011,1,5,1.95
29.5,34.375,2011,1,6,4.63
29.5,35.0,2011,1,6,4.17
29.5,35.625,2011,1,6,3.55
30.0,34.375,2011,1,6,4.19
30.0,35.0,2011,1,6,4.61
30.0,35.625,2011,1,6,3.33
30.5,34.375,2011,1,6,4.3
30.5,35.0,2011,1,6,3.98
30.5,35.625,2011,1,6,3.33
31.0,34.375,2011,1,6,4.04
31.0,35.0,2011,1,6,3.09
31.0,35.625,2011,1,6,3.28
31.5,34.375,2011,1,6,3.89
31.5,35.0,2011,1,6,2.99
31.5,35.625,2011,1,6,2.35
32.0,34.375,2011,1,6,4.93
32.0,35.0,2011,1,6,3.58
32.0,35.625,2011,1,6,2.36
32.5,34.375,2011,1,6,5.25
32.5,35.0,2011,1,6,3.32
32.5,35.625,2011,1,6,2.4
33.0,34.375,2011,1,6,5.22
33.0,35.0,2011,1,6,3.9
33.0,35.625,2011,1,6,2.73
29.5,34.375,2011,1,7,6.68
29.5,35.0,2011,1,7,6.11
29.5,35.625,2011,1,7,3.99
30.0,34.375,2011,1,7,6.09
30.0,35.0,2011,1,7,5.94
30.0,35.625,2011,1,7,4.14
30.5,34.375,2011,1,7,5.86
30.5,35.0,2011,1,7,5.62
30.5,35.625,2011,1,7,5.34
31.0,34.375,2011,1,7,5.42
31.0,35.0,2011,1,7,5.38
31.0,35.625,2011,1,7,4.97
31.5,34.375,2011,1,7,5.26
31.5,35.0,2011,1,7,5.03
31.5,35.625,2011,1,7,3.66
32.0,34.375,2011,1,7,7.16
32.0,35.0,2011,1,7,4.72
32.0,35.625,2011,1,7,3.36
32.5,34.375,2011,1,7,7.86
32.5,35.0,2011,1,7,3.86
32.5,35.625,2011,1,7,2.76
33.0,34.375,2011,1,7,7.94
33.0,35.0,2011,1,7,4.92
33.0,35.625,2011,1,7,2.79
29.5,34.375,2011,1,8,6.64
29.5,35.0,2011,1,8,5.57
29.5,35.625,2011,1,8,5.49
30.0,34.375,2011,1,8,5.71
30.0,35.0,2011,1,8,4.88
30.0,35.625,2011,1,8,6.56
30.5,34.375,2011,1,8,5.91
30.5,35.0,2011,1,8,5.17
30.5,35.625,2011,1,8,6.46
31.0,34.375,2011,1,8,6.18
31.0,35.0,2011,1,8,5.52
31.0,35.625,2011,1,8,4.96
31.5,34.375,2011,1,8,6.01
31.5,35.0,2011,1,8,5.57
31.5,35.625,2011,1,8,4.59
32.0,34.375,2011,1,8,7.81
32.0,35.0,2011,1,8,5.41
32.0,35.625,2011,1,8,4.8
32.5,34.375,2011,1,8,7.97
32.5,35.0,2011,1,8,4.16
32.5,35.625,2011,1,8,3.49
33.0,34.375,2011,1,8,7.67
33.0,35.0,2011,1,8,4.91
33.0,35.625,2011,1,8,3.21
29.5,34.375,2011,1,9,5.25
29.5,35.0,2011,1,9,4.97
29.5,35.625,2011,1,9,4.51
30.0,34.375,2011,1,9,4.76
30.0,35.0,2011,1,9,4.51
30.0,35.625,2011,1,9,5.51
30.5,34.375,2011,1,9,4.47
30.5,35.0,2011,1,9,4.16
30.5,35.625,2011,1,9,5.11
31.0,34.375,2011,1,9,3.62
31.0,35.0,2011,1,9,3.82
31.0,35.625,2011,1,9,3.55
31.5,34.375,2011,1,9,3.57
31.5,35.0,2011,1,9,4.2
31.5,35.625,2011,1,9,3.37
32.0,34.375,2011,1,9,4.6
32.0,35.0,2011,1,9,4.34
32.0,35.625,2011,1,9,4.2
32.5,34.375,2011,1,9,5.7
32.5,35.0,2011,1,9,3.36
32.5,35.625,2011,1,9,3.2
33.0,34.375,2011,1,9,6.27
33.0,35.0,2011,1,9,4.41
33.0,35.625,2011,1,9,3.3
29.5,34.375,2011,1,10,4.12
29.5,35.0,2011,1,10,3.78
29.5,35.625,2011,1,10,2.41
30.0,34.375,2011,1,10,3.07
30.0,35.0,2011,1,10,2.88
30.0,35.625,2011,1,10,3.44
30.5,34.375,2011,1,10,3.19
30.5,35.0,2011,1,10,2.32
30.5,35.625,2011,1,10,4.25
31.0,34.375,2011,1,10,4.67
31.0,35.0,2011,1,10,2.98
31.0,35.625,2011,1,10,3.17
31.5,34.375,2011,1,10,4.63
31.5,35.0,2011,1,10,3.74
31.5,35.625,2011,1,10,3.21
32.0,34.375,2011,1,10,5.54
32.0,35.0,2011,1,10,4.21
32.0,35.625,2011,1,10,3.22
32.5,34.375,2011,1,10,5.56
32.5,35.0,2011,1,10,3.58
32.5,35.625,2011,1,10,2.51
33.0,34.375,2011,1,10,4.71
33.0,35.0,2011,1,10,3.65
33.0,35.625,2011,1,10,2.11
29.5,34.375,2011,1,11,3.1
29.5,35.0,2011,1,11,3.07
29.5,35.625,2011,1,11,2.59
30.0,34.375,2011,1,11,2.93
30.0,35.0,2011,1,11,2.93
30.0,35.625,2011,1,11,3.08
30.5,34.375,2011,1,11,3.06
30.5,35.0,2011,1,11,2.34
30.5,35.625,2011,1,11,3.68
