-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2011 through 12/31/2011 in LST
Location: Regional 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
T2M_MIN     MERRA-2 Temperature at 2 Meters Minimum (C) 
-END HEADER-
LAT,LON,YEAR,MO,DY,T2M_MIN
29.5,34.375,2011,1,1,6.05
29.5,35.0,2011,1,1,7.91
29.5,35.625,2011,1,1,1.72
30.0,34.375,2011,1,1,7.17
30.0,35.0,2011,1,1,7.79
30.0,35.625,2011,1,1,2.27
30.5,34.375,2011,1,1,7.32
30.5,35.0,2011,1,1,8.56
30.5,35.625,2011,1,1,3.31
31.0,34.375,2011,1,1,10.04
31.0,35.0,2011,1,1,9.84
31.0,35.625,2011,1,1,7.94
31.5,34.375,2011,1,1,15.95
31.5,35.0,2011,1,1,10.25
31.5,35.625,2011,1,1,10.48
32.0,34.375,2011,1,1,17.68
32.0,35.0,2011,1,1,12.41
32.0,35.625,2011,1,1,10.14
32.5,34.375,2011,1,1,17.78
32.5,35.0,2011,1,1,13.82
32.5,35.625,2011,1,1,9.3
33.0,34.375,2011,1,1,17.55
33.0,35.0,2011,1,1,14.54
33.0,35.625,2011,1,1,8.08
29.5,34.375,2011,1,2,4.9
29.5,35.0,2011,1,2,6.84
29.5,35.625,2011,1,2,2.25
30.0,34.375,2011,1,2,6.3
30.0,35.0,2011,1,2,7.37
30.0,35.625,2011,1,2,2.17
30.5,34.375,2011,1,2,7.68
30.5,35.0,2011,1,2,8.53
30.5,35.625,2011,1,2,2.84
31.0,34.375,2011,1,2,9.15
31.0,35.0,2011,1,2,9.45
31.0,35.625,2011,1,2,6.91
31.5,34.375,2011,1,2,15.13
31.5,35.0,2011,1,2,8.35
31.5,35.625,2011,1,2,9.83
32.0,34.375,2011,1,2,17.66
32.0,35.0,2011,1,2,10.12
32.0,35.625,2011,1,2,10.03
32.5,34.375,2011,1,2,17.58
32.5,35.0,2011,1,2,11.57
32.5,35.625,2011,1,2,8.74
33.0,34.375,2011,1,2,17.42
33.0,35.0,2011,1,2,13.91
33.0,35.625,2011,1,2,7.84
29.5,34.375,2011,1,3,5.73
29.5,35.0,2011,1,3,8.82
29.5,35.625,2011,1,3,4.21
30.0,34.375,2011,1,3,6.53
30.0,35.0,2011,1,3,6.81
30.0,35.625,2011,1,3,2.61
30.5,34.375,2011,1,3,8.21
30.5,35.0,2011,1,3,7.62
30.5,35.625,2011,1,3,4.25
31.0,34.375,2011,1,3,7.46
31.0,35.0,2011,1,3,8.61
31.0,35.625,2011,1,3,7.83
31.5,34.375,2011,1,3,14.17
31.5,35.0,2011,1,3,7.6
31.5,35.625,2011,1,3,9.07
32.0,34.375,2011,1,3,17.55
32.0,35.0,2011,1,3,8.55
32.0,35.625,2011,1,3,8.79
32.5,34.375,2011,1,3,17.57
32.5,35.0,2011,1,3,11.03
32.5,35.625,2011,1,3,9.06
33.0,34.375,2011,1,3,17.4
33.0,35.0,2011,1,3,13.29
33.0,35.625,2011,1,3,8.24
29.5,34.375,2011,1,4,3.71
29.5,35.0,2011,1,4,7.7
29.5,35.625,2011,1,4,3.34
30.0,34.375,2011,1,4,5.72
30.0,35.0,2011,1,4,6.6
30.0,35.625,2011,1,4,2.4
30.5,34.375,2011,1,4,7.71
30.5,35.0,2011,1,4,8.35
30.5,35.625,2011,1,4,4.56
31.0,34.375,2011,1,4,7.06
31.0,35.0,2011,1,4,8.48
31.0,35.625,2011,1,4,7.31
31.5,34.375,2011,1,4,13.64
31.5,35.0,2011,1,4,8.67
31.5,35.625,2011,1,4,10.49
32.0,34.375,2011,1,4,17.7
32.0,35.0,2011,1,4,9.92
32.0,35.625,2011,1,4,10.86
32.5,34.375,2011,1,4,17.81
32.5,35.0,2011,1,4,13.59
32.5,35.625,2011,1,4,10.06
33.0,34.375,2011,1,4,17.55
33.0,35.0,2011,1,4,14.79
33.0,35.625,2011,1,4,6.85
29.5,34.375,2011,1,5,1.98
29.5,35.0,2011,1,5,6.17
29.5,35.625,2011,1,5,1.49
30.0,34.375,2011,1,5,3.65
30.0,35.0,2011,1,5,5.56
30.0,35.625,2011,1,5,1.08
30.5,34.375,2011,1,5,4.67
30.5,35.0,2011,1,5,5.61
30.5,35.625,2011,1,5,1.79
31.0,34.375,2011,1,5,5.77
31.0,35.0,2011,1,5,5.55
31.0,35.625,2011,1,5,5.02
31.5,34.375,2011,1,5,13.27
31.5,35.0,2011,1,5,5.31
31.5,35.625,2011,1,5,7.89
32.0,34.375,2011,1,5,17.46
32.0,35.0,2011,1,5,8.68
32.0,35.625,2011,1,5,7.04
32.5,34.375,2011,1,5,17.82
32.5,35.0,2011,1,5,13.23
32.5,35.625,2011,1,5,7.62
33.0,34.375,2011,1,5,17.85
33.0,35.0,2011,1,5,14.73
33.0,35.625,2011,1,5,7.11
29.5,34.375,2011,1,6,3.86
29.5,35.0,2011,1,6,5.41
29.5,35.625,2011,1,6,1.63
30.0,34.375,2011,1,6,5.95
30.0,35.0,2011,1,6,6.7
30.0,35.625,2011,1,6,1.88
30.5,34.375,2011,1,6,7.18
30.5,35.0,2011,1,6,7.9
30.5,35.625,2011,1,6,2.92
31.0,34.375,2011,1,6,9.63
31.0,35.0,2011,1,6,8.58
31.0,35.625,2011,1,6,7.16
31.5,34.375,2011,1,6,14.48
31.5,35.0,2011,1,6,8.21
31.5,35.625,2011,1,6,9.56
32.0,34.375,2011,1,6,17.23
32.0,35.0,2011,1,6,11.07
32.0,35.625,2011,1,6,8.92
32.5,34.375,2011,1,6,17.67
32.5,35.0,2011,1,6,13.64
32.5,35.625,2011,1,6,7.04
33.0,34.375,2011,1,6,17.63
33.0,35.0,2011,1,6,14.86
33.0,35.625,2011,1,6,6.82
29.5,34.375,2011,1,7,4.65
29.5,35.0,2011,1,7,4.34
29.5,35.625,2011,1,7,-0.42
30.0,34.375,2011,1,7,4.96
30.0,35.0,2011,1,7,4.16
30.0,35.625,2011,1,7,-0.39
30.5,34.375,2011,1,7,5.1
30.5,35.0,2011,1,7,5.75
30.5,35.625,2011,1,7,1.27
31.0,34.375,2011,1,7,8.3
31.0,35.0,2011,1,7,7.02
31.0,35.625,2011,1,7,4.41
31.5,34.375,2011,1,7,14.13
31.5,35.0,2011,1,7,7.12
31.5,35.625,2011,1,7,9.41
32.0,34.375,2011,1,7,16.68
