-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2025 through 02/17/2025 in LST
Location: Regional 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
T2M_MIN     MERRA-2 Temperature at 2 Meters Minimum (C) 
-END HEADER-
LAT,LON,YEAR,MO,DY,T2M_MIN
29.5,34.375,2025,1,1,4.67
29.5,35.0,2025,1,1,7.37
29.5,35.625,2025,1,1,3.1
30.0,34.375,2025,1,1,6.51
30.0,35.0,2025,1,1,7.26
30.0,35.625,2025,1,1,3.28
30.5,34.375,2025,1,1,6.79
30.5,35.0,2025,1,1,7.24
30.5,35.625,2025,1,1,5.12
31.0,34.375,2025,1,1,7.89
31.0,35.0,2025,1,1,7.21
31.0,35.625,2025,1,1,6.79
31.5,34.375,2025,1,1,13.49
31.5,35.0,2025,1,1,6.58
31.5,35.625,2025,1,1,7.04
32.0,34.375,2025,1,1,16.62
32.0,35.0,2025,1,1,8.63
32.0,35.625,2025,1,1,6.79
32.5,34.375,2025,1,1,17.35
32.5,35.0,2025,1,1,10.13
32.5,35.625,2025,1,1,5.76
33.0,34.375,2025,1,1,17.49
33.0,35.0,2025,1,1,12.79
33.0,35.625,2025,1,1,4.4
29.5,34.375,2025,1,2,5.27
29.5,35.0,2025,1,2,5.16
29.5,35.625,2025,1,2,0.97
30.0,34.375,2025,1,2,5.06
30.0,35.0,2025,1,2,4.86
30.0,35.625,2025,1,2,0.55
30.5,34.375,2025,1,2,5.57
30.5,35.0,2025,1,2,6.38
30.5,35.625,2025,1,2,1.57
31.0,34.375,2025,1,2,7.0
31.0,35.0,2025,1,2,7.22
31.0,35.625,2025,1,2,4.85
31.5,34.375,2025,1,2,13.05
31.5,35.0,2025,1,2,6.46
31.5,35.625,2025,1,2,6.09
32.0,34.375,2025,1,2,17.18
32.0,35.0,2025,1,2,8.56
32.0,35.625,2025,1,2,5.86
32.5,34.375,2025,1,2,17.45
32.5,35.0,2025,1,2,9.97
32.5,35.625,2025,1,2,5.44
33.0,34.375,2025,1,2,17.06
33.0,35.0,2025,1,2,12.23
33.0,35.625,2025,1,2,3.16
29.5,34.375,2025,1,3,6.63
29.5,35.0,2025,1,3,5.32
29.5,35.625,2025,1,3,-0.32
30.0,34.375,2025,1,3,4.79
30.0,35.0,2025,1,3,4.61
30.0,35.625,2025,1,3,-0.05
30.5,34.375,2025,1,3,4.92
30.5,35.0,2025,1,3,5.01
30.5,35.625,2025,1,3,1.71
31.0,34.375,2025,1,3,5.07
31.0,35.0,2025,1,3,5.22
31.0,35.625,2025,1,3,3.61
31.5,34.375,2025,1,3,11.58
31.5,35.0,2025,1,3,4.8
31.5,35.625,2025,1,3,5.0
32.0,34.375,2025,1,3,16.74
32.0,35.0,2025,1,3,6.63
32.0,35.625,2025,1,3,4.0
32.5,34.375,2025,1,3,17.24
32.5,35.0,2025,1,3,8.23
32.5,35.625,2025,1,3,3.2
33.0,34.375,2025,1,3,17.15
33.0,35.0,2025,1,3,11.07
33.0,35.625,2025,1,3,2.36
29.5,34.375,2025,1,4,9.13
29.5,35.0,2025,1,4,7.9
29.5,35.625,2025,1,4,2.72
30.0,34.375,2025,1,4,6.98
30.0,35.0,2025,1,4,6.82
30.0,35.625,2025,1,4,2.55
30.5,34.375,2025,1,4,7.19
