-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2023 through 12/31/2023 in LST
Location: Regional 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
T2MWET     MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
-END HEADER-
LAT,LON,YEAR,MO,DY,T2MWET
29.5,34.375,2023,1,1,9.31
29.5,35.0,2023,1,1,10.45
29.5,35.625,2023,1,1,7.9
30.0,34.375,2023,1,1,10.01
30.0,35.0,2023,1,1,10.14
30.0,35.625,2023,1,1,7.06
30.5,34.375,2023,1,1,10.57
30.5,35.0,2023,1,1,10.57
30.5,35.625,2023,1,1,6.95
31.0,34.375,2023,1,1,11.15
31.0,35.0,2023,1,1,10.61
31.0,35.625,2023,1,1,9.26
31.5,34.375,2023,1,1,13.99
31.5,35.0,2023,1,1,10.0
31.5,35.625,2023,1,1,10.87
32.0,34.375,2023,1,1,15.41
32.0,35.0,2023,1,1,10.52
32.0,35.625,2023,1,1,9.95
32.5,34.375,2023,1,1,15.53
32.5,35.0,2023,1,1,11.5
32.5,35.625,2023,1,1,9.34
33.0,34.375,2023,1,1,15.59
33.0,35.0,2023,1,1,12.47
33.0,35.625,2023,1,1,7.97
29.5,34.375,2023,1,2,9.24
29.5,35.0,2023,1,2,10.35
29.5,35.625,2023,1,2,7.88
30.0,34.375,2023,1,2,10.06
30.0,35.0,2023,1,2,10.16
30.0,35.625,2023,1,2,6.78
30.5,34.375,2023,1,2,10.63
30.5,35.0,2023,1,2,10.48
30.5,35.625,2023,1,2,6.38
31.0,34.375,2023,1,2,11.03
31.0,35.0,2023,1,2,10.38
31.0,35.625,2023,1,2,8.52
31.5,34.375,2023,1,2,13.38
31.5,35.0,2023,1,2,9.21
31.5,35.625,2023,1,2,9.8
32.0,34.375,2023,1,2,14.66
32.0,35.0,2023,1,2,9.34
32.0,35.625,2023,1,2,8.52
32.5,34.375,2023,1,2,14.73
32.5,35.0,2023,1,2,10.58
32.5,35.625,2023,1,2,8.18
33.0,34.375,2023,1,2,14.77
33.0,35.0,2023,1,2,11.48
33.0,35.625,2023,1,2,6.59
29.5,34.375,2023,1,3,8.69
29.5,35.0,2023,1,3,9.74
29.5,35.625,2023,1,3,7.22
30.0,34.375,2023,1,3,9.33
30.0,35.0,2023,1,3,9.62
30.0,35.625,2023,1,3,6.6
30.5,34.375,2023,1,3,10.08
30.5,35.0,2023,1,3,10.3
30.5,35.625,2023,1,3,6.75
31.0,34.375,2023,1,3,10.94
31.0,35.0,2023,1,3,10.36
31.0,35.625,2023,1,3,8.85
31.5,34.375,2023,1,3,13.36
31.5,35.0,2023,1,3,9.62
31.5,35.625,2023,1,3,10.45
32.0,34.375,2023,1,3,14.75
32.0,35.0,2023,1,3,9.79
32.0,35.625,2023,1,3,9.08
32.5,34.375,2023,1,3,14.93
32.5,35.0,2023,1,3,10.77
32.5,35.625,2023,1,3,8.37
33.0,34.375,2023,1,3,14.86
33.0,35.0,2023,1,3,11.57
33.0,35.625,2023,1,3,6.46
29.5,34.375,2023,1,4,7.98
29.5,35.0,2023,1,4,9.09
29.5,35.625,2023,1,4,6.68
30.0,34.375,2023,1,4,9.24
30.0,35.0,2023,1,4,9.28
30.0,35.625,2023,1,4,5.93
30.5,34.375,2023,1,4,9.92
30.5,35.0,2023,1,4,10.02
30.5,35.625,2023,1,4,6.06
31.0,34.375,2023,1,4,10.79
31.0,35.0,2023,1,4,9.67
31.0,35.625,2023,1,4,8.17
31.5,34.375,2023,1,4,12.91
31.5,35.0,2023,1,4,8.67
31.5,35.625,2023,1,4,8.88
32.0,34.375,2023,1,4,13.99
32.0,35.0,2023,1,4,9.02
32.0,35.625,2023,1,4,8.1
32.5,34.375,2023,1,4,14.02
32.5,35.0,2023,1,4,9.94
32.5,35.625,2023,1,4,7.53
33.0,34.375,2023,1,4,14.3
33.0,35.0,2023,1,4,11.59
33.0,35.625,2023,1,4,7.21
29.5,34.375,2023,1,5,7.54
29.5,35.0,2023,1,5,8.41
29.5,35.625,2023,1,5,5.12
30.0,34.375,2023,1,5,8.94
30.0,35.0,2023,1,5,9.05
30.0,35.625,2023,1,5,5.11
30.5,34.375,2023,1,5,9.94
30.5,35.0,2023,1,5,10.11
30.5,35.625,2023,1,5,6.05
31.0,34.375,2023,1,5,11.16
31.0,35.0,2023,1,5,10.67
31.0,35.625,2023,1,5,8.98
31.5,34.375,2023,1,5,13.95
31.5,35.0,2023,1,5,10.42
31.5,35.625,2023,1,5,10.97
32.0,34.375,2023,1,5,15.45
32.0,35.0,2023,1,5,11.38
32.0,35.625,2023,1,5,10.55
32.5,34.375,2023,1,5,15.56
32.5,35.0,2023,1,5,12.8
32.5,35.625,2023,1,5,10.32
33.0,34.375,2023,1,5,15.54
33.0,35.0,2023,1,5,13.42
33.0,35.625,2023,1,5,9.06
29.5,34.375,2023,1,6,6.19
29.5,35.0,2023,1,6,7.4
29.5,35.625,2023,1,6,4.82
30.0,34.375,2023,1,6,8.02
30.0,35.0,2023,1,6,7.97
30.0,35.625,2023,1,6,4.77
30.5,34.375,2023,1,6,8.81
30.5,35.0,2023,1,6,8.88
30.5,35.625,2023,1,6,5.01
31.0,34.375,2023,1,6,9.77
31.0,35.0,2023,1,6,9.57
31.0,35.625,2023,1,6,7.88
31.5,34.375,2023,1,6,13.48
31.5,35.0,2023,1,6,9.81
31.5,35.625,2023,1,6,10.75
32.0,34.375,2023,1,6,15.76
32.0,35.0,2023,1,6,11.45
32.0,35.625,2023,1,6,11.04
32.5,34.375,2023,1,6,16.13
32.5,35.0,2023,1,6,13.33
32.5,35.625,2023,1,6,11.09
33.0,34.375,2023,1,6,16.14
33.0,35.0,2023,1,6,14.25
33.0,35.625,2023,1,6,10.66
29.5,34.375,2023,1,7,6.85
29.5,35.0,2023,1,7,8.03
29.5,35.625,2023,1,7,4.6
30.0,34.375,2023,1,7,8.26
30.0,35.0,2023,1,7,8.25
30.0,35.625,2023,1,7,4.59
30.5,34.375,2023,1,7,8.75
30.5,35.0,2023,1,7,8.88
30.5,35.625,2023,1,7,4.82
31.0,34.375,2023,1,7,10.1
31.0,35.0,2023,1,7,9.45
31.0,35.625,2023,1,7,7.66
31.5,34.375,2023,1,7,13.67
31.5,35.0,2023,1,7,9.96
31.5,35.625,2023,1,7,10.71
32.0,34.375,2023,1,7,15.54
32.0,35.0,2023,1,7,12.06
32.0,35.625,2023,1,7,11.11
32.5,34.375,2023,1,7,15.49
32.5,35.0,2023,1,7,13.46
32.5,35.625,2023,1,7,11.57
33.0,34.375,2023,1,7,15.53
33.0,35.0,2023,1,7,14.07
33.0,35.625,2023,1,7,10.61
29.5,34.375,2023,1,8,6.64
29.5,35.0,2023,1,8,7.61
29.5,35.625,2023,1,8,4.08
30.0,34.375,2023,1,8,8.39
30.0,35.0,2023,1,8,7.93
30.0,35.625,2023,1,8,3.69
30.5,34.375,2023,1,8,9.46
30.5,35.0,2023,1,8,9.27
30.5,35.625,2023,1,8,4.36
31.0,34.375,2023,1,8,10.89
31.0,35.0,2023,1,8,10.06
31.0,35.625,2023,1,8,7.38
