"Electricity statistics by Region, Technology, Data Type and Year",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,"Electricity statistics (MW/GWh) by Country/area, Technology, Data Type, Grid connection and Year",Unnamed: 5
,Marine energy,Electricity Generation (GWh),2000.0,546.77,,
,,,2001.0,524.39,,
,,,2002.0,533.89,,
,,,2003.0,530.83,,
,,,2004.0,508.63,,
,,,2005.0,516.35,,
,,,2006.0,490.72,,
,,,2007.0,496.02,,
,,,2008.0,487.85,,
,,,2009.0,486.92,,
,,,2010.0,514.32,,
,,,2011.0,513.46,,
,,,2012.0,498.35,,
,,,2013.0,925.99,,
,,,2014.0,999.16,,
,,,2015.0,1008,,
,,,2016.0,1043.85,,
,,,2017.0,1049.09,,
,,,2018.0,1022.42,,
,,,2019.0,996.03,,
,,,2020.0,985.12,,
,,,2021.0,971.36,,
,,,2022.0,956.79,,
,,,2023.0,-,,
,,Electricity Installed Capacity (MW),2000.0,238.25,,
,,,2001.0,240.25,,
,,,2002.0,243.25,,
,,,2003.0,244.25,,
,,,2004.0,243.25,,
,,,2005.0,241.25,,
,,,2006.0,240.25,,
,,,2007.0,242.55,,
,,,2008.0,245.55,,
,,,2009.0,244.55,,
,,,2010.0,249.9,,
,,,2011.0,247.93,,
,,,2012.0,254.66,,
,,,2013.0,510.12,,
,,,2014.0,513.53,,
,,,2015.0,514.09,,
,,,2016.0,524.71,,
,,,2017.0,527.66,,
,,,2018.0,527.65,,
,,,2019.0,526.13,,
,,,2020.0,505.04,,
,,,2021.0,504.47,,
,,,2022.0,506.04,,
,,,2023.0,508.12,,
,Bioenergy,Electricity Generation (GWh),2000.0,146270.5,,
,,,2001.0,146317.87,,
,,,2002.0,159988.82,,
,,,2003.0,172211.4,,
,,,2004.0,187810.28,,
,,,2005.0,209005.61,,
,,,2006.0,221684.43,,
,,,2007.0,244829.78,,
,,,2008.0,262969.41,,
,,,2009.0,281151.06,,
,,,2010.0,316689.28,,
,,,2011.0,334580.3,,
,,,2012.0,369996.28,,
,,,2013.0,396571.36,,
,,,2014.0,428095.75,,
,,,2015.0,455087.66,,
,,,2016.0,469808.33,,
,,,2017.0,492012.17,,
,,,2018.0,515837.26,,
,,,2019.0,545168.23,,
,,,2020.0,568553.65,,
,,,2021.0,609546.19,,
,,,2022.0,618915.82,,
,,,2023.0,-,,
,,Electricity Installed Capacity (MW),2000.0,28967.81,,
,,,2001.0,32148.54,,
,,,2002.0,33328.64,,
,,,2003.0,35902.25,,
,,,2004.0,38656.21,,
,,,2005.0,43497.43,,
,,,2006.0,47441.39,,
,,,2007.0,50594.37,,
,,,2008.0,54546.28,,
,,,2009.0,61447.89,,
,,,2010.0,66073.97,,
,,,2011.0,72498.69,,
,,,2012.0,76879.1,,
,,,2013.0,84274.56,,
,,,2014.0,90101.44,,
,,,2015.0,96110.06,,
,,,2016.0,104873.6,,
,,,2017.0,110588.53,,
,,,2018.0,117821.09,,
,,,2019.0,124097.62,,
,,,2020.0,132016.97,,
,,,2021.0,138338.29,,
,,,2022.0,144285.62,,
,,,2023.0,148840.07,,
,Geothermal energy,Electricity Generation (GWh),2000.0,52571.04,,
,,,2001.0,51678.62,,
,,,2002.0,52604.68,,
,,,2003.0,53775.78,,
,,,2004.0,56060.82,,
,,,2005.0,58466.67,,
,,,2006.0,59769.35,,
,,,2007.0,62668.88,,
,,,2008.0,65262.18,,
,,,2009.0,67289.73,,
,,,2010.0,68436.18,,
,,,2011.0,69796.18,,
,,,2012.0,70876.7,,
,,,2013.0,72408.02,,
,,,2014.0,77343.67,,
,,,2015.0,81228.85,,
,,,2016.0,83240.84,,
,,,2017.0,87051.64,,
,,,2018.0,89464.19,,
,,,2019.0,92001.02,,
,,,2020.0,95444.69,,
,,,2021.0,94653.53,,
,,,2022.0,96878.35,,
,,,2023.0,-,,
,,Electricity Installed Capacity (MW),2000.0,8272.7,,
,,,2001.0,7960.91,,
,,,2002.0,8113.45,,
,,,2003.0,8188.35,,
,,,2004.0,8208.88,,
,,,2005.0,8556.12,,
,,,2006.0,8758.7,,
,,,2007.0,9012.94,,
,,,2008.0,9318.82,,
,,,2009.0,9754.32,,
,,,2010.0,9914.32,,
,,,2011.0,10058.67,,
,,,2012.0,10517.67,,
,,,2013.0,10786.37,,
,,,2014.0,11248.72,,
,,,2015.0,11846.97,,
,,,2016.0,12172.97,,
,,,2017.0,12753.61,,
,,,2018.0,13156.66,,
,,,2019.0,13824.04,,
,,,2020.0,14157.34,,
,,,2021.0,14432.04,,
,,,2022.0,14652.91,,
,,,2023.0,15025.75,,
,Total non-renewable,Electricity Generation (GWh),2000.0,12696773.89,,
,,,2001.0,12861722.37,,
,,,2002.0,13371183.31,,
,,,2003.0,13930422.77,,
,,,2004.0,14516684.9,,
,,,2005.0,15092101.47,,
,,,2006.0,15633640.53,,
,,,2007.0,16358616.84,,
,,,2008.0,16552817.4,,
,,,2009.0,16323653.57,,
,,,2010.0,17380687.62,,
,,,2011.0,17888227.89,,
,,,2012.0,18094283.77,,
,,,2013.0,18467252.47,,
