"Public Investments (2021 million USD) by Country/area, Technology and Year",Unnamed: 1,Unnamed: 2,Unnamed: 3
,Fossil fuels n.e.s.,2022.0,0.0
,,2021.0,0.0
,,2020.0,10.63
,,2019.0,0.0
,,2018.0,0.0
,,2017.0,0.0
,,2016.0,0.0
,,2015.0,0.0
,,2014.0,0.89
,,2013.0,0.11
,,2012.0,0.24
,,2011.0,0.0
,,2010.0,8.74
,,2009.0,0.0
,,2008.0,0.0
,,2007.0,0.0
,,2006.0,0.0
,,2005.0,76.78
,,2004.0,65.46
,,2003.0,0.1
,,2002.0,12.77
,,2001.0,0.0
,,2000.0,0.0
,Non-renewable municipal waste,2022.0,0.0
,,2021.0,0.0
,,2020.0,0.0
,,2019.0,0.0
,,2018.0,0.0
,,2017.0,0.0
,,2016.0,0.0
,,2015.0,0.0
,,2014.0,0.0
,,2013.0,0.0
,,2012.0,0.0
,,2011.0,0.0
,,2010.0,0.0
,,2009.0,0.0
,,2008.0,0.0
,,2007.0,0.0
,,2006.0,0.0
,,2005.0,0.0
,,2004.0,0.0
,,2003.0,0.0
,,2002.0,0.0
,,2001.0,0.0
,,2000.0,0.0
Albania,On-grid Solar photovoltaic,2022.0,35.98
,,2021.0,10.66
,,2020.0,0.0
,,2019.0,0.0
,,2018.0,0.0
,,2017.0,0.13
,,2016.0,0.0
,,2015.0,0.0
,,2014.0,0.0
,,2013.0,0.0
,,2012.0,0.0
,,2011.0,0.0
,,2010.0,0.0
,,2009.0,0.0
,,2008.0,0.0
,,2007.0,0.0
,,2006.0,0.0
,,2005.0,0.47
,,2004.0,0.0
,,2003.0,0.0
,,2002.0,0.0
,,2001.0,0.0
,,2000.0,0.0
,Off-grid Solar photovoltaic,2022.0,0.0
,,2021.0,0.0
,,2020.0,0.0
,,2019.0,0.0
,,2018.0,0.0
,,2017.0,0.0
,,2016.0,0.0
,,2015.0,0.0
,,2014.0,0.0
,,2013.0,0.0
,,2012.0,0.0
,,2011.0,0.0
,,2010.0,0.0
,,2009.0,0.0
,,2008.0,0.0
,,2007.0,0.0
,,2006.0,0.0
,,2005.0,0.0
,,2004.0,0.0
,,2003.0,0.0
,,2002.0,0.0
,,2001.0,0.0
,,2000.0,0.0
,Solar thermal energy,2022.0,0.0
,,2021.0,0.0
,,2020.0,0.0
,,2019.0,0.0
,,2018.0,0.0
,,2017.0,0.0
,,2016.0,0.0
,,2015.0,0.0
,,2014.0,0.0
,,2013.0,0.0
,,2012.0,0.0
,,2011.0,0.0
,,2010.0,0.0
,,2009.0,0.0
,,2008.0,0.0
,,2007.0,0.0
,,2006.0,0.0
,,2005.0,0.0
,,2004.0,0.0
,,2003.0,0.0
,,2002.0,0.0
,,2001.0,0.0
,,2000.0,0.0
,Concentrated solar power,2022.0,0.0
,,2021.0,0.0
,,2020.0,0.0
,,2019.0,0.0
,,2018.0,0.0
,,2017.0,0.0
,,2016.0,0.0
,,2015.0,0.0
,,2014.0,0.0
,,2013.0,0.0
,,2012.0,0.0
,,2011.0,0.0
,,2010.0,0.0
,,2009.0,0.0
,,2008.0,0.0
,,2007.0,0.0
,,2006.0,0.0
,,2005.0,0.0
,,2004.0,0.0
,,2003.0,0.0
,,2002.0,0.0
,,2001.0,0.0
,,2000.0,0.0
,Onshore wind energy,2022.0,0.0
,,2021.0,0.0
,,2020.0,0.0
,,2019.0,0.0
,,2018.0,0.0
,,2017.0,0.0
,,2016.0,0.0
,,2015.0,0.0
,,2014.0,0.0
,,2013.0,0.0
,,2012.0,0.0
,,2011.0,0.0
,,2010.0,0.0
,,2009.0,0.0
,,2008.0,0.0
,,2007.0,0.0
,,2006.0,0.0
,,2005.0,0.0
,,2004.0,0.0
,,2003.0,0.0
,,2002.0,0.0
,,2001.0,0.0
,,2000.0,0.0
,Offshore wind energy,2022.0,0.0
,,2021.0,0.0
,,2020.0,0.0
,,2019.0,0.0
,,2018.0,0.0
,,2017.0,0.0
,,2016.0,0.0
,,2015.0,0.0
,,2014.0,0.0
,,2013.0,0.0
,,2012.0,0.0
,,2011.0,0.0
,,2010.0,0.0
,,2009.0,0.0
,,2008.0,0.0
,,2007.0,0.0
,,2006.0,0.0
,,2005.0,0.0
,,2004.0,0.0
,,2003.0,0.0
,,2002.0,0.0
,,2001.0,0.0
,,2000.0,0.0
,Renewable hydropower,2022.0,2.24
,,2021.0,47.3
,,2020.0,0.0
,,2019.0,0.0
,,2018.0,0.0
,,2017.0,0.0
,,2016.0,0.0
,,2015.0,26.59
,,2014.0,0.0
,,2013.0,73.22
,,2012.0,25.8
,,2011.0,0.33
,,2010.0,0.1
,,2009.0,0.04
,,2008.0,0.0
,,2007.0,0.0
,,2006.0,0.0
,,2005.0,21.58
,,2004.0,0.0
,,2003.0,0.2
,,2002.0,4.01
,,2001.0,0.0
,,2000.0,0.17
,Pumped storage,2022.0,0.0
,,2021.0,0.0
,,2020.0,0.0
,,2019.0,0.0
,,2018.0,0.0
,,2017.0,0.0
,,2016.0,0.0
,,2015.0,0.0
,,2014.0,0.0
,,2013.0,0.0
,,2012.0,0.0
,,2011.0,0.0
,,2010.0,0.0
,,2009.0,0.0
,,2008.0,0.0
,,2007.0,0.0
,,2006.0,0.0
,,2005.0,0.0
,,2004.0,0.0
,,2003.0,0.0
,,2002.0,0.0
,,2001.0,0.0
,,2000.0,0.0
,Marine energy,2022.0,0.0
,,2021.0,0.0
,,2020.0,0.0
,,2019.0,0.0
,,2018.0,0.0
,,2017.0,0.0
,,2016.0,0.0
,,2015.0,0.0
,,2014.0,0.0
,,2013.0,0.0
,,2012.0,0.0
,,2011.0,0.0
,,2010.0,0.0
,,2009.0,0.0
,,2008.0,0.0
,,2007.0,0.0
,,2006.0,0.0
,,2005.0,0.0
,,2004.0,0.0
,,2003.0,0.0
,,2002.0,0.0
,,2001.0,0.0
,,2000.0,0.0
,Other primary solid biofuels n.e.s.,2022.0,0.0
,,2021.0,0.0
,,2020.0,0.0
,,2019.0,0.0
,,2018.0,0.0
,,2017.0,0.0
,,2016.0,0.0
,,2015.0,0.0
,,2014.0,0.0
,,2013.0,1.0
,,2012.0,0.0
,,2011.0,0.0
,,2010.0,0.0
,,2009.0,0.0
,,2008.0,0.0
,,2007.0,0.0
,,2006.0,0.0
,,2005.0,0.0
,,2004.0,0.0
,,2003.0,0.0
,,2002.0,0.0
,,2001.0,0.0
,,2000.0,0.0
,Renewable municipal waste,2022.0,0.0
,,2021.0,0.0
,,2020.0,0.0
,,2019.0,0.0
,,2018.0,0.0
,,2017.0,0.0
,,2016.0,0.0
,,2015.0,0.0
,,2014.0,0.0
,,2013.0,0.0
,,2012.0,0.0
,,2011.0,0.0
,,2010.0,0.0
,,2009.0,0.0
,,2008.0,0.0
,,2007.0,0.0
,,2006.0,0.0
,,2005.0,0.0
,,2004.0,0.0
,,2003.0,0.0
,,2002.0,0.0
,,2001.0,0.0
,,2000.0,0.0
,Liquid biofuels,2022.0,0.0
,,2021.0,0.0
,,2020.0,0.0
,,2019.0,0.0
,,2018.0,0.0
,,2017.0,0.0
,,2016.0,0.0
,,2015.0,0.0
,,2014.0,0.0
,,2013.0,0.0
,,2012.0,0.0
,,2011.0,0.0
,,2010.0,0.0
,,2009.0,0.0
,,2008.0,0.0
,,2007.0,0.0
,,2006.0,0.0
,,2005.0,0.0
,,2004.0,0.0
,,2003.0,0.0
,,2002.0,0.0
,,2001.0,0.0
,,2000.0,0.0
,Biodiesel,2022.0,0.0
,,2021.0,0.0
,,2020.0,0.0
,,2019.0,0.0
,,2018.0,0.0
,,2017.0,0.0
,,2016.0,0.0
,,2015.0,0.0
,,2014.0,0.0
,,2013.0,0.0
,,2012.0,0.0
,,2011.0,0.0
,,2010.0,0.0
,,2009.0,0.0
,,2008.0,0.0
,,2007.0,0.0
,,2006.0,0.0
,,2005.0,0.0
,,2004.0,0.0
,,2003.0,0.0
,,2002.0,0.0
,,2001.0,0.0
,,2000.0,0.0
,Biogasoline,2022.0,0.0
,,2021.0,0.0
,,2020.0,0.0
,,2019.0,0.0
,,2018.0,0.0
,,2017.0,0.0
