-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2014 through 12/31/2014 in LST
Location: Regional 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
T2M_RANGE     MERRA-2 Temperature at 2 Meters Range (C) 
-END HEADER-
LAT,LON,YEAR,MO,DY,T2M_RANGE
32.0,34.375,2014,1,6,1.25
32.0,35.0,2014,1,6,9.23
32.0,35.625,2014,1,6,12.87
32.5,34.375,2014,1,6,1.16
32.5,35.0,2014,1,6,7.93
32.5,35.625,2014,1,6,14.47
33.0,34.375,2014,1,6,1.0
33.0,35.0,2014,1,6,4.61
33.0,35.625,2014,1,6,13.67
29.5,34.375,2014,1,7,12.98
29.5,35.0,2014,1,7,11.15
29.5,35.625,2014,1,7,11.45
30.0,34.375,2014,1,7,14.12
30.0,35.0,2014,1,7,13.66
30.0,35.625,2014,1,7,11.9
30.5,34.375,2014,1,7,13.46
30.5,35.0,2014,1,7,14.11
30.5,35.625,2014,1,7,13.17
31.0,34.375,2014,1,7,12.78
31.0,35.0,2014,1,7,13.73
31.0,35.625,2014,1,7,14.18
31.5,34.375,2014,1,7,8.76
31.5,35.0,2014,1,7,12.5
31.5,35.625,2014,1,7,13.2
32.0,34.375,2014,1,7,3.76
32.0,35.0,2014,1,7,12.08
32.0,35.625,2014,1,7,14.49
32.5,34.375,2014,1,7,2.8
32.5,35.0,2014,1,7,10.47
32.5,35.625,2014,1,7,16.24
33.0,34.375,2014,1,7,1.89
33.0,35.0,2014,1,7,6.9
33.0,35.625,2014,1,7,14.54
29.5,34.375,2014,1,8,16.48
29.5,35.0,2014,1,8,15.6
29.5,35.625,2014,1,8,18.5
30.0,34.375,2014,1,8,16.95
30.0,35.0,2014,1,8,17.01
30.0,35.625,2014,1,8,15.55
30.5,34.375,2014,1,8,15.74
30.5,35.0,2014,1,8,17.31
30.5,35.625,2014,1,8,13.87
31.0,34.375,2014,1,8,15.8
31.0,35.0,2014,1,8,17.25
31.0,35.625,2014,1,8,15.09
31.5,34.375,2014,1,8,11.15
31.5,35.0,2014,1,8,16.1
31.5,35.625,2014,1,8,16.86
32.0,34.375,2014,1,8,4.29
32.0,35.0,2014,1,8,15.33
32.0,35.625,2014,1,8,17.45
32.5,34.375,2014,1,8,3.63
32.5,35.0,2014,1,8,13.71
32.5,35.625,2014,1,8,17.56
33.0,34.375,2014,1,8,3.51
33.0,35.0,2014,1,8,10.22
33.0,35.625,2014,1,8,14.62
29.5,34.375,2014,1,9,11.59
29.5,35.0,2014,1,9,9.86
29.5,35.625,2014,1,9,13.94
30.0,34.375,2014,1,9,10.98
30.0,35.0,2014,1,9,12.48
30.0,35.625,2014,1,9,14.58
30.5,34.375,2014,1,9,9.94
30.5,35.0,2014,1,9,12.81
30.5,35.625,2014,1,9,11.87
31.0,34.375,2014,1,9,13.75
31.0,35.0,2014,1,9,14.26
31.0,35.625,2014,1,9,12.09
31.5,34.375,2014,1,9,10.2
31.5,35.0,2014,1,9,15.39
31.5,35.625,2014,1,9,13.16
32.0,34.375,2014,1,9,2.95
32.0,35.0,2014,1,9,13.35
32.0,35.625,2014,1,9,12.74
32.5,34.375,2014,1,9,2.9
32.5,35.0,2014,1,9,11.95
32.5,35.625,2014,1,9,14.91
33.0,34.375,2014,1,9,3.08
33.0,35.0,2014,1,9,8.5
33.0,35.625,2014,1,9,11.99
29.5,34.375,2014,1,10,7.13
29.5,35.0,2014,1,10,6.08
29.5,35.625,2014,1,10,7.29
30.0,34.375,2014,1,10,5.31
30.0,35.0,2014,1,10,5.43
30.0,35.625,2014,1,10,4.25
30.5,34.375,2014,1,10,5.21
30.5,35.0,2014,1,10,6.47
30.5,35.625,2014,1,10,3.32
31.0,34.375,2014,1,10,6.69
31.0,35.0,2014,1,10,7.98
31.0,35.625,2014,1,10,5.42
31.5,34.375,2014,1,10,3.71
31.5,35.0,2014,1,10,9.81
31.5,35.625,2014,1,10,7.27
32.0,34.375,2014,1,10,1.79
32.0,35.0,2014,1,10,8.43
32.0,35.625,2014,1,10,9.44
32.5,34.375,2014,1,10,2.02
32.5,35.0,2014,1,10,7.53
32.5,35.625,2014,1,10,10.31
33.0,34.375,2014,1,10,1.92
33.0,35.0,2014,1,10,3.75
33.0,35.625,2014,1,10,8.77
29.5,34.375,2014,1,11,10.69
29.5,35.0,2014,1,11,9.52
29.5,35.625,2014,1,11,8.22
30.0,34.375,2014,1,11,9.96
30.0,35.0,2014,1,11,9.76
30.0,35.625,2014,1,11,6.47
30.5,34.375,2014,1,11,8.95
30.5,35.0,2014,1,11,9.47
30.5,35.625,2014,1,11,5.39
31.0,34.375,2014,1,11,9.18
31.0,35.0,2014,1,11,9.82
31.0,35.625,2014,1,11,7.35
31.5,34.375,2014,1,11,5.38
31.5,35.0,2014,1,11,9.61
31.5,35.625,2014,1,11,8.95
32.0,34.375,2014,1,11,1.21
32.0,35.0,2014,1,11,6.69
32.0,35.625,2014,1,11,9.83
32.5,34.375,2014,1,11,0.54
32.5,35.0,2014,1,11,7.55
32.5,35.625,2014,1,11,11.82
33.0,34.375,2014,1,11,0.39
33.0,35.0,2014,1,11,4.54
33.0,35.625,2014,1,11,11.77
29.5,34.375,2014,1,12,10.98
29.5,35.0,2014,1,12,12.27
29.5,35.625,2014,1,12,11.02
30.0,34.375,2014,1,12,10.3
30.0,35.0,2014,1,12,10.72
30.0,35.625,2014,1,12,10.22
30.5,34.375,2014,1,12,10.15
30.5,35.0,2014,1,12,9.7
30.5,35.625,2014,1,12,8.88
31.0,34.375,2014,1,12,8.8
31.0,35.0,2014,1,12,9.62
31.0,35.625,2014,1,12,8.2
31.5,34.375,2014,1,12,3.68
31.5,35.0,2014,1,12,8.04
31.5,35.625,2014,1,12,7.89
32.0,34.375,2014,1,12,0.56
32.0,35.0,2014,1,12,6.76
32.0,35.625,2014,1,12,8.53
32.5,34.375,2014,1,12,0.64
32.5,35.0,2014,1,12,4.61
32.5,35.625,2014,1,12,9.13
33.0,34.375,2014,1,12,1.11
33.0,35.0,2014,1,12,3.17
33.0,35.625,2014,1,12,6.82
29.5,34.375,2014,1,13,14.11
29.5,35.0,2014,1,13,14.62
29.5,35.625,2014,1,13,15.18
30.0,34.375,2014,1,13,13.57
30.0,35.0,2014,1,13,13.98
30.0,35.625,2014,1,13,15.41
30.5,34.375,2014,1,13,12.86
30.5,35.0,2014,1,13,11.38
30.5,35.625,2014,1,13,14.86
31.0,34.375,2014,1,13,12.15
31.0,35.0,2014,1,13,10.96
31.0,35.625,2014,1,13,12.92
31.5,34.375,2014,1,13,6.78
31.5,35.0,2014,1,13,12.11
31.5,35.625,2014,1,13,9.62
32.0,34.375,2014,1,13,1.09
32.0,35.0,2014,1,13,9.38
32.0,35.625,2014,1,13,11.0
32.5,34.375,2014,1,13,1.03
32.5,35.0,2014,1,13,5.9
32.5,35.625,2014,1,13,12.05
33.0,34.375,2014,1,13,0.96
33.0,35.0,2014,1,13,3.3
33.0,35.625,2014,1,13,7.92
29.5,34.375,2014,1,14,15.47
29.5,35.0,2014,1,14,12.31
29.5,35.625,2014,1,14,14.65
30.0,34.375,2014,1,14,13.69
30.0,35.0,2014,1,14,13.63
30.0,35.625,2014,1,14,12.76
30.5,34.375,2014,1,14,12.82
30.5,35.0,2014,1,14,13.87
30.5,35.625,2014,1,14,11.51
31.0,34.375,2014,1,14,11.37
31.0,35.0,2014,1,14,12.9
31.0,35.625,2014,1,14,11.47
31.5,34.375,2014,1,14,6.56
31.5,35.0,2014,1,14,11.49
31.5,35.625,2014,1,14,11.38
32.0,34.375,2014,1,14,1.18
32.0,35.0,2014,1,14,11.6
32.0,35.625,2014,1,14,13.23
32.5,34.375,2014,1,14,0.82
32.5,35.0,2014,1,14,10.83
32.5,35.625,2014,1,14,14.58
33.0,34.375,2014,1,14,0.65
33.0,35.0,2014,1,14,6.94
33.0,35.625,2014,1,14,10.53
29.5,34.375,2014,1,15,14.11
29.5,35.0,2014,1,15,14.34
29.5,35.625,2014,1,15,15.07
30.0,34.375,2014,1,15,12.94
30.0,35.0,2014,1,15,13.81
30.0,35.625,2014,1,15,13.86
30.5,34.375,2014,1,15,11.39
30.5,35.0,2014,1,15,11.31
30.5,35.625,2014,1,15,11.87
31.0,34.375,2014,1,15,11.71
31.0,35.0,2014,1,15,11.07
31.0,35.625,2014,1,15,12.55
31.5,34.375,2014,1,15,7.39
31.5,35.0,2014,1,15,11.75
31.5,35.625,2014,1,15,11.01
32.0,34.375,2014,1,15,0.92
32.0,35.0,2014,1,15,12.29
32.0,35.625,2014,1,15,15.04
32.5,34.375,2014,1,15,1.71
32.5,35.0,2014,1,15,12.24
32.5,35.625,2014,1,15,17.51
33.0,34.375,2014,1,15,1.89
33.0,35.0,2014,1,15,8.48
33.0,35.625,2014,1,15,13.53
29.5,34.375,2014,1,16,17.71
29.5,35.0,2014,1,16,15.18
29.5,35.625,2014,1,16,18.83
30.0,34.375,2014,1,16,18.37
30.0,35.0,2014,1,16,16.7
30.0,35.625,2014,1,16,16.19
30.5,34.375,2014,1,16,17.11
30.5,35.0,2014,1,16,17.43
30.5,35.625,2014,1,16,13.5
31.0,34.375,2014,1,16,17.3
31.0,35.0,2014,1,16,18.37
31.0,35.625,2014,1,16,14.16
31.5,34.375,2014,1,16,11.73
31.5,35.0,2014,1,16,17.48
31.5,35.625,2014,1,16,15.48
32.0,34.375,2014,1,16,4.7
32.0,35.0,2014,1,16,15.18
32.0,35.625,2014,1,16,15.94
32.5,34.375,2014,1,16,3.77
32.5,35.0,2014,1,16,12.58
32.5,35.625,2014,1,16,15.12
33.0,34.375,2014,1,16,3.57
33.0,35.0,2014,1,16,9.07
33.0,35.625,2014,1,16,12.88
29.5,34.375,2014,1,17,13.67
29.5,35.0,2014,1,17,11.88
29.5,35.625,2014,1,17,13.71
30.0,34.375,2014,1,17,13.24
30.0,35.0,2014,1,17,12.94
30.0,35.625,2014,1,17,13.27
30.5,34.375,2014,1,17,12.29
30.5,35.0,2014,1,17,13.79
30.5,35.625,2014,1,17,11.24
31.0,34.375,2014,1,17,12.6
31.0,35.0,2014,1,17,13.47
31.0,35.625,2014,1,17,11.76
31.5,34.375,2014,1,17,7.64
