-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2014 through 12/31/2014 in LST
Location: Regional 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
ALLSKY_SFC_LW_DWN     CERES SYN1deg All Sky Surface Longwave Downward Irradiance (kW-hr/m^2/day) 
-END HEADER-
LAT,LON,YEAR,MO,DY,ALLSKY_SFC_LW_DWN
29.5,34.5,2014,1,1,6.82
29.5,35.5,2014,1,1,6.53
30.5,34.5,2014,1,1,6.95
30.5,35.5,2014,1,1,6.75
31.5,34.5,2014,1,1,7.84
31.5,35.5,2014,1,1,7.02
32.5,34.5,2014,1,1,7.78
32.5,35.5,2014,1,1,7.22
29.5,34.5,2014,1,2,6.77
29.5,35.5,2014,1,2,6.27
30.5,34.5,2014,1,2,6.82
30.5,35.5,2014,1,2,6.56
31.5,34.5,2014,1,2,7.68
31.5,35.5,2014,1,2,6.89
32.5,34.5,2014,1,2,7.65
32.5,35.5,2014,1,2,7.06
29.5,34.5,2014,1,3,6.62
29.5,35.5,2014,1,3,6.29
30.5,34.5,2014,1,3,6.89
30.5,35.5,2014,1,3,6.58
31.5,34.5,2014,1,3,7.7
31.5,35.5,2014,1,3,6.8
32.5,34.5,2014,1,3,7.67
32.5,35.5,2014,1,3,7.24
29.5,34.5,2014,1,4,7.22
29.5,35.5,2014,1,4,7.16
30.5,34.5,2014,1,4,7.02
30.5,35.5,2014,1,4,7.04
31.5,34.5,2014,1,4,7.95
31.5,35.5,2014,1,4,7.11
32.5,34.5,2014,1,4,7.93
32.5,35.5,2014,1,4,7.47
29.5,34.5,2014,1,5,7.21
29.5,35.5,2014,1,5,7.59
30.5,34.5,2014,1,5,7.08
30.5,35.5,2014,1,5,7.46
31.5,34.5,2014,1,5,7.89
31.5,35.5,2014,1,5,7.22
32.5,34.5,2014,1,5,7.77
32.5,35.5,2014,1,5,7.18
29.5,34.5,2014,1,6,6.39
29.5,35.5,2014,1,6,6.21
30.5,34.5,2014,1,6,6.64
30.5,35.5,2014,1,6,6.31
31.5,34.5,2014,1,6,7.88
31.5,35.5,2014,1,6,6.66
32.5,34.5,2014,1,6,7.59
32.5,35.5,2014,1,6,6.87
29.5,34.5,2014,1,7,6.95
29.5,35.5,2014,1,7,6.26
30.5,34.5,2014,1,7,6.76
30.5,35.5,2014,1,7,6.33
31.5,34.5,2014,1,7,7.72
31.5,35.5,2014,1,7,6.48
32.5,34.5,2014,1,7,7.47
32.5,35.5,2014,1,7,6.7
29.5,34.5,2014,1,8,6.73
29.5,35.5,2014,1,8,6.08
30.5,34.5,2014,1,8,6.73
30.5,35.5,2014,1,8,6.26
