-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2014 through 12/31/2014 in LST
Location: Regional 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
WS10M_RANGE     MERRA-2 Wind Speed at 10 Meters Range (m/s) 
-END HEADER-
LAT,LON,YEAR,MO,DY,WS10M_RANGE
29.5,34.375,2014,1,1,2.61
29.5,35.0,2014,1,1,2.77
29.5,35.625,2014,1,1,3.14
30.0,34.375,2014,1,1,2.2
30.0,35.0,2014,1,1,2.73
30.0,35.625,2014,1,1,3.64
30.5,34.375,2014,1,1,3.69
30.5,35.0,2014,1,1,1.92
30.5,35.625,2014,1,1,4.18
31.0,34.375,2014,1,1,4.52
31.0,35.0,2014,1,1,1.69
31.0,35.625,2014,1,1,3.33
31.5,34.375,2014,1,1,3.58
31.5,35.0,2014,1,1,1.56
31.5,35.625,2014,1,1,2.48
32.0,34.375,2014,1,1,2.66
32.0,35.0,2014,1,1,2.16
32.0,35.625,2014,1,1,2.19
32.5,34.375,2014,1,1,2.92
32.5,35.0,2014,1,1,2.82
32.5,35.625,2014,1,1,1.86
33.0,34.375,2014,1,1,3.45
33.0,35.0,2014,1,1,2.13
33.0,35.625,2014,1,1,2.08
29.5,34.375,2014,1,2,2.58
29.5,35.0,2014,1,2,3.03
29.5,35.625,2014,1,2,3.34
30.0,34.375,2014,1,2,1.96
30.0,35.0,2014,1,2,2.42
30.0,35.625,2014,1,2,3.59
30.5,34.375,2014,1,2,2.16
30.5,35.0,2014,1,2,2.01
30.5,35.625,2014,1,2,6.3
31.0,34.375,2014,1,2,1.97
31.0,35.0,2014,1,2,2.83
31.0,35.625,2014,1,2,5.14
31.5,34.375,2014,1,2,3.44
31.5,35.0,2014,1,2,2.21
31.5,35.625,2014,1,2,4.27
32.0,34.375,2014,1,2,2.89
32.0,35.0,2014,1,2,2.05
32.0,35.625,2014,1,2,2.74
32.5,34.375,2014,1,2,2.48
32.5,35.0,2014,1,2,2.46
32.5,35.625,2014,1,2,2.02
33.0,34.375,2014,1,2,3.57
33.0,35.0,2014,1,2,3.51
33.0,35.625,2014,1,2,2.77
29.5,34.375,2014,1,3,4.58
29.5,35.0,2014,1,3,3.88
29.5,35.625,2014,1,3,4.12
30.0,34.375,2014,1,3,3.29
30.0,35.0,2014,1,3,4.57
30.0,35.625,2014,1,3,4.9
30.5,34.375,2014,1,3,3.06
30.5,35.0,2014,1,3,3.27
30.5,35.625,2014,1,3,8.6
31.0,34.375,2014,1,3,3.01
31.0,35.0,2014,1,3,3.37
31.0,35.625,2014,1,3,7.27
31.5,34.375,2014,1,3,3.29
31.5,35.0,2014,1,3,2.83
31.5,35.625,2014,1,3,5.58
32.0,34.375,2014,1,3,3.75
32.0,35.0,2014,1,3,3.9
32.0,35.625,2014,1,3,3.72
32.5,34.375,2014,1,3,4.61
32.5,35.0,2014,1,3,4.41
32.5,35.625,2014,1,3,2.19
