-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2018 through 12/31/2018 in LST
Location: Regional 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
T2MWET     MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
-END HEADER-
LAT,LON,YEAR,MO,DY,T2MWET
29.5,34.375,2018,1,1,5.49
29.5,35.0,2018,1,1,6.61
29.5,35.625,2018,1,1,3.95
30.0,34.375,2018,1,1,6.81
30.0,35.0,2018,1,1,7.01
30.0,35.625,2018,1,1,3.71
30.5,34.375,2018,1,1,7.76
30.5,35.0,2018,1,1,7.69
30.5,35.625,2018,1,1,4.29
31.0,34.375,2018,1,1,9.09
31.0,35.0,2018,1,1,8.32
31.0,35.625,2018,1,1,6.97
31.5,34.375,2018,1,1,13.08
31.5,35.0,2018,1,1,8.91
31.5,35.625,2018,1,1,8.87
32.0,34.375,2018,1,1,15.01
32.0,35.0,2018,1,1,10.69
32.0,35.625,2018,1,1,8.94
32.5,34.375,2018,1,1,15.13
32.5,35.0,2018,1,1,12.15
32.5,35.625,2018,1,1,9.29
33.0,34.375,2018,1,1,14.83
33.0,35.0,2018,1,1,12.97
33.0,35.625,2018,1,1,8.85
29.5,34.375,2018,1,2,5.17
29.5,35.0,2018,1,2,6.38
29.5,35.625,2018,1,2,3.83
30.0,34.375,2018,1,2,6.59
30.0,35.0,2018,1,2,6.76
30.0,35.625,2018,1,2,4.17
30.5,34.375,2018,1,2,7.44
30.5,35.0,2018,1,2,7.82
30.5,35.625,2018,1,2,5.07
31.0,34.375,2018,1,2,9.59
31.0,35.0,2018,1,2,9.32
31.0,35.625,2018,1,2,8.07
31.5,34.375,2018,1,2,14.09
31.5,35.0,2018,1,2,10.64
31.5,35.625,2018,1,2,11.03
32.0,34.375,2018,1,2,15.75
32.0,35.0,2018,1,2,12.39
32.0,35.625,2018,1,2,11.37
32.5,34.375,2018,1,2,15.98
32.5,35.0,2018,1,2,13.74
32.5,35.625,2018,1,2,11.68
33.0,34.375,2018,1,2,15.99
33.0,35.0,2018,1,2,14.35
33.0,35.625,2018,1,2,11.16
29.5,34.375,2018,1,3,4.52
29.5,35.0,2018,1,3,5.74
29.5,35.625,2018,1,3,2.89
30.0,34.375,2018,1,3,6.06
30.0,35.0,2018,1,3,6.39
30.0,35.625,2018,1,3,3.17
30.5,34.375,2018,1,3,7.04
30.5,35.0,2018,1,3,7.54
30.5,35.625,2018,1,3,4.1
31.0,34.375,2018,1,3,8.39
31.0,35.0,2018,1,3,8.42
31.0,35.625,2018,1,3,7.23
31.5,34.375,2018,1,3,12.36
31.5,35.0,2018,1,3,8.92
31.5,35.625,2018,1,3,10.25
32.0,34.375,2018,1,3,15.06
32.0,35.0,2018,1,3,11.0
32.0,35.625,2018,1,3,10.63
32.5,34.375,2018,1,3,15.77
32.5,35.0,2018,1,3,12.99
32.5,35.625,2018,1,3,11.25
33.0,34.375,2018,1,3,16.06
33.0,35.0,2018,1,3,14.22
