-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2018 through 12/31/2018 in LST
Location: Regional 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
ALLSKY_SFC_LW_DWN     CERES SYN1deg All Sky Surface Longwave Downward Irradiance (kW-hr/m^2/day) 
-END HEADER-
LAT,LON,YEAR,MO,DY,ALLSKY_SFC_LW_DWN
29.5,34.5,2018,1,1,7.28
29.5,35.5,2018,1,1,7.39
30.5,34.5,2018,1,1,7.67
30.5,35.5,2018,1,1,7.7
31.5,34.5,2018,1,1,8.54
31.5,35.5,2018,1,1,7.78
32.5,34.5,2018,1,1,8.47
32.5,35.5,2018,1,1,8.15
29.5,34.5,2018,1,2,6.38
29.5,35.5,2018,1,2,6.35
30.5,34.5,2018,1,2,6.77
30.5,35.5,2018,1,2,7.11
31.5,34.5,2018,1,2,8.59
31.5,35.5,2018,1,2,8.14
32.5,34.5,2018,1,2,8.56
32.5,35.5,2018,1,2,8.5
29.5,34.5,2018,1,3,6.64
29.5,35.5,2018,1,3,6.35
30.5,34.5,2018,1,3,7.05
30.5,35.5,2018,1,3,6.7
31.5,34.5,2018,1,3,8.04
31.5,35.5,2018,1,3,7.41
32.5,34.5,2018,1,3,8.46
32.5,35.5,2018,1,3,7.83
29.5,34.5,2018,1,4,6.83
29.5,35.5,2018,1,4,6.52
30.5,34.5,2018,1,4,7.38
30.5,35.5,2018,1,4,7.13
31.5,34.5,2018,1,4,8.44
31.5,35.5,2018,1,4,7.75
32.5,34.5,2018,1,4,8.77
32.5,35.5,2018,1,4,8.14
29.5,34.5,2018,1,5,8.02
29.5,35.5,2018,1,5,7.79
30.5,34.5,2018,1,5,8.36
30.5,35.5,2018,1,5,7.97
31.5,34.5,2018,1,5,8.88
31.5,35.5,2018,1,5,8.43
32.5,34.5,2018,1,5,8.77
32.5,35.5,2018,1,5,8.39
29.5,34.5,2018,1,6,7.34
