LAT,LON,YEAR,MO,DY,T2M_MAX
29.5,34.375,2022,6,25,34.61
29.5,35.625,2020,1,11,12.1
29.5,35.0,2020,1,11,14.17
29.5,34.375,2020,1,11,12.5
29.5,35.625,2020,1,10,8.53
29.5,35.0,2020,1,10,11.89
29.5,34.375,2020,1,10,10.98
29.5,35.625,2024,12,26,17.74
29.5,35.0,2024,12,26,19.31
29.5,35.0,2023,2,13,15.53
29.5,34.375,2023,2,13,12.7
29.5,35.625,2023,7,7,36.69
29.5,35.0,2023,7,7,33.8
29.5,34.375,2023,7,7,32.25
29.5,35.625,2022,6,25,33.53
29.5,35.0,2024,3,28,31.04
29.5,34.375,2024,3,28,29.91
29.5,35.625,2022,10,26,26.61
29.5,35.0,2022,10,26,26.92
29.5,34.375,2022,10,26,25.59
29.5,35.625,2024,3,27,25.73
29.5,35.0,2024,3,27,29.37
29.5,34.375,2024,3,27,28.58
29.5,35.625,2021,4,11,17.69
29.5,35.625,2021,3,27,18.13
29.5,35.625,2021,3,26,15.66
29.5,35.0,2021,3,26,17.9
29.5,34.375,2021,3,26,15.81
29.5,35.625,2021,3,25,18.2
29.5,35.0,2021,3,25,19.71
29.5,34.375,2021,3,25,18.65
29.5,35.625,2020,1,12,15.13
29.5,35.0,2020,1,12,17.46
29.5,34.375,2020,1,12,17.28
29.5,35.625,2022,6,24,36.21
29.5,35.0,2022,6,24,35.6
29.5,34.375,2022,6,24,34.36
29.5,35.625,2023,7,8,36.54
29.5,35.0,2023,7,8,34.81
29.5,34.375,2023,7,8,33.76
29.5,35.625,2023,2,13,12.81
29.5,35.0,2021,4,12,21.1
29.5,34.375,2021,4,12,19.21
29.5,35.625,2022,10,23,27.92
29.5,35.0,2022,10,23,26.8
29.5,34.375,2022,10,23,23.66
29.5,35.625,2020,1,13,15.47
29.5,35.0,2020,1,13,16.3
29.5,34.375,2020,1,13,15.14
29.5,35.625,2024,12,25,18.94
29.5,35.0,2024,12,25,20.17
29.5,34.375,2024,12,25,19.47
29.5,35.625,2022,6,23,33.66
29.5,35.0,2022,6,23,33.52
29.5,34.375,2022,6,23,32.18
29.5,35.0,2021,4,11,19.79
29.5,34.375,2021,4,11,18.07
29.5,35.0,2024,4,7,23.67
