LAT,LON,YEAR,MO,DY,WS2M
29.5,34.375,2022,7,2,3.36
29.5,34.375,2022,7,3,2.84
29.5,35.625,2024,12,30,2.58
29.5,35.0,2024,12,30,2.17
29.5,34.375,2024,12,30,2.79
29.5,35.625,2020,1,1,1.44
29.5,35.625,2020,8,18,2.76
29.5,35.0,2020,8,18,2.98
29.5,34.375,2020,8,18,3.42
29.5,35.625,2021,11,17,1.68
29.5,35.0,2021,11,17,1.61
29.5,34.375,2021,11,17,2.26
29.5,35.625,2020,8,17,2.61
29.5,35.0,2020,8,17,2.51
29.5,34.375,2020,8,17,2.55
29.5,35.625,2022,12,21,2.07
29.5,35.625,2021,4,3,2.07
29.5,35.0,2021,4,3,2.73
29.5,34.375,2021,4,3,2.69
29.5,35.625,2024,3,31,5.06
29.5,35.0,2024,3,31,4.48
29.5,34.375,2024,3,31,3.3
29.5,35.625,2022,7,1,2.96
29.5,35.0,2022,7,1,2.96
29.5,34.375,2022,7,1,3.34
29.5,35.625,2023,2,16,1.32
29.5,35.0,2023,2,16,2.01
29.5,34.375,2023,2,16,2.01
29.5,35.625,2022,7,2,3.51
29.5,35.0,2022,7,2,2.94
29.5,35.0,2020,1,1,1.99
29.5,34.375,2020,1,2,2.22
29.5,34.375,2024,4,2,2.65
29.5,35.625,2021,4,1,3.15
29.5,35.0,2021,4,1,2.62
29.5,34.375,2021,4,1,3.22
29.5,35.625,2021,4,4,1.76
29.5,35.625,2022,6,30,2.66
29.5,35.0,2022,6,30,2.51
29.5,34.375,2022,6,30,2.59
29.5,35.625,2024,12,29,1.57
29.5,35.0,2024,12,29,1.23
29.5,34.375,2024,12,29,2.0
29.5,35.625,2023,7,4,2.38
29.5,35.0,2023,7,4,3.35
29.5,34.375,2023,7,4,3.82
29.5,35.625,2020,1,5,3.05
29.5,35.0,2020,1,5,1.71
29.5,35.0,2023,4,25,3.11
29.5,34.375,2023,4,25,3.46
29.5,35.625,2021,4,5,3.7
29.5,35.0,2021,4,5,3.7
29.5,35.0,2022,6,29,2.79
29.5,34.375,2022,6,29,2.97
29.5,35.625,2023,2,15,2.62
29.5,35.0,2023,2,15,3.46
29.5,34.375,2023,2,15,3.96
29.5,35.625,2020,1,6,2.77
29.5,35.0,2020,1,6,3.05
29.5,34.375,2020,1,6,2.67
29.5,35.625,2022,7,3,2.88
29.5,35.0,2022,7,3,2.78
29.5,35.625,2024,4,2,2.5
29.5,35.0,2024,4,2,3.19
29.5,34.375,2021,4,5,2.34
29.5,35.625,2022,10,25,4.4
29.5,35.0,2022,10,25,2.81
29.5,34.375,2022,10,25,2.31
29.5,35.625,2021,3,31,3.3
29.5,35.0,2021,3,31,2.68
29.5,34.375,2021,3,31,3.8
29.5,35.0,2022,7,4,2.76
29.5,34.375,2022,7,4,2.78
29.5,35.625,2020,1,7,3.88
29.5,35.0,2020,1,7,3.36
29.5,34.375,2020,1,7,3.93
29.5,35.625,2022,6,29,3.02
