LAT,LON,YEAR,MO,DY,T2M_RANGE
29.5,34.375,2022,6,25,16.23
29.5,35.625,2020,1,11,9.84
29.5,35.0,2020,1,11,8.96
29.5,34.375,2020,1,11,7.86
29.5,35.625,2020,1,10,6.05
29.5,35.0,2020,1,10,6.37
29.5,34.375,2020,1,10,6.68
29.5,35.625,2024,12,26,14.6
29.5,35.0,2024,12,26,10.62
29.5,35.0,2023,2,13,12.31
29.5,34.375,2023,2,13,10.59
29.5,35.625,2023,7,7,19.62
29.5,35.0,2023,7,7,16.28
29.5,34.375,2023,7,7,16.54
29.5,35.625,2022,6,25,15.73
29.5,35.0,2024,3,28,16.34
29.5,34.375,2024,3,28,16.62
29.5,35.625,2022,10,26,13.49
29.5,35.0,2022,10,26,10.57
29.5,34.375,2022,10,26,11.81
29.5,35.625,2024,3,27,13.78
29.5,35.0,2024,3,27,14.82
29.5,34.375,2024,3,27,14.87
29.5,35.625,2021,4,11,16.61
29.5,35.625,2021,3,27,15.51
29.5,35.625,2021,3,26,12.42
29.5,35.0,2021,3,26,10.99
29.5,34.375,2021,3,26,10.47
29.5,35.625,2021,3,25,14.74
29.5,35.0,2021,3,25,12.4
29.5,34.375,2021,3,25,12.58
29.5,35.625,2020,1,12,13.59
29.5,35.0,2020,1,12,11.76
29.5,34.375,2020,1,12,12.65
29.5,35.625,2022,6,24,18.86
29.5,35.0,2022,6,24,16.89
29.5,34.375,2022,6,24,18.03
29.5,35.625,2023,7,8,19.99
29.5,35.0,2023,7,8,16.37
29.5,34.375,2023,7,8,17.18
29.5,35.625,2023,2,13,13.11
29.5,35.0,2021,4,12,15.31
29.5,34.375,2021,4,12,15.26
29.5,35.625,2022,10,23,15.65
29.5,35.0,2022,10,23,11.5
29.5,34.375,2022,10,23,10.13
29.5,35.625,2020,1,13,13.9
29.5,35.0,2020,1,13,11.22
29.5,34.375,2020,1,13,12.55
29.5,35.625,2024,12,25,18.08
29.5,35.0,2024,12,25,12.93
29.5,34.375,2024,12,25,15.21
29.5,35.625,2022,6,23,19.59
29.5,35.0,2022,6,23,16.04
29.5,34.375,2022,6,23,16.21
29.5,35.0,2021,4,11,15.83
29.5,34.375,2021,4,11,15.65
29.5,35.0,2024,4,7,13.62
29.5,34.375,2024,4,7,13.62
29.5,35.625,2021,3,24,12.25
29.5,35.0,2021,3,24,11.48
29.5,35.625,2021,4,13,22.48
29.5,35.0,2021,4,13,19.38
29.5,34.375,2021,4,13,17.8
29.5,35.625,2024,12,24,13.12
29.5,35.0,2024,12,24,11.04
29.5,34.375,2024,12,24,13.49
29.5,35.625,2022,6,22,14.67
29.5,35.0,2022,6,22,14.12
29.5,34.375,2022,6,22,14.24
29.5,35.625,2024,4,6,18.47
29.5,35.0,2024,4,6,13.97
29.5,34.375,2024,4,6,14.29
29.5,34.375,2023,4,27,17.93
29.5,34.375,2023,7,9,17.14
29.5,35.625,2023,2,17,16.47
29.5,35.0,2023,2,17,15.01
29.5,34.375,2023,2,17,14.96
29.5,35.625,2023,7,1,20.05
29.5,35.0,2023,7,1,18.36
29.5,34.375,2023,7,1,17.56
29.5,35.625,2021,4,12,19.33
29.5,34.375,2021,3,24,11.07
29.5,35.625,2021,3,23,17.42
29.5,35.0,2021,3,23,14.08
29.5,34.375,2021,3,23,18.89
29.5,35.0,2024,3,25,12.27
29.5,34.375,2024,3,25,12.93
29.5,35.625,2024,4,7,17.95
29.5,35.625,2020,1,15,15.49
29.5,35.0,2020,1,15,13.5
29.5,34.375,2020,1,15,14.58
29.5,35.625,2020,1,14,11.32
29.5,35.0,2020,1,14,12.98
29.5,34.375,2020,1,14,12.21
29.5,35.625,2023,7,9,18.43
29.5,35.0,2023,7,9,15.9
29.5,35.625,2024,3,26,17.9
29.5,35.0,2024,3,26,14.05
29.5,34.375,2024,3,26,16.49
29.5,35.625,2022,10,27,14.65
29.5,35.0,2022,10,27,12.49
29.5,34.375,2022,10,27,12.06
29.5,35.625,2023,4,27,18.78
29.5,35.0,2023,4,27,16.83
29.5,35.625,2021,4,14,19.45
29.5,35.0,2021,4,14,20.14
29.5,34.375,2021,4,14,21.47
29.5,35.625,2022,10,22,14.97
29.5,35.625,2022,6,20,22.82
29.5,35.0,2022,6,20,16.64
29.5,34.375,2022,6,20,16.61
29.5,35.625,2024,12,23,17.16
29.5,35.0,2024,12,23,12.94
29.5,34.375,2024,12,23,13.12
29.5,35.625,2022,6,21,15.87
29.5,35.0,2022,6,21,15.21
29.5,34.375,2022,6,21,14.75
29.5,35.625,2023,7,10,18.1
29.5,35.0,2023,7,10,15.03
29.5,34.375,2023,7,10,15.46
29.5,34.375,2022,10,22,10.24
29.5,35.625,2021,3,22,14.43
29.5,35.0,2021,3,22,12.28
29.5,34.375,2021,3,22,15.44
29.5,35.625,2021,4,15,20.84
29.5,34.375,2022,6,19,17.74
29.5,35.625,2023,2,12,11.25
29.5,35.0,2023,2,12,8.93
29.5,34.375,2023,2,12,8.85
29.5,35.625,2020,1,16,18.22
29.5,35.0,2020,1,16,14.21
29.5,34.375,2020,1,16,17.61
29.5,35.625,2024,3,25,12.67
29.5,35.625,2024,4,8,15.71
29.5,35.0,2024,4,8,13.9
29.5,34.375,2024,4,8,16.18
29.5,35.625,2023,2,18,17.8
29.5,35.0,2023,2,18,16.32
29.5,34.375,2023,2,18,16.87
29.5,35.625,2022,6,19,22.05
29.5,35.0,2022,6,19,16.8
29.5,35.0,2021,4,15,20.55
29.5,34.375,2021,4,15,22.24
29.5,35.625,2022,10,28,14.06
29.5,35.0,2022,10,28,13.84
29.5,34.375,2022,10,28,11.46
29.5,35.625,2021,3,21,15.59
29.5,35.0,2021,3,21,15.15
29.5,34.375,2021,3,21,17.33
29.5,35.625,2022,10,21,16.68
29.5,35.0,2022,10,21,12.34
29.5,35.0,2022,10,22,10.86
29.5,34.375,2021,4,16,20.84
29.5,35.625,2024,4,9,14.42
29.5,35.0,2024,4,9,13.7
29.5,34.375,2024,4,9,14.79
29.5,35.625,2024,3,24,14.35
29.5,35.0,2024,3,24,10.78
29.5,34.375,2024,3,24,10.15
29.5,35.625,2024,12,22,11.33
29.5,35.0,2024,12,22,12.73
29.5,34.375,2024,12,22,11.75
29.5,35.625,2020,1,17,13.04
29.5,35.0,2020,1,17,11.19
29.5,34.375,2020,1,17,12.88
29.5,35.625,2022,6,18,22.0
29.5,35.0,2022,6,18,17.95
29.5,34.375,2022,6,18,18.26
29.5,35.0,2021,3,19,14.99
29.5,34.375,2021,3,19,16.33
29.5,35.625,2024,3,23,20.89
29.5,35.0,2024,3,23,17.5
29.5,34.375,2024,3,23,15.61
29.5,35.625,2023,7,12,18.6
29.5,35.0,2023,7,12,18.56
29.5,34.375,2023,7,12,18.68
29.5,35.625,2020,1,18,8.3
29.5,35.0,2020,1,18,6.98
29.5,34.375,2020,1,18,8.61
29.5,35.625,2022,7,6,14.11
29.5,35.0,2022,7,6,13.63
29.5,34.375,2022,7,6,15.58
29.5,35.625,2021,4,16,18.35
29.5,35.0,2021,4,16,20.55
29.5,34.375,2021,4,17,20.56
29.5,35.625,2023,4,23,17.02
29.5,35.0,2023,4,23,16.23
29.5,34.375,2023,4,23,15.35
29.5,35.625,2021,4,18,18.07
29.5,35.0,2021,4,18,17.64
29.5,35.625,2020,1,19,11.08
29.5,35.0,2020,1,19,10.03
29.5,34.375,2020,1,19,11.78
29.5,35.625,2023,7,11,19.12
29.5,35.0,2023,7,11,15.93
29.5,34.375,2023,7,11,16.56
29.5,35.625,2021,3,20,22.18
29.5,35.0,2021,3,20,21.27
29.5,34.375,2021,3,20,23.52
29.5,35.625,2021,3,19,19.61
29.5,35.0,2024,4,10,11.92
29.5,34.375,2024,4,10,13.02
29.5,35.625,2021,4,19,18.05
29.5,35.0,2021,4,19,15.71
29.5,34.375,2021,4,19,17.55
29.5,35.625,2024,12,20,7.71
29.5,35.0,2024,12,20,7.96
29.5,34.375,2024,12,20,9.02
29.5,35.625,2024,12,21,10.88
29.5,35.0,2024,12,21,11.43
29.5,34.375,2024,12,21,11.96
29.5,35.625,2022,6,17,20.28
29.5,35.0,2022,6,17,17.41
29.5,34.375,2022,6,17,16.49
29.5,35.625,2021,4,17,18.88
29.5,35.0,2021,4,17,19.87
29.5,35.0,2021,3,18,14.11
29.5,34.375,2021,3,18,13.86
29.5,35.625,2024,4,11,16.15
29.5,35.0,2024,4,11,15.77
29.5,34.375,2024,4,11,15.34
29.5,35.625,2022,6,15,17.65
29.5,35.0,2022,6,15,14.9
29.5,34.375,2022,6,15,15.62
29.5,35.625,2023,2,11,19.07
29.5,35.0,2023,2,11,15.0
29.5,34.375,2023,2,11,16.57
29.5,35.625,2022,6,16,20.6
29.5,35.0,2022,6,16,20.22
29.5,34.375,2022,6,16,20.79
29.5,34.375,2021,4,18,18.92
29.5,35.625,2024,4,10,13.99
29.5,35.0,2020,1,20,8.5
29.5,34.375,2020,1,20,11.15
29.5,35.625,2023,7,13,19.44
29.5,35.0,2023,7,13,20.12
29.5,34.375,2023,7,13,20.77
29.5,35.625,2022,10,20,14.82
29.5,35.0,2022,10,20,12.8
29.5,34.375,2022,10,20,13.93
29.5,35.625,2021,3,17,16.42
29.5,35.0,2021,3,17,14.74
29.5,34.375,2021,3,17,16.34
29.5,35.625,2021,4,20,16.26
29.5,35.0,2021,4,20,16.84
29.5,34.375,2021,4,20,19.52
29.5,35.625,2024,3,22,14.11
29.5,35.625,2021,3,18,16.28
29.5,35.0,2024,3,22,11.69
29.5,34.375,2024,3,22,12.19
29.5,34.375,2022,10,21,12.03
29.5,35.625,2021,3,16,16.77
29.5,35.0,2021,3,16,13.37
29.5,34.375,2021,3,16,14.93
29.5,35.625,2021,4,21,18.9
29.5,35.0,2021,4,21,16.02
29.5,34.375,2021,4,21,15.88
29.5,35.625,2020,1,21,8.27
29.5,35.0,2020,1,21,9.32
29.5,34.375,2020,1,21,7.84
29.5,35.625,2023,6,30,20.21
29.5,35.0,2023,6,30,16.46
29.5,34.375,2023,6,30,17.06
29.5,35.625,2020,1,20,11.94
29.5,34.375,2021,4,22,17.37
29.5,35.625,2020,1,22,9.45
29.5,35.0,2020,1,22,7.91
29.5,34.375,2020,1,22,7.5
29.5,35.625,2022,7,7,18.71
29.5,35.0,2022,7,7,15.3
29.5,34.375,2022,7,7,16.63
29.5,35.625,2022,6,14,17.49
29.5,35.0,2022,6,14,13.81
29.5,34.375,2022,6,14,16.05
29.5,35.625,2021,3,15,18.99
29.5,35.0,2021,3,15,18.75
29.5,34.375,2021,3,15,22.29
29.5,35.625,2023,4,22,18.99
29.5,35.0,2023,4,22,16.98
29.5,34.375,2023,4,22,18.2
29.5,35.0,2020,1,23,10.08
29.5,34.375,2020,1,23,11.84
29.5,35.625,2024,12,19,18.74
29.5,35.0,2024,12,19,14.91
29.5,34.375,2024,12,19,17.03
29.5,35.625,2023,7,14,18.74
29.5,35.0,2023,7,14,19.63
29.5,34.375,2023,7,14,20.26
29.5,35.625,2022,10,29,16.36
29.5,35.0,2022,10,29,14.45
29.5,34.375,2022,10,29,10.69
29.5,35.625,2024,4,12,18.41
29.5,35.0,2024,4,12,16.77
29.5,35.625,2024,3,21,17.02
29.5,35.0,2024,3,21,15.02
29.5,34.375,2024,3,21,16.06
29.5,35.625,2024,4,13,17.63
29.5,35.0,2024,4,13,15.16
29.5,34.375,2024,4,13,15.19
29.5,35.625,2021,4,23,18.16
29.5,35.0,2021,4,23,19.03
29.5,34.375,2021,4,23,21.25
29.5,35.625,2024,12,18,15.69
29.5,35.0,2024,12,18,14.98
29.5,34.375,2024,12,18,14.59
29.5,35.625,2022,6,13,14.3
29.5,35.0,2022,6,13,13.64
29.5,34.375,2022,6,13,14.75
29.5,35.625,2022,6,12,16.32
29.5,35.0,2022,6,12,14.63
29.5,34.375,2022,6,12,16.41
29.5,35.625,2020,1,23,12.07
29.5,35.0,2024,3,19,9.08
29.5,35.625,2023,2,19,19.47
29.5,35.0,2023,2,19,18.06
29.5,34.375,2023,2,19,19.88
29.5,35.625,2023,6,29,18.16
29.5,35.0,2023,6,29,16.09
29.5,34.375,2023,6,29,15.35
29.5,35.625,2021,4,22,15.46
29.5,35.0,2021,4,22,13.89
29.5,35.625,2021,3,14,20.03
29.5,35.0,2021,3,14,19.15
29.5,34.375,2021,3,14,19.72
29.5,35.625,2021,3,13,17.29
29.5,35.0,2021,3,13,15.86
29.5,34.375,2024,3,19,10.41
29.5,34.375,2024,4,12,15.64
29.5,35.0,2023,7,16,18.55
29.5,34.375,2023,7,16,19.43
29.5,35.625,2020,1,24,10.9
29.5,35.0,2020,1,24,9.56
29.5,34.375,2020,1,24,9.71
29.5,35.625,2023,7,15,19.35
29.5,35.0,2023,7,15,18.3
29.5,34.375,2023,7,15,17.98
29.5,35.625,2024,3,20,16.29
29.5,35.0,2024,3,20,12.84
29.5,34.375,2024,3,20,16.32
29.5,34.375,2021,3,13,14.11
