LAT,LON,YEAR,MO,DY,PS
29.5,34.375,2022,6,25,92.15
29.5,35.625,2020,1,11,89.9
29.5,35.0,2020,1,11,94.59
29.5,34.375,2020,1,11,93.33
29.5,35.625,2020,1,10,89.26
29.5,35.0,2020,1,10,93.94
29.5,34.375,2020,1,10,92.67
29.5,35.625,2024,12,26,89.42
29.5,35.0,2024,12,26,94.0
29.5,35.0,2023,2,13,94.31
29.5,34.375,2023,2,13,93.08
29.5,35.625,2023,7,7,89.01
29.5,35.0,2023,7,7,93.43
29.5,34.375,2023,7,7,92.28
29.5,35.625,2022,6,25,88.96
29.5,35.0,2024,3,28,94.02
29.5,34.375,2024,3,28,92.81
29.5,35.625,2022,10,26,89.47
29.5,35.0,2022,10,26,93.93
29.5,34.375,2022,10,26,92.73
29.5,35.625,2024,3,27,89.81
29.5,35.0,2024,3,27,94.2
29.5,34.375,2024,3,27,93.0
29.5,35.625,2021,4,11,89.52
29.5,35.625,2021,3,27,89.88
29.5,35.625,2021,3,26,89.46
29.5,35.0,2021,3,26,94.14
29.5,34.375,2021,3,26,92.92
29.5,35.625,2021,3,25,89.15
29.5,35.0,2021,3,25,93.77
29.5,34.375,2021,3,25,92.54
29.5,35.625,2020,1,12,90.01
29.5,35.0,2020,1,12,94.64
29.5,34.375,2020,1,12,93.38
29.5,35.625,2022,6,24,89.01
29.5,35.0,2022,6,24,93.37
29.5,34.375,2022,6,24,92.23
29.5,35.625,2023,7,8,89.03
29.5,35.0,2023,7,8,93.41
29.5,34.375,2023,7,8,92.25
29.5,35.625,2023,2,13,89.65
29.5,35.0,2021,4,12,94.17
29.5,34.375,2021,4,12,92.94
29.5,35.625,2022,10,23,89.68
29.5,35.0,2022,10,23,94.19
29.5,34.375,2022,10,23,93.02
29.5,35.625,2020,1,13,89.88
29.5,35.0,2020,1,13,94.52
29.5,34.375,2020,1,13,93.26
29.5,35.625,2024,12,25,89.44
29.5,35.0,2024,12,25,93.98
29.5,34.375,2024,12,25,92.73
29.5,35.625,2022,6,23,88.97
29.5,35.0,2022,6,23,93.37
29.5,34.375,2022,6,23,92.21
29.5,35.0,2021,4,11,94.17
29.5,34.375,2021,4,11,92.92
29.5,35.0,2024,4,7,93.5
29.5,34.375,2024,4,7,92.29
29.5,35.625,2021,3,24,88.84
29.5,35.0,2021,3,24,93.45
29.5,35.625,2021,4,13,89.59
29.5,35.0,2021,4,13,94.15
29.5,34.375,2021,4,13,92.95
29.5,35.625,2024,12,24,89.53
29.5,35.0,2024,12,24,94.07
29.5,34.375,2024,12,24,92.83
29.5,35.625,2022,6,22,88.82
29.5,35.0,2022,6,22,93.24
29.5,34.375,2022,6,22,92.07
29.5,35.625,2024,4,6,89.25
29.5,35.0,2024,4,6,93.79
29.5,34.375,2024,4,6,92.58
29.5,34.375,2023,4,27,92.29
29.5,34.375,2023,7,9,92.22
29.5,35.625,2023,2,17,90.12
29.5,35.0,2023,2,17,94.71
29.5,34.375,2023,2,17,93.48
29.5,35.625,2023,7,1,88.97
29.5,35.0,2023,7,1,93.34
29.5,34.375,2023,7,1,92.2
29.5,35.625,2021,4,12,89.55
29.5,34.375,2021,3,24,92.23
29.5,35.625,2021,3,23,88.88
29.5,35.0,2021,3,23,93.25
29.5,34.375,2021,3,23,92.01
29.5,35.0,2024,3,25,94.05
29.5,34.375,2024,3,25,92.8
29.5,35.625,2024,4,7,88.95
29.5,35.625,2020,1,15,89.76
29.5,35.0,2020,1,15,94.24
29.5,34.375,2020,1,15,93.01
29.5,35.625,2020,1,14,89.99
29.5,35.0,2020,1,14,94.53
29.5,34.375,2020,1,14,93.29
29.5,35.625,2023,7,9,89.02
29.5,35.0,2023,7,9,93.39
29.5,35.625,2024,3,26,89.84
29.5,35.0,2024,3,26,94.38
29.5,34.375,2024,3,26,93.13
29.5,35.625,2022,10,27,89.65
29.5,35.0,2022,10,27,94.12
29.5,34.375,2022,10,27,92.94
29.5,35.625,2023,4,27,89.03
29.5,35.0,2023,4,27,93.47
29.5,35.625,2021,4,14,89.58
29.5,35.0,2021,4,14,94.04
29.5,34.375,2021,4,14,92.87
29.5,35.625,2022,10,22,89.6
29.5,35.625,2022,6,20,89.16
29.5,35.0,2022,6,20,93.59
29.5,34.375,2022,6,20,92.45
29.5,35.625,2024,12,23,89.35
29.5,35.0,2024,12,23,93.89
29.5,34.375,2024,12,23,92.66
29.5,35.625,2022,6,21,88.99
29.5,35.0,2022,6,21,93.45
29.5,34.375,2022,6,21,92.29
29.5,35.625,2023,7,10,88.98
29.5,35.0,2023,7,10,93.37
29.5,34.375,2023,7,10,92.2
29.5,34.375,2022,10,22,92.9
29.5,35.625,2021,3,22,89.22
29.5,35.0,2021,3,22,93.53
29.5,34.375,2021,3,22,92.32
29.5,35.625,2021,4,15,89.48
29.5,34.375,2022,6,19,92.35
29.5,35.625,2023,2,12,89.62
29.5,35.0,2023,2,12,94.32
29.5,34.375,2023,2,12,93.06
29.5,35.625,2020,1,16,89.26
29.5,35.0,2020,1,16,93.77
29.5,34.375,2020,1,16,92.54
29.5,35.625,2024,3,25,89.43
29.5,35.625,2024,4,8,88.92
29.5,35.0,2024,4,8,93.42
29.5,34.375,2024,4,8,92.21
29.5,35.625,2023,2,18,90.13
29.5,35.0,2023,2,18,94.67
29.5,34.375,2023,2,18,93.44
29.5,35.625,2022,6,19,89.07
29.5,35.0,2022,6,19,93.49
29.5,35.0,2021,4,15,93.88
29.5,34.375,2021,4,15,92.74
29.5,35.625,2022,10,28,89.58
29.5,35.0,2022,10,28,94.02
29.5,34.375,2022,10,28,92.86
29.5,35.625,2021,3,21,89.34
29.5,35.0,2021,3,21,93.7
29.5,34.375,2021,3,21,92.49
29.5,35.625,2022,10,21,89.39
29.5,35.0,2022,10,21,93.83
29.5,35.0,2022,10,22,94.07
29.5,34.375,2021,4,16,92.66
29.5,35.625,2024,4,9,88.93
29.5,35.0,2024,4,9,93.44
29.5,34.375,2024,4,9,92.23
29.5,35.625,2024,3,24,88.69
29.5,35.0,2024,3,24,93.34
29.5,34.375,2024,3,24,92.14
29.5,35.625,2024,12,22,89.76
29.5,35.0,2024,12,22,94.29
29.5,34.375,2024,12,22,93.06
29.5,35.625,2020,1,17,89.17
29.5,35.0,2020,1,17,93.81
29.5,34.375,2020,1,17,92.56
29.5,35.625,2022,6,18,88.92
29.5,35.0,2022,6,18,93.33
29.5,34.375,2022,6,18,92.21
29.5,35.0,2021,3,19,94.06
29.5,34.375,2021,3,19,92.84
29.5,35.625,2024,3,23,88.91
29.5,35.0,2024,3,23,93.49
29.5,34.375,2024,3,23,92.28
29.5,35.625,2023,7,12,89.22
29.5,35.0,2023,7,12,93.56
29.5,34.375,2023,7,12,92.49
29.5,35.625,2020,1,18,89.39
29.5,35.0,2020,1,18,94.06
29.5,34.375,2020,1,18,92.81
29.5,35.625,2022,7,6,88.97
29.5,35.0,2022,7,6,93.33
29.5,34.375,2022,7,6,92.16
29.5,35.625,2021,4,16,89.36
29.5,35.0,2021,4,16,93.78
29.5,34.375,2021,4,17,92.75
29.5,35.625,2023,4,23,89.05
29.5,35.0,2023,4,23,93.5
29.5,34.375,2023,4,23,92.32
29.5,35.625,2021,4,18,89.75
29.5,35.0,2021,4,18,94.03
29.5,35.625,2020,1,19,89.61
29.5,35.0,2020,1,19,94.25
29.5,34.375,2020,1,19,93.0
29.5,35.625,2023,7,11,89.12
29.5,35.0,2023,7,11,93.49
29.5,34.375,2023,7,11,92.36
29.5,35.625,2021,3,20,89.45
29.5,35.0,2021,3,20,93.85
29.5,34.375,2021,3,20,92.64
29.5,35.625,2021,3,19,89.51
29.5,35.0,2024,4,10,93.82
29.5,34.375,2024,4,10,92.6
29.5,35.625,2021,4,19,89.6
29.5,35.0,2021,4,19,93.87
29.5,34.375,2021,4,19,92.71
29.5,35.625,2024,12,20,89.42
29.5,35.0,2024,12,20,94.07
29.5,34.375,2024,12,20,92.82
29.5,35.625,2024,12,21,89.9
29.5,35.0,2024,12,21,94.5
29.5,34.375,2024,12,21,93.26
29.5,35.625,2022,6,17,88.96
29.5,35.0,2022,6,17,93.33
29.5,34.375,2022,6,17,92.26
29.5,35.625,2021,4,17,89.5
29.5,35.0,2021,4,17,93.88
29.5,35.0,2021,3,18,93.98
29.5,34.375,2021,3,18,92.75
29.5,35.625,2024,4,11,89.43
29.5,35.0,2024,4,11,93.93
29.5,34.375,2024,4,11,92.74
29.5,35.625,2022,6,15,89.2
29.5,35.0,2022,6,15,93.59
29.5,34.375,2022,6,15,92.44
29.5,35.625,2023,2,11,89.29
29.5,35.0,2023,2,11,93.92
29.5,34.375,2023,2,11,92.7
29.5,35.625,2022,6,16,89.04
29.5,35.0,2022,6,16,93.39
29.5,34.375,2022,6,16,92.3
29.5,34.375,2021,4,18,92.88
29.5,35.625,2024,4,10,89.28
29.5,35.0,2020,1,20,94.62
29.5,34.375,2020,1,20,93.36
29.5,35.625,2023,7,13,89.2
29.5,35.0,2023,7,13,93.51
29.5,34.375,2023,7,13,92.45
29.5,35.625,2022,10,20,89.43
29.5,35.0,2022,10,20,93.85
29.5,34.375,2022,10,20,92.68
29.5,35.625,2021,3,17,89.16
29.5,35.0,2021,3,17,93.71
29.5,34.375,2021,3,17,92.5
29.5,35.625,2021,4,20,89.41
29.5,35.0,2021,4,20,93.75
29.5,34.375,2021,4,20,92.57
29.5,35.625,2024,3,22,89.15
29.5,35.625,2021,3,18,89.4
29.5,35.0,2024,3,22,93.77
29.5,34.375,2024,3,22,92.53
29.5,34.375,2022,10,21,92.66
29.5,35.625,2021,3,16,89.08
29.5,35.0,2021,3,16,93.61
29.5,34.375,2021,3,16,92.41
29.5,35.625,2021,4,21,89.51
29.5,35.0,2021,4,21,93.99
29.5,34.375,2021,4,21,92.81
29.5,35.625,2020,1,21,89.62
29.5,35.0,2020,1,21,94.38
29.5,34.375,2020,1,21,93.13
29.5,35.625,2023,6,30,89.06
29.5,35.0,2023,6,30,93.46
29.5,34.375,2023,6,30,92.29
29.5,35.625,2020,1,20,89.95
29.5,34.375,2021,4,22,92.95
29.5,35.625,2020,1,22,89.64
29.5,35.0,2020,1,22,94.38
29.5,34.375,2020,1,22,93.12
29.5,35.625,2022,7,7,88.97
29.5,35.0,2022,7,7,93.35
29.5,34.375,2022,7,7,92.19
29.5,35.625,2022,6,14,89.17
29.5,35.0,2022,6,14,93.56
29.5,34.375,2022,6,14,92.38
29.5,35.625,2021,3,15,88.99
29.5,35.0,2021,3,15,93.42
29.5,34.375,2021,3,15,92.23
29.5,35.625,2023,4,22,88.94
29.5,35.0,2023,4,22,93.38
29.5,34.375,2023,4,22,92.2
29.5,35.0,2020,1,23,94.47
29.5,34.375,2020,1,23,93.2
29.5,35.625,2024,12,19,89.31
29.5,35.0,2024,12,19,93.78
29.5,34.375,2024,12,19,92.57
29.5,35.625,2023,7,14,89.04
29.5,35.0,2023,7,14,93.35
29.5,34.375,2023,7,14,92.27
29.5,35.625,2022,10,29,89.35
29.5,35.0,2022,10,29,93.79
29.5,34.375,2022,10,29,92.63
29.5,35.625,2024,4,12,89.38
29.5,35.0,2024,4,12,93.86
29.5,35.625,2024,3,21,89.37
29.5,35.0,2024,3,21,93.88
29.5,34.375,2024,3,21,92.66
29.5,35.625,2024,4,13,89.29
29.5,35.0,2024,4,13,93.83
29.5,34.375,2024,4,13,92.65
29.5,35.625,2021,4,23,89.42
29.5,35.0,2021,4,23,93.86
29.5,34.375,2021,4,23,92.73
29.5,35.625,2024,12,18,89.78
29.5,35.0,2024,12,18,94.26
29.5,34.375,2024,12,18,93.05
29.5,35.625,2022,6,13,88.99
29.5,35.0,2022,6,13,93.4
29.5,34.375,2022,6,13,92.22
29.5,35.625,2022,6,12,89.0
29.5,35.0,2022,6,12,93.33
29.5,34.375,2022,6,12,92.18
29.5,35.625,2020,1,23,89.79
29.5,35.0,2024,3,19,93.82
29.5,35.625,2023,2,19,89.99
29.5,35.0,2023,2,19,94.48
29.5,34.375,2023,2,19,93.28
29.5,35.625,2023,6,29,89.2
29.5,35.0,2023,6,29,93.61
29.5,34.375,2023,6,29,92.46
29.5,35.625,2021,4,22,89.63
29.5,35.0,2021,4,22,94.12
29.5,35.625,2021,3,14,89.3
29.5,35.0,2021,3,14,93.78
29.5,34.375,2021,3,14,92.58
29.5,35.625,2021,3,13,89.48
29.5,35.0,2021,3,13,94.03
29.5,34.375,2024,3,19,92.58
29.5,34.375,2024,4,12,92.69
29.5,35.0,2023,7,16,93.25
29.5,34.375,2023,7,16,92.16
29.5,35.625,2020,1,24,89.63
29.5,35.0,2020,1,24,94.37
29.5,34.375,2020,1,24,93.12
29.5,35.625,2023,7,15,88.99
29.5,35.0,2023,7,15,93.29
29.5,34.375,2023,7,15,92.22
29.5,35.625,2024,3,20,89.61
29.5,35.0,2024,3,20,94.16
29.5,34.375,2024,3,20,92.9
29.5,34.375,2021,3,13,92.82
29.5,35.625,2022,10,19,89.48
29.5,35.0,2022,10,19,93.9
29.5,34.375,2022,10,19,92.72
29.5,35.625,2024,3,19,89.19
29.5,34.375,2022,6,10,92.44
29.5,35.625,2020,1,25,90.23
29.5,35.0,2020,1,25,94.96
29.5,34.375,2020,1,25,93.71
29.5,35.625,2022,6,11,89.26
29.5,35.0,2022,6,11,93.55
29.5,34.375,2022,6,11,92.41
29.5,35.625,2024,4,14,89.21
29.5,35.0,2024,4,14,93.74
29.5,34.375,2024,4,14,92.55
29.5,35.625,2021,4,24,89.12
29.5,35.0,2021,4,24,93.53
29.5,34.375,2021,4,24,92.35
29.5,35.625,2023,4,28,88.99
29.5,35.0,2023,4,28,93.49
29.5,35.625,2023,7,16,88.96
29.5,34.375,2023,4,28,92.29
29.5,35.625,2021,3,12,89.24
29.5,35.0,2021,3,12,93.88
29.5,34.375,2021,3,12,92.65
29.5,35.625,2021,4,25,89.04
29.5,35.0,2021,4,25,93.4
29.5,34.375,2021,4,25,92.19
29.5,34.375,2022,7,8,92.15
29.5,35.625,2020,1,26,90.33
29.5,35.0,2020,1,26,94.97
29.5,34.375,2020,1,26,93.72
29.5,35.625,2024,12,17,89.99
29.5,35.0,2024,12,17,94.57
29.5,34.375,2024,12,17,93.37
29.5,35.625,2022,6,10,89.29
29.5,35.0,2022,6,10,93.58
29.5,35.0,2024,12,16,94.58
29.5,34.375,2024,12,16,93.34
29.5,35.625,2020,1,27,90.0
29.5,35.0,2020,1,27,94.58
29.5,34.375,2020,1,27,93.35
29.5,35.625,2022,7,8,88.94
29.5,35.0,2022,7,8,93.3
29.5,35.625,2021,3,11,89.18
29.5,35.0,2021,3,11,93.64
29.5,34.375,2021,3,11,92.45
29.5,35.625,2024,4,15,89.27
29.5,35.0,2024,4,15,93.8
29.5,34.375,2024,4,15,92.62
29.5,34.375,2022,10,31,92.77
29.5,35.625,2021,4,26,89.07
29.5,35.0,2021,4,26,93.53
29.5,35.625,2022,10,30,89.35
29.5,35.0,2022,10,30,93.82
29.5,34.375,2022,10,30,92.64
29.5,35.625,2021,4,27,89.27
29.5,35.0,2021,4,27,93.79
29.5,34.375,2021,4,27,92.59
29.5,35.625,2024,3,18,88.76
29.5,35.625,2023,7,17,89.05
29.5,35.0,2023,7,17,93.34
29.5,34.375,2023,7,17,92.2
29.5,35.625,2022,6,9,89.28
29.5,35.0,2022,6,9,93.6
29.5,34.375,2022,6,9,92.44
29.5,35.625,2022,6,8,89.15
29.5,35.0,2022,6,8,93.54
29.5,35.625,2024,12,16,90.03
29.5,35.0,2022,6,7,93.38
29.5,35.0,2020,1,28,94.15
29.5,34.375,2020,1,28,92.91
29.5,35.625,2023,2,10,89.56
29.5,35.0,2023,2,10,94.17
29.5,34.375,2023,2,10,92.94
29.5,34.375,2022,6,8,92.38
29.5,35.0,2024,3,18,93.33
29.5,34.375,2024,3,18,92.14
29.5,35.625,2021,3,10,89.42
29.5,35.0,2021,3,10,93.78
29.5,34.375,2021,3,10,92.57
29.5,35.625,2024,3,17,89.12
29.5,35.0,2024,3,17,93.52
29.5,34.375,2024,3,17,92.32
