LAT,LON,YEAR,MO,DY,T2M_MIN
29.5,35.0,2022,6,25,20.91
29.5,34.375,2022,6,25,18.38
29.5,35.625,2020,1,11,2.26
29.5,35.0,2020,1,11,5.21
29.5,34.375,2020,1,11,4.64
29.5,35.625,2020,1,10,2.48
29.5,35.0,2020,1,10,5.52
29.5,34.375,2020,1,10,4.3
29.5,35.625,2024,12,26,3.14
29.5,35.0,2024,12,26,8.69
29.5,35.0,2023,2,13,3.22
29.5,34.375,2023,2,13,2.11
29.5,35.625,2023,7,7,17.07
29.5,35.0,2023,7,7,17.52
29.5,34.375,2023,7,7,15.71
29.5,35.625,2022,6,25,17.8
29.5,35.0,2024,3,28,14.7
29.5,34.375,2024,3,28,13.29
29.5,35.625,2022,10,26,13.12
29.5,35.0,2022,10,26,16.35
29.5,34.375,2022,10,26,13.78
29.5,35.625,2024,3,27,11.95
29.5,35.0,2024,3,27,14.55
29.5,34.375,2024,3,27,13.71
29.5,35.625,2021,4,11,1.08
29.5,35.625,2021,3,27,2.62
29.5,35.625,2021,3,26,3.24
29.5,35.0,2021,3,26,6.91
29.5,34.375,2021,3,26,5.34
29.5,35.625,2021,3,25,3.46
29.5,35.0,2021,3,25,7.31
29.5,34.375,2021,3,25,6.07
29.5,35.625,2020,1,12,1.54
29.5,35.0,2020,1,12,5.7
29.5,34.375,2020,1,12,4.63
29.5,35.625,2022,6,24,17.35
29.5,35.0,2022,6,24,18.71
29.5,34.375,2022,6,24,16.33
29.5,35.625,2023,7,8,16.55
29.5,35.0,2023,7,8,18.44
29.5,34.375,2023,7,8,16.58
29.5,35.625,2023,2,13,-0.3
29.5,35.0,2021,4,12,5.79
29.5,34.375,2021,4,12,3.95
29.5,35.625,2022,10,23,12.27
29.5,35.0,2022,10,23,15.3
29.5,34.375,2022,10,23,13.53
29.5,35.625,2020,1,13,1.57
29.5,35.0,2020,1,13,5.08
29.5,34.375,2020,1,13,2.59
29.5,35.625,2024,12,25,0.86
29.5,35.0,2024,12,25,7.24
29.5,34.375,2024,12,25,4.26
29.5,35.625,2022,6,23,14.07
29.5,35.0,2022,6,23,17.48
29.5,34.375,2022,6,23,15.97
29.5,35.0,2021,4,11,3.96
29.5,34.375,2021,4,11,2.42
29.5,35.0,2024,4,7,10.05
29.5,34.375,2024,4,7,9.19
29.5,35.625,2021,3,24,7.12
29.5,35.0,2021,3,24,10.14
29.5,35.625,2021,4,13,1.37
29.5,35.0,2021,4,13,5.08
29.5,34.375,2021,4,13,4.05
29.5,35.625,2024,12,24,3.91
29.5,35.0,2024,12,24,8.13
29.5,34.375,2024,12,24,4.43
29.5,35.625,2022,6,22,13.7
29.5,35.0,2022,6,22,16.25
29.5,34.375,2022,6,22,14.78
29.5,35.625,2024,4,6,9.09
29.5,35.0,2024,4,6,12.34
29.5,34.375,2024,4,6,10.76
29.5,34.375,2023,4,27,10.57
29.5,34.375,2023,7,9,17.19
29.5,35.625,2023,2,17,-2.11
29.5,35.0,2023,2,17,3.17
29.5,34.375,2023,2,17,1.15
29.5,35.625,2023,7,1,15.97
29.5,35.0,2023,7,1,17.26
29.5,34.375,2023,7,1,16.23
29.5,35.625,2021,4,12,2.92
29.5,34.375,2021,3,24,7.94
29.5,35.625,2021,3,23,15.26
29.5,35.0,2021,3,23,17.81
29.5,34.375,2021,3,23,15.6
29.5,35.0,2024,3,25,6.47
29.5,34.375,2024,3,25,4.94
29.5,35.625,2024,4,7,6.09
29.5,35.625,2020,1,15,3.73
29.5,35.0,2020,1,15,9.14
29.5,34.375,2020,1,15,7.53
