LAT,LON,YEAR,MO,DY,TS
29.5,34.375,2022,6,26,26.73
29.5,35.625,2022,7,5,28.23
29.5,35.0,2022,7,5,30.92
29.5,34.375,2022,7,5,29.25
29.5,35.625,2021,3,28,12.39
29.5,35.0,2021,3,28,15.01
29.5,34.375,2021,3,28,12.3
29.5,35.625,2024,4,5,22.37
29.5,35.0,2024,4,5,24.17
29.5,34.375,2024,4,5,22.57
29.5,35.625,2021,4,9,17.4
29.5,35.0,2021,4,9,19.08
29.5,34.375,2021,4,9,16.76
29.5,35.625,2024,4,4,23.1
29.5,35.0,2021,3,27,13.65
29.5,34.375,2021,3,27,11.08
29.5,35.625,2021,4,10,12.66
29.5,35.0,2021,4,10,15.73
29.5,34.375,2021,4,10,12.84
29.5,35.625,2024,3,28,19.39
29.5,35.0,2022,6,25,29.96
29.5,34.375,2022,6,25,28.21
29.5,35.625,2020,1,11,6.53
29.5,35.0,2020,1,11,9.97
29.5,34.375,2020,1,11,8.33
29.5,35.625,2020,1,10,5.51
29.5,35.0,2020,1,10,9.55
29.5,34.375,2020,1,10,7.74
29.5,35.625,2024,12,26,9.75
29.5,35.0,2024,12,26,13.11
29.5,35.0,2023,2,13,10.11
29.5,34.375,2023,2,13,7.62
29.5,35.625,2023,7,7,30.45
29.5,35.0,2023,7,7,29.08
29.5,34.375,2023,7,7,27.05
29.5,35.625,2022,6,25,28.21
29.5,35.0,2024,3,28,22.65
29.5,34.375,2024,3,28,20.82
29.5,35.625,2022,10,26,20.45
29.5,35.0,2022,10,26,22.64
29.5,34.375,2022,10,26,20.27
29.5,35.625,2024,3,27,17.75
29.5,35.0,2024,3,27,21.13
29.5,34.375,2024,3,27,19.51
29.5,35.625,2021,4,11,11.54
29.5,35.625,2021,3,27,11.8
29.5,35.625,2021,3,26,11.13
29.5,35.0,2021,3,26,14.42
29.5,34.375,2021,3,26,12.06
29.5,35.625,2021,3,25,12.64
29.5,35.0,2021,3,25,15.89
29.5,34.375,2021,3,25,14.01
29.5,35.625,2020,1,12,7.07
29.5,35.0,2020,1,12,10.99
29.5,34.375,2020,1,12,9.03
29.5,35.625,2022,6,24,30.55
29.5,35.0,2022,6,24,30.43
29.5,34.375,2022,6,24,28.42
29.5,35.625,2023,7,8,29.87
29.5,35.0,2023,7,8,30.1
29.5,34.375,2023,7,8,28.39
29.5,35.625,2023,2,13,6.93
29.5,35.0,2021,4,12,15.95
29.5,34.375,2021,4,12,13.19
29.5,35.625,2022,10,23,20.35
29.5,35.0,2022,10,23,22.48
29.5,34.375,2022,10,23,19.47
29.5,35.625,2020,1,13,6.99
29.5,35.0,2020,1,13,10.18
29.5,34.375,2020,1,13,7.92
29.5,35.625,2024,12,25,7.86
29.5,35.0,2024,12,25,12.37
29.5,34.375,2024,12,25,9.35
29.5,35.625,2022,6,23,28.26
29.5,35.0,2022,6,23,28.62
29.5,34.375,2022,6,23,26.7
29.5,35.0,2021,4,11,14.59
29.5,34.375,2021,4,11,12.15
29.5,35.0,2024,4,7,19.21
29.5,34.375,2024,4,7,17.73
29.5,35.625,2021,3,24,15.06
29.5,35.0,2021,3,24,18.14
29.5,35.625,2021,4,13,15.45
29.5,35.0,2021,4,13,17.4
29.5,34.375,2021,4,13,15.14
29.5,35.625,2024,12,24,8.31
29.5,35.0,2024,12,24,12.71
29.5,34.375,2024,12,24,9.84
29.5,35.625,2022,6,22,24.35
29.5,35.0,2022,6,22,26.38
29.5,34.375,2022,6,22,24.32
29.5,35.625,2024,4,6,19.21
29.5,35.0,2024,4,6,20.76
29.5,34.375,2024,4,6,18.93
29.5,34.375,2023,4,27,21.49
29.5,34.375,2023,7,9,28.95
29.5,35.625,2023,2,17,6.36
